ordinance_no,adoption_date,month_year,date_kind,method,title,note
21-19,2021-05-24,2021-05,passed,pdftext,"AN ORDINANCE REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS WITHIN CERT AIN AREAS OF THE CITY",
21-20,2021-05-24,2021-05,passed,pdftext,AN ORDINANCE CANCELLING ALL CURRENT DECLARATIONS OF A LOCAL ST ATE OF EMERGENCY,
21-21,,2021-06,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY APPROPRIATION OF $200,000 TO THE ASIAN ASSOCIATION OF UTAH (dba SUNNYVALE REFUGEE & IMMIGRATION CENTER)",
21-23,2021-06-14,2021-06,passed,pdftext+ocrL,AN ORDINANCE AMENDING TITLE 2 CHAPTER 49 0F THE MILLCREEK CODE OF ORDINANCES ENTITLED STREET ADDRESSING AND PROPERTY IDENTIFICATION,
21-24,,2021-06,passed,pdftext,"AN ORDINANCE APPROVING AN AMENDED DEVELOPMF,NT AGREEMENT FOR CAPRI VILLAGE FOR PROPERTY LOCATED AT OR NEAR 3612 SOUTH 805 EAST",
21-25,2021-06-28,2021-06,passed,pdftext,AN ORDINANCE AMENDING THE 2020-2021 FISCAL YEAR BUDGET,
21-26,2021-06-28,2021-06,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $45,000 TO COMMUNITY COUNCILS, UP TO $150,000 TO UT AH VENTURE OUTDOORS AND UP TO $10,000 TO THE UTAH RIVERS COUNCIL",
21-27,2021-06-28,2021-06,passed,pdftext,"AN ORDINANCE REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS WITHIN AREAS OF THE CITY THAT ARE EAST OF 900 EAST STREET",
21-28,2021-06-28,2021-06,passed,pdftext+ocrL,AN ORDINANCE amending Title 18 of the Millcreek Code of Ordinances with respect to title report requirements,
21-29,2021-07-12,2021-07,passed,pdftext,AN ORDINANCE OF MILLCREEK VACATING A PORTION OF 1800 EAST STREET FROM GREGSON AVENUE TO APPROXIMATELY 3206 SOUTH,
21-30,2021-07-12,2021-07,passed,pdftext,AN ORDINANCE OF MILLCREEK VACATING A PORTION OF CHAMBERS AVENUE BETWEEN 1340 EAST AND APPROXIMATELY 1364 EAST,
21-31,2021-07-01,2021-07,passed,pdftext,"AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK ORDINANCE TO ENACT CHAPTER 19.73A, ENTITLED ""CITY CENTER OVERLAY - DEVELOPMENT AGREEMENT ZONE""",
21-32,2021-08-09,2021-08,passed,pdftext,AN ORDINANCE AMENDING THE 2021-2022 FISCAL YEAR BUDGET,
21-33,2021-08-09,2021-08,passed,pdftext,AN ORDINANCE AMENDING TITLE 2 CHAPTER 11 0F THE MILLCREEK CODE OF ORDINANCES ENTITLED DECLARATION OF CANDIDACY,
21-35,2021-09-13,2021-09,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 4074 SOUTH WEST TEMPLE STREET FROM R-M (RESIDENTIAL MULTI-FAMILY TO MD (MIXED DEVELOPMENT),
21-36,2021-09-01,2021-09,passed,pdftext,AN ORDINANCE APPROVING A DEVELOPMENT AGREEMENT FOR 64 UNIT AFFORDABLE SENIOR HOUSING PROJECT WITH RESPECT TO APPROXIMATELY 1.15 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 4074 SOUTH WEST TEMPLE S,
21-37,,2021-09,passed,pdftext,"AN ORDINANCE AMENDING TITLE 19 AND TITLE 14 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO TECHNICAL CORRECTIONS REGARDING DEFINITIONS, NOTICING, AND PLANNING COMMISSION MEMBERSHIP",
21-38,,2021-09,passed,pdftext,AN ORDINANCE ADOPTING THE COMMUNITY REINVESTMENT PROJECT AREA PLAN FOR THE WOODLAND AVENUE COMMUNITY REINVESTMENT PROJECT AREA,
21-39,,2021-09,monthyear_garbled,pdftext,AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO ACCESSORY DWELLING UNITS,
21-40,2021-09-27,2021-09,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $5,000 TO THE MILLCREEK SENIOR CENTER ADVISORY COMMITTEE",
21-41,2021-10-01,2021-10,passed,pdftext,AN ORDINANCE APPOINTING A MUNICIPAL INSPECTOR,
21-42,2021-10-11,2021-10,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 1315 EAST MAGDA LANE FROM THE R-1-8 SINGLE FAMILY RESIDENTIAL ZONE TO THE R-2-6.5 MEDIUM DENSITY RESIDENTIAL ZONE,
21-43,,2021-10,passed,pdftext,AN ORDINANCE APPROVING A DEVELOPMENT AGREEMENT WITH SALEM HOLDINGS FOR THE MAGDA LANE PLANNED UNIT DEVELOPMENT WITH RESPECT TO APPROXIMATELY 1.25 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 1315 E,
21-44,2021-10-25,2021-10,passed,pdftext,AN ORDINANCE AMENDING THE 2021-2022 FISCAL YEAR BUDGET,
21-45,2021-11-08,2021-11,passed,pdftext,AN ORDINANCE OF MILLCREEK AMENDING THE FLOOD DAMAGE PREVENTION ORDINANCE CHAPTER 17.24 0F THE MILLCREEK CODE OF ORDINANCES,
21-46,2021-11-08,2021-11,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A REDEVELOPIVDENT / DEVELOPMENT AGREEMENT WITH COTTONWOOD RESIDENTIAL WITH RESPECT TO APPROXIMATELY 1.76 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY,
21-48,2021-11-08,2021-11,passed,pdftext,AN ORDINANCE AMENDING THE MILLCREEK CITY CENTER MASTER PLAN AND TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO DIGIT AL DISTRICT SIGNS,
21-49,2021-11-08,2021-11,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A BILLBOARD EXCHANGE AND OPERATING AGREEMENT WITH REAGAN OUTDOOR ADVERTISING WITH RESPECT TO ONE BILLBOARD LOCATED AT 1333 EAST 3300 SOUTH,
21-50,2021-11-22,2021-11,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 4088 SOUTH HIGHLAND DRIVE FROM R-1-8 ZONE (RESIDENTIAL) TO C-2 ZONE (COMMERCIAL),
21-51,2021-11-22,2021-11,passed,pdftext,AN ORDINANCE APPROVING A DEVELOPMENT AGREEMENT FOR A NEW MIXED-USE PLANNED UNIT DEVELOPMENT CONSISTING OF 7 RESIDENTIAL TOWNHOMES AND 4 LIVE/WORK TOWNHOMES WITH RESPECT TO APPROXIMATELY O.63 ACRES OF ,
21-52,2021-12-13,2021-12,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL ADOPTING MILLCREEK'S 2022 REGULAR MEETINGS SCHEDULE,
21-53,2021-12-20,2021-12,passed,pdftext,AN ORDINANCE AMENDING THE 2021-2022 FISCAL YEAR BUDGET,
21-54,2021-12-20,2021-12,passed,pdftext,"AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A FEE-IN-LIEU / DEVELOPMENT AGREEMENT WITH 3300 COTTONWOOD, LLC WITH RESPECT TO APPROXIMATELY 1.76 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 1306 ",
21-55,,2021-12,passed,pdftext,AN ORDINANCE AMENDING SECTIONS 19.60.020 AND 19.66.020 0F THE MILLCREEK CODE FOR THE PURPOSE OF ALLOWING CARET AKER DWELLINGS AS PERMITTED USES SUBJECT TO STANDARDS AND ADOPTING A NEW DEFINITION OF CA,
22-01,2022-01-10,2022-01,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $10,000 TO CANYON RIM CARES, A SUB-COMMITTEE OF THE CANYON RIM CITIZENS ASSOCIATION",
22-02,,2021-01,passed,pdftext,"AN ORDINANCE DECLARING APPROXIMATELY O.37 ACRES OF REAL PROPERTY LOCATED AT OR NEAR 1311 AND 1337 EAST WOODLAND AVENUE, MILLCREEK, UT AH, AS SURPLUS",
22-03,2022-01-10,2022-01,passed,pdftext,AN ORDINANCE AMENDING SECTION 19.73A.050 0F THE MILLCREEK CODE WITH RESPECT TO DEVELOPMENT STANDARDS FOR THE CITY CENTER OVERLAY-DEVELOPMENT AGREEMENT ZONE,
22-04,2022-01-10,2022-01,passed,pdftext+ocrL,"AN ORDINANCE ADOPTING A CITY CENTER OVERLAY - DEVELOPMENT AGREEMENT ZONE (CCOZ-DA) FOR PROPERTY LOCATED AT 1311-1333 EAST 3300 SOUTH, 3215 SOUTH RICHMOND STREET, AND 1324-1340 EAST CHAMBERS AVENUE",
22-06,2022-01-24,2022-01,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $1,700 TO THE MILLCREEK ARTS COUNCIL",
22-07,2022-01-24,2022-01,passed,pdftext+ocrL,AN ORDINANCE OF MILLCREEK AMENDING THE CIVIL PENALTIES CHART REMOVING THE LIMIT ATION OF ACCRUED FINES FOR VIOLATION,
22-08,,2022-02,passed,pdftext,AN ORDINANCE APPROVING AN ASSIGNMENT AND ASSUMPTION OF DEVELOPMENT AGREEMENT AND AMENDMENT TO DEVELOPMENT AGREEMENT,
22-09,2022-02-01,2022-02,passed,pdftext,AN ORDINANCE VACATING A 10-FOOT -WIDE PUBLIC UTILITY EASEMENT ON LOT 6 AND A PORTION OF LOT 5 WITHIN THE UPLAND TERRACE PLAT H SUBDIVISION,
22-10,2022-03-14,2022-03,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $3,000 TO THE INTERNATIONAL RESCUE COMMITTEE",
22-11,2022-03-28,2022-03,passed,pdftext+ocrL,AN ORDINANCE AMENDING THE PROPERTY MAINTENANCE CODE REGARDING DEAD OR DAMAGED TREES,
22-12,2022-03-28,2022-03,passed,pdftext,AN ORDINANCE AMENDING THE 2021-2022 FISCAL YEAR BUDGET,
22-13,2022-04-11,2022-04,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 4070 SOUTH 1300 EAST FROM R-1-10 (RESIDENTIAL SINGLE FAMILY) TO R-1-8 (RESIDENTIAL SINGLE FAMILY),
22-14,2022-04-11,2022-04,passed,pdftext+ocrL,AN ORDINANCE REZONING CERT AIN PROPERTIES LOCATED AT APPROXIMATELY 2279 EAST KELLER LANE FROM R-1-10 (RESIDENTIAL SINGLE FAMIL Y) TO R-1-8 (RESIDENTIAL SINGLE FAMIL Y) & A PORTION OF 2254 EAST ALVA CI,
22-15,2022-04-01,2022-04,passed,pdftext,AN ORDINANCE AMENDING TITLE 3 0F THE MILLCREEK CODE OF ORDINANCES BY ADDING CHAPTER 3.54 ENTITLED RECREATION FEES,
22-16,2022-04-11,2022-04,passed,pdftext,AN ORDINANCE AMENDING SECTION 17.22.040 0F THE MILLCREEK CODE WITH RESPECT TO LAND DISTURBANCE AND GRADING PERMITS,
22-17,2022-04-01,2022-04,passed,pdftext,AN ORDINANCE AMENDING THE MILLCREEK FEE SCHEDULE,
22-18,2022-04-25,2022-04,passed,pdftext,"AN ORDINANCE REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS WITHIN CE,RT AIN AREAS OF THE CITY",
22-19,2022-04-25,2022-04,passed,pdftext,AN ORDINANCE AMENDING CHAPTER 19.60 COMMERCIAL DESIGN STANDARDS OF THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO MIXED-USE DEVELOPMENTS,
22-20,2022-04-25,2022-04,passed,pdftext,"AN ORDINANCE APPROVING A MILLCREEK COMMON TENANT RENT OFFSET OF UP TO $3,000",
22-21,2022-05-09,2022-05,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 175 WEST CENTRAL AVENUE FROM R-M (MULTI-FAMILY RESIDENTIAL) ZONE TO MD (MIXED DEVELOPMENT) ZONE,
22-22,2022-05-09,2022-05,passed,text-layer(oversize),AN ORDINANCE APPROVING A DEVELOPMENT AGREEMENT FOR A MIXED-USE PROJECT,
22-23,2022-05-09,2022-05,passed,pdftext,AN ORDINANCE ADJUSTING CITY COUNCIL DISTRICT BOUNDARIES TO MAINT AIN DISTRICTS OF SUBSTANTIALLY EQUAL POPULATION,
22-24,2022-05-09,2022-05,passed,pdftext,AN ORDINANCE AMENDING THE PROCUREMENT CODE WITH RESPECT TO ACQUISITION OF SERVICES OR SUPPLIES CODIFIED AT SECTIONS 2.22.040 AND 2.22.050 0F THE MILLCREEK CODE,
22-25,2022-05-23,2022-05,meeting,ocr,"AN ORDINANCE APPROVING A MONETARY CONTRIBUTION OF UP TO $10,000 TO TRAILS UTAH",
22-26,2022-05-23,2022-05,passed,ocr,AN ORDINANCE ACCEPTING THE PINNACLE PLACE CUL-DE-SAC AS A PUBLIC STREET,
22-27,,2022-06,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $45,000 TO THE COMMUNITY COUNCILS, UP TO $150,000 TO UTAH VENTURE OUTDOORS, AND UP TO $15,000 TO THE UTAH RIVERS COUNCIL",
22-28,2022-06-13,2022-06,passed,pdftext+ocrL,AN ORDINANCE AMENDING QUORUM VERIFICATION REQUIREMENTS TO PARTICIPATE IN ELECTRONIC MEETINGS OF THE COUNCIL,
22-29,2022-06-27,2022-06,passed,pdftext,AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO ACCESSORY DWELLING UNITS,
22-30,2022-06-27,2022-06,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 4101 SOUTH HOWICK STREET FROM M-I (MANUF ACTURING) TO MD (MIXED DEVELOPMENT),
22-31,2022-06-27,2022-06,passed,pdftext,AN ORDINANCE APPROVING A DEVELOPMENT AGREEMENT FOR A 150 UNIT AFFORDABLE HOUSING PROJECT WITH RESPECT TO APPROXIMATELY 1.99 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 4101 SOUTH HOWICK STREET,
22-32,2022-06-27,2022-06,passed,text-layer(oversize),AN ORDINANCE AMENDING THE 2021-2022 FISCAL YEAR BUDGET,
22-33,2022-07-11,2022-07,passed,pdftext+ocrL,AN ORDINANCE AMENDING TITLE 13 PARKS AND RECREATION BY ADDING A DEFINITION FOR PLAZA,
22-34,2022-07-01,2022-07,passed,pdftext,AN ORDINANCE AMENDING TITLE 15 CHAPTER 32 0F THE MILLCREEK CODE OF ORDINANCES ENTITLED FIT PREMISES AJ)DING ADDITIONAL SAFETY REQUIREMENTS,
22-36,2022-07-26,2022-07,passed,pdftext,AN ORDINANCE AMENDING CHAPTER 19.86 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO THE POWERS AND DUTIES OF THE HISTORIC PRESERVATION COMMISSION,
22-37,2022-08-08,2022-08,passed,pdftext,AN ORDINANCE ADOPTING A FINAL BUDGET,
22-38,2022-08-08,2022-08,passed,pdftext,"AN ORDINANCE APPROVING A MONETARY CONTRIBUTION OF UP TO $22,000 TO THE ASIAN ASSOCIATION OF UTAH",
22-40,2022-09-12,2022-09,passed,pdftext,AN ORDINANCE AMENDING SECTION 2.22.170 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO DISPOSAL OF PERSONAL PROPERTY AND OTHER RELATED MATTERS,
22-41,2022-09-26,2022-09,passed,pdftext,"AN ORDINANCE EST ABLISHING A MUNICIPAL ENERGY SALES AND USE TAX, SETTING THE RATE FOR SUCH TAX, AND EST ABLISHING THE EFFECTIVE DATE FOR SUCH TAX",
22-42,2022-09-26,2022-09,passed,pdftext+ocrL,"AN ORDINANCE AMENDING TITLE 10 0F THE MILLCREEK CODE OF ORDINANCES REGARDING CAMPmG ON PUBLIC GROUNDS, STREETS, PARKS, AND PLAYGROUNDS",
22-43,2022-09-26,2022-09,passed,pdftext,,
22-44,2022-09-26,2022-09,passed,pdftext,AN ORDINANCE AMENDING THE MODERATE INCOME HOUSING ELEMENT OF THE GENERAL PLAN TO INCLUDE MODERATE INCOME HOUSING STRATEGIES AND AN IMPLEMENT ATION PLAN PURSUANT TO UTAH CODE ANN. § 10-9A-403,
22-45,2022-09-26,2022-09,passed,pdftext,AN ORDINANCE NOTIFYING THE PUBLIC OF A PENDING ORDINANCE THAT WOULD AMEND THE FLAG LOT POLICY,
22-46,2022-10-10,2022-10,passed,pdftext,AN ORDINANCE AMENDING THE 2022-23 FISCAL YEAR BUDGET,
22-48,2022-11-01,2022-11,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $5,000 TO THE MILLCREEK COMMUNITY THEATER",
22-49,2022-12-12,2022-12,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL AJ)OPTING MILLCREEK'S 2023 REGULAR MEETINGS SCHEDULE,
22-51,2022-12-12,2022-12,passed,text-layer(oversize),AN ORDINANCE ADOPTING THE 3300 SOUTH CORRIDOR STUDY AS AN ELEMENT OF THE GENERAL PLAN,
23-01,2022-01-01,2022-01,passed,pdftext,"AN ORDINANCE AMENDING SECTION 2.82.100 0F THE MILLCREEK CODE OF ORDINANCES REGARDING APPEALS OF THE CITY'S CLASSIFICATION OF A RECORD, THE FEES CHARGED FOR A RECORD, OR BY A RESPONSE TO A RECORD REQUE",
23-02,,2023-01,passed,pdftext,"AN ORDINANCE AMENDING THE 2022-23 FISCAI, YEAR BUDGET",
23-03,2023-01-23,2023-01,passed,pdftext,AN ORDINANCE APPROVING AND AMENDING A DEVELOPMENT AGREEMENT FOR A MIXED-USE DEVELOPMENT WITH RESPECT TO APPROXIMATELY O.64 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 4080-4090 S HIGHLAND DRIVE,
23-04,2023-02-27,2023-02,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $45,000 TO THE COMMUNITY COUNCILS, UP TO $150,000 TO UTAH VENTURE OUTDOORS, UP TO $15,000 TO THE UT AH RIVERS COUNCIL, AND UP TO $12,000 TO THE",
23-05,2023-02-23,2023-02,passed,pdftext,AN ORDINANCE REMOVING THREE ZONE CONDITIONS FROM PROPERTY LOCATED AT 3701 SOUTH HIGHLAND DRIVE,
23-06,2023-02-27,2023-02,passed,pdftext,AN ORDINANCE REZONING THE SOUTHERN PORTION OF PROPERTY LOCATED AT APPROXIMATELY 1200 EAST ELGIN AVENUE FROM THE R-2-6.5 (MEDIUM DENSITY RESIDENTIAL) ZONE TO THE R-M (MULTIFAMILY RESIDENTIAL) ZONE,
23-07,,2023-03,passed,pdftext,"AN ORDINANCE APPROVIIING AN DEVELOPMENT AGREEMENT FOR PRI MILLCREEK, LLC FOR PROPERTY LOCATED AT OR NEAR 175 WEST CENTRAL AVENUE",
23-08,2023-03-13,2023-03,passed,pdftext,AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES WITH RESPECT TO THE BULK AND YARD REGULATIONS OF THE CITY CENTER OVERLAY ZONE CHAPTER 19.73,
23-09,2023-03-13,2023-03,passed,pdftext,"AN ORDINANCE REPEALING SECTION 19.02.055, REPEAI,ING AND REENACTING TITLE 18 SUBDIVISIONS OF THE MILLCREEK CODE OF ORDINANCES, AND ADOPTING A SUBDIVISION REQUIREMENTS CHECKLIST AS AN APPENDIX TO TITLE",
23-10,2023-04-10,2023-04,passed,pdftext,AN ORDINANCE AMENDING TITLE 2 CHAPTER 11 0F THE MILLCREEK CODE OF ORDINANCES ENTITLED DECLARATION OF CANDIDACY,
23-11,2023-04-10,2023-04,passed,pdftext,"AN ORDINANCE OF MILLCREEK AUTHORIZING THE AMENDMENT TO VARIOUS SECTIONS OF THE MILLCREEK CODE OF ORDINANCES TO REPLACE OUTDATED REFERENCES TO OTHER SECTIONS OF CODE, FIX TYPOS AND GRAMMAR ERRORS, PRON",
23-12,,2023-04,passed,pdftext,"AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES BY AMENDING CHAPTER 19.04 DEFmITIONS, REPEALING CHAPTER 19.77 WATER EFFICIENT LANDSCAPE DESIGN AND DEVELOPMENT STANDARDS, ENACTING A ",
23-13,2023-04-01,2023-04,passed,pdftext,"AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES BY AMENDING VARIOUS SECTIONS OF TITLE 19, REPEALING CHAPTER 19.80 0FF-STREET PARKING REQUIREMENTS, AND ENACTING A REVISED CHAPTER 19.",
23-14,,2023-04,passed,pdftext+ocrL,"AN ORDINANCE DECLARING APPROXIMATELY 10,753 SQUARE FEET OF REAL PROPERTY LOCATED AT 3210 SOUTH HIGHLAND DRIVE, MILLCREEK, UT AH, AS SURPLUS",
23-15,2023-04-10,2023-04,passed,pdftext,"AN ORDINANCE DECLARING APPROXIMATELY 2,614 SQUARE FEET OF REAL PROPERTY LOCATED AT 3210 SOUTH HIGHLAND DRIVE, MILLCREEK, UT AH, AND APPROXIMATELY 1,742 SQUARE FEET OF REAL PROPERTY LOCATED AT 3254 SOU",
23-16,2023-04-24,2023-04,passed,pdftext,AN ORDINANCE AMENDING THE 2022-23 FISCAL YEAR BtJDGET,
23-17,2023-04-24,2023-04,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $2,500 TO THE FRIENDS OF MILLCREEK SENIOR CENTER",
23-18,2023-04-24,2023-04,passed,pdftext,"AN ORDINANCE REGULATING, PREVENTING, AND BANNING THE DISCHARGE OF FIREWORKS WITHIN CERT AIN AREAS OF THE CITY",
23-19,2023-05-01,2023-05,passed,pdftext,AN ORDINANCE EXTENDING THE MAYOR'S EMERGENCY PROCLAMATION N0. 1 0F 2023 DECLARING A LOCAL ST ATE OF EMERGENCY,
23-20,,2023-06,passed,pdftext,AN ORDINANCE REZONING THE PROPERTIES LOCATED AT APPROXIMATELY 3956-3960 SOUTH 300 EAST FROM THE R-2-10 (MEDIUM DENSITY RESIDENTIAl) ZONE TO THE R-M (MULTIFfflY RESIDENTIAL) ZONE,
23-21,2023-06-12,2023-06,passed,pdftext,"AN ORDINANCE OF THE CITY COUNCIL OF MILLCREEK APPROVING AND AUTHORIZING MILLCREEK TO ENTER INTO A DEVELOPMENT AGREEMENT WITH LM HTJANG LLC, PERT AINING TO PROPERTY LOCATED AT 3956 & 3960 SOUTH 300 EAS",
23-22,2023-06-01,2023-06,passed,pdftext,AN ORDINANCE OF MILLCREEK ADOPTING A FINAL BUDGET,
23-23,2023-06-26,2023-06,passed,pdftext,AN ORDINANCE AMENDING THE 2022-23 FISCAL YEAR BUDGET,
23-24,2023-06-26,2023-06,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 3564 S 1100 E FROM THE R-1-8 ZONE TO THE R-1-5 ZONE,
23-25,2023-06-26,2023-06,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A 3 LOT SUBDIVSION IN THE R-1-5 ZONE WITH RESPECT TO APPROXIMATELY O.72 ACRES OF REAL PROPERTY LOCATED AT APPROXIMATELY 3564,
23-26,2023-06-26,2023-06,passed,pdftext,AN ORDINANCE ADOPTING A COMPENSATION SCHEDULE FOR ELECTIVE AND ST ATUTORY EMPLOYEES,
23-27,2023-07-10,2023-07,adopted,pdftext+ocrL,AN ORDINANCE AMENDING CHAPTER 3.48 0F THE MILLCREEK CODE OF ORDINANCES REGARDING PLANNING AND ENGINEERING FEES,
23-28,2023-07-25,2023-07,passed,pdftext,"AN ORDINANCE AMENDING CHAPTER 2.56 0F THE MILLCREEK CODE OF ORDINANCES REGARDING COMMUNITY COUNCIL ELECTIONS, COMMUNITY COUNCIL RECOMMENDATIONS, AND APPROPRIATION OF FUNDS TO COMMUNITY COUNCILS",
23-29,2023-07-25,2023-07,passed,pdftext,"AN ORDINANCE AMENDING SECTION 14.16.040 0F THE MILLCREEK CODE OF ORDINANCES REGARDING FEES FOR ROAD CLOSURES, TRAFFIC CONTROL, OR OBSTRUCTIONS ON RIGHTS-OF-WAY",
23-30,2023-08-01,2023-08,passed,pdftext,"AN ORDINANCE OF MILLCREEK AMENDING MILLCREEK CODE SECTIONS 2.04.050 AND 2.06A.030 REGARDING COMPENSATION PAID TO CITY COUNCIL MEMBERS AND THE MAYOR TO BE EFFECTIVE JANUARY 1, 2024",
23-31,2023-09-25,2023-09,adopted,pdftext,"AN ORDINANCE GRANTING TO QUESTAR GAS COMPANY dba DOMINION ENERGY UTAH A FRANCHISE FORTHE CONSTRUCTION, OPERATION AND MAINTENANCE OF A GAS DISTRIBUTION SYSTEM IN Mu,LCREEK, SALT LAKE COUNTY, ST ATE OF ",
23-32,2023-09-25,2023-09,passed,pdftext,AN ORDINANCE REZONING CERT AIN PROPERTY LOCATED AT APPROXIMATELY 3179 SOUTH HIGHLAND DRIVE FROM R-1-8 (RESIDENTIAL) TO C-3 (COMMERCIAL),
23-33,2023-09-25,2023-09,passed,pdftext,AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A DEVELOPMENT AGREEMENT FOR A MEDICAL OFFICE BUILDING WITH RESPECT TO APPROXIMATELY ONE ACRE OF REAL PROPERTY LOCATED AT APPROXIMATELY 3179 SOUTH HIGHLA,
23-34,,2023-09,adopted,pdftext+ocrL,AN ORDINANCE AMENDING THE MILLCREEK GENERAL PLAN BY CHANGING THE FUTURE LAND USE MAP FOR CERT AIN PROPERTY LOCATED AT APPROXIMATELY 3179 SOUTH HIGHLAND DRIVE FROM PUBLIC/QUASI PUBLIC TO CITY CENTER,
23-35,2023-10-23,2023-10,passed,pdftext,"AN ORDINANCE APPROVING A MONET ARY CONTRIBUTION OF UP TO $5,000 TO THE MILLCREEK COMMUNITY THEATER AND UP TO $6,000 FOR HIGH SCHOOL SCHOLARSHIPS",
23-36,2023-10-23,2023-10,passed,pdftext,AN ORDINANCE AMENDING TITLE 19 0F THE MILLCREEK CODE OF ORDINANCES BY AMENDING SECTION 19.02.160 PUBLIC NOTICES AND ENACTING CHAPTER 19.62 VILLAGE CENTER SPECIAL DISTRICTS,
23-37,2023-10-23,2023-10,passed,pdftext,"AN ORDINANCE AMENDING TITLE 19 0F THE M[LLCREEK CODE OF ORDINANCES BY ENACTING CHAPTER 19.62A, A NEW VILLAGE CENTER SPECIAL DISTRICT CALLED OLYMPUS HILLS WEST VILLAGE CENTER DISTRICT (OHW-VCSD), OTHER",
23-38,2023-10-23,2023-10,passed,pdftext,,
23-39,2023-10-23,2023-10,passed,pdftext,"AN ORDINANCE OF THE MILLCREEK COUNCIL APPROVING A MASTER DEVELOPMENT AGREEMENT FOR THE OLYMPUS HILLS VILLAGE CENTER, INCLUSIVE OF A NEW AUTOMOBILE DEALERSHIP AND A MULTnJSE PROJECT WITH RESPECT TO APP",
23-40,2023-10-23,2023-10,passed,pdftext,AN ORDINANCE OF MILLCREEK REPEALING AND REENACTING THE CITY ETHICS CODE,
23-41,2023-11-01,2023-11,monthyear,pdftext,AN ORDINANCE AMENDING THE 2023-24 FISCAL YEAR BUDGET,
23-42,,2023-11,adopted,pdftext,"AN ORDINANCE APPROVING AND AMENDING A DEVELOPMENT AGREEMENT WITH RESPECT TO AN AFFORDABLE MULTI- FAMILY HOUSING PROJECT TO BE KNOWN AS ""THE HOWICK"" WHICH WILL BE LOCATED AT 4101 SOUTH HOWICK STREET, M",
