title,chapter,chapter_title,section,heading,path,source_url,chapter_xml_url,retrieved_date,doc_class
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-801,Land use authority requirements -- Nature of land use decision.,text/17-79/17-79-801.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S801.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-802,Urban development in municipal expansion area -- Requirements.,text/17-79/17-79-802.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S802.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-803,Applicant's entitlement to land use application approval -- Application relating to land in a high priority transportation corridor -- County's requirements and limitations -- Vesting upon submission of development plan and schedule.,text/17-79/17-79-803.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S803.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-804,Limit on fees -- Requirement to itemize fees -- Appeal of fee.,text/17-79/17-79-804.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S804.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-805,Review for application completeness -- Substantive application review -- Reasonable diligence required for determination of whether improvements or warranty work meets standards -- Money damages claim prohibited.,text/17-79/17-79-805.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S805.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-806,Simple boundary adjustment -- Full boundary adjustment -- Process -- Review by land use authority.,text/17-79/17-79-806.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S806.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-807,Boundary establishment -- Process -- Boundary agreement not subject to review by land use authority -- Prohibitions.,text/17-79/17-79-807.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S807.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-808,Site plan.,text/17-79/17-79-808.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S808.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-809,Identical plan review -- Process -- Indexing of plans -- Prohibitions.,text/17-79/17-79-809.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S809.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-810,Fees collected for construction approval -- Approval of plans.,text/17-79/17-79-810.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S810.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-811,Provisions applicable to a provider of culinary or secondary water.,text/17-79/17-79-811.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S811.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-812,Exactions -- Requirement to offer to original owner property acquired by exaction -- Exaction for right-of-way improvements -- Improvement completion assurance requirements.,text/17-79/17-79-812.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S812.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-813,Exactions for water rights.,text/17-79/17-79-813.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S813.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-901,Enforcement -- Limitations on a county's ability to enforce an ordinance by withholding a permit or certificate.,text/17-79/17-79-901.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S901.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-902,Penalties -- Notice.,text/17-79/17-79-902.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S902.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-903,Nonconforming uses and noncomplying structures.,text/17-79/17-79-903.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S903.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1001,Appeal authority required -- Condition precedent to judicial review -- Appeal authority duties.,text/17-79/17-79-1001.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1001.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1002,Variances.,text/17-79/17-79-1002.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1002.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1003,Appealing a land use authority's decision -- Panel of experts for appeals of geologic hazard decisions.,text/17-79/17-79-1003.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1003.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1004,Time to appeal.,text/17-79/17-79-1004.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1004.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1005,Burden of proof.,text/17-79/17-79-1005.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1005.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1006,Due process.,text/17-79/17-79-1006.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1006.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1007,Scope of review of factual matters on appeal -- Appeal authority requirements.,text/17-79/17-79-1007.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1007.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1008,Final decision.,text/17-79/17-79-1008.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1008.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1009,No district court review until administrative remedies exhausted -- Time for filing -- Tolling of time -- Standards governing court review -- Record on review -- Staying of decision.,text/17-79/17-79-1009.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1009.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 17,17-79,"County Land Use, Development, and Management Act",17-79-1010,Consent agreement.,text/17-79/17-79-1010.txt,https://le.utah.gov/xcode/Title17/Chapter79/17-79-S1010.html,https://le.utah.gov/xcode/Title17/Chapter79/C17-79_2025110620251206.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-101,Title.,text/13-43/13-43-101.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S101.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-102,Definitions.,text/13-43/13-43-102.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S102.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-201,Office of the Property Rights Ombudsman.,text/13-43/13-43-201.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S201.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-202,Land Use and Eminent Domain Advisory Board -- Appointment -- Compensation -- Duties.,text/13-43/13-43-202.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S202.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-203,Office of the Property Rights Ombudsman -- Duties.,text/13-43/13-43-203.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S203.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-204,Office of the Property Rights Ombudsman -- Arbitration or mediation of disputes.,text/13-43/13-43-204.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S204.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-205,Advisory opinion.,text/13-43/13-43-205.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S205.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
Title 13,13-43,Property Rights Ombudsman Act,13-43-206,Advisory opinion -- Process.,text/13-43/13-43-206.txt,https://le.utah.gov/xcode/Title13/Chapter43/13-43-S206.html,https://le.utah.gov/xcode/Title13/Chapter43/C13-43_1800010118000101.xml,2026-07-20,statute
