candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Barnard Jon White,County Council,2008,2008-10-22,Pre-General,c_and_e_report,922,922,,0,,,,,,,,0,0,raw/2008/2008_wb_bjwhite.pdf,cache_county|37f2239268f3|raw/2008/2008_wb_bjwhite.pdf,high,'TOTALS FROM LAST REPORT' column left entirely blank.
David Nephi Zook,County Executive,2022,2022,,c_and_e_report,19505,12331.89,804.43,7977.54,,,,,,,,0,0,raw/2022/2022_cc_David_Nephi_Zook.pdf,cache_county|e7e3c307ec7d|raw/2022/2022_cc_David_Nephi_Zook.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ⚠ The office box names TWO offices ('County Executive/Surveyor') — the same combined wording Cache executives have used since 2010; office_std records the first-named County Executive. Born-digital typed form. The Schedule A page footer prints 'Total Contributions Received $ 19,505'.; one transcription applied to 2 index rows (identical bytes)"
David Nephi Zook,County Executive,2022,2022,,c_and_e_report,2250.00,8393.97,7977.54,1833.57,,,,,,,,0,0,raw/2022/2022_cc_David_Nephi_Zook_22G.pdf,cache_county|3841b577cdb1|raw/2022/2022_cc_David_Nephi_Zook_22G.pdf,high,"⚠ CORRECTS THE OCR SIDECAR: the text layer read box C as '$21,785.00'; the page image plainly reads **$21,755.00**. The verbatim page value is what is recorded. This filing DOES differ between the This-Period and Year-to-Date columns (B 2,250.00 vs C 21,755.00), so it is an INCREMENTAL report. The candidate's address and email are redacted (blacked out) on the published PDF by the county, not by this repo.; one transcription applied to 2 index rows (identical bytes)"
David Nephi Zook,County Executive,2022,2022,,c_and_e_report,19505,12331.89,804.43,7977.54,,,,,,,,0,0,raw/2022/2022_wb_David_Nephi_Zook.pdf,cache_county|e7e3c307ec7d|raw/2022/2022_wb_David_Nephi_Zook.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; ⚠ The office box names TWO offices ('County Executive/Surveyor') — the same combined wording Cache executives have used since 2010; office_std records the first-named County Executive. Born-digital typed form. The Schedule A page footer prints 'Total Contributions Received $ 19,505'.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
David Nephi Zook,County Executive,2022,2022,Pre-General,c_and_e_report,2250.00,8393.97,7977.54,1833.57,,,,,,,,0,0,raw/2022/2022_wb_David_Nephi_Zook_22G.pdf,cache_county|3841b577cdb1|raw/2022/2022_wb_David_Nephi_Zook_22G.pdf,high,"⚠ CORRECTS THE OCR SIDECAR: the text layer read box C as '$21,785.00'; the page image plainly reads **$21,755.00**. The verbatim page value is what is recorded. This filing DOES differ between the This-Period and Year-to-Date columns (B 2,250.00 vs C 21,755.00), so it is an INCREMENTAL report. The candidate's address and email are redacted (blacked out) on the published PDF by the county, not by this repo.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Marc Ensign,County Executive,2022,2022,,c_and_e_report,32317.32,32317.32,0,0,,,,,,,,0,0,raw/2022/2022_cc_Marc_Ensign.pdf,cache_county|b2c79201fde1|raw/2022/2022_cc_Marc_Ensign.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Boxes A and 'Balance at Close' carry a hand-drawn zero glyph (a slashed O) rather than a digit — transcribed as '0' at medium confidence. Box B's cents are written over a struck-through '32'. Schedule A page was not read in this tranche, so total_contributions_received is left blank (not zero).; BOOKKEEPING REPAIR 2026-08-02 (resumed session): the record was written with an EMPTY sha256 and a single-path applies_to; both filled in from the ledger (the two paths are byte-identical, sha256 b2c79201…, verified by shasum). The transcribed VALUES are unchanged.; one transcription applied to 2 index rows (identical bytes)"
Marc Ensign,County Executive,2022,2022,,c_and_e_report,32317.32,32317.32,0,0,,,,,,,,0,0,raw/2022/2022_wb_Marc_Ensign.pdf,cache_county|b2c79201fde1|raw/2022/2022_wb_Marc_Ensign.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Boxes A and 'Balance at Close' carry a hand-drawn zero glyph (a slashed O) rather than a digit — transcribed as '0' at medium confidence. Box B's cents are written over a struck-through '32'. Schedule A page was not read in this tranche, so total_contributions_received is left blank (not zero).; BOOKKEEPING REPAIR 2026-08-02 (resumed session): the record was written with an EMPTY sha256 and a single-path applies_to; both filled in from the ledger (the two paths are byte-identical, sha256 b2c79201…, verified by shasum). The transcribed VALUES are unchanged.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
D Chad Jensen,Sheriff,2022,2022,,c_and_e_report,0,0,0,,,,,,,,,0,0,raw/2022/2022_cc_D_Chad_Jensen_22G.pdf,cache_county|6435043a6ca3|raw/2022/2022_cc_D_Chad_Jensen_22G.pdf,medium,"⚠ THIS FILING IS THE OTHER WAY ROUND FROM THE FILER'S OWN NOVEMBER ONE: boxes B (contributions this period), D (expenditures this period), A and F carry a hand-drawn slashed-O zero glyph (transcribed '0' at medium confidence), while ONLY the Year-to-Date boxes C and E carry $618.20. The 'Balance at Close of Reporting Period' box is left entirely EMPTY — recorded blank, not zero. Report type: '30 Days after the General Election'.; one transcription applied to 2 index rows (identical bytes)"
D. Chad Jensen,Sheriff,2022,2022,,c_and_e_report,618.20,618.20,0,0,,,,,,,,0,0,raw/2022/2022_cc_D_Chad_Jensen.pdf,cache_county|1109559869b0|raw/2022/2022_cc_D_Chad_Jensen.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Report type: the 'Seven days preceding the General Election' box is marked. Boxes A and 'Balance at Close' hold a hand-drawn slashed-O zero glyph, transcribed '0' at medium confidence. Schedule A/B page footers were not read in this tranche.; one transcription applied to 2 index rows (identical bytes)"
D. Chad Jensen,Sheriff,2022,2022,,c_and_e_report,618.20,618.20,0,0,,,,,,,,0,0,raw/2022/2022_wb_D_Chad_Jensen.pdf,cache_county|1109559869b0|raw/2022/2022_wb_D_Chad_Jensen.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Report type: the 'Seven days preceding the General Election' box is marked. Boxes A and 'Balance at Close' hold a hand-drawn slashed-O zero glyph, transcribed '0' at medium confidence. Schedule A/B page footers were not read in this tranche.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
D. Chad Jensen,Sheriff,2022,2022,Pre-General,c_and_e_report,0,0,0,,,,,,,,,0,0,raw/2022/2022_wb_D_Chad_Jensen_22G.pdf,cache_county|6435043a6ca3|raw/2022/2022_wb_D_Chad_Jensen_22G.pdf,medium,"⚠ THIS FILING IS THE OTHER WAY ROUND FROM THE FILER'S OWN NOVEMBER ONE: boxes B (contributions this period), D (expenditures this period), A and F carry a hand-drawn slashed-O zero glyph (transcribed '0' at medium confidence), while ONLY the Year-to-Date boxes C and E carry $618.20. The 'Balance at Close of Reporting Period' box is left entirely EMPTY — recorded blank, not zero. Report type: '30 Days after the General Election'.; cross-channel byte-identical duplicate — group on sha256 before summing; one transcription applied to 2 index rows (identical bytes)"
Allison Goulais,,2024,2024-11-01,Pre-General,c_and_e_report,1320.00,1220.00,0,100.00,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Allison_Goulais.pdf,cache_county|af68a4b2668b|raw/2024/2024_cc_2024_General_Allison_Goulais.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Born-digital typed cache_cfd (4 pages: cover, Schedule A, Schedule B, Summary Page). The instrument is the Cache County Clerk/Auditor 'Financial Campaign Report for County Offices and Local School Board Candidates', which by design does not discriminate county from school board — and the Office box is blank, so scope stays undetermined per the protocol's scope rule. No statutory citation is printed on any page. Cover 'Is this report an amendment?' is marked No. Schedule A printed 'Total Contributions Received $ 1,320.00' (subtotal for page also 1,320.00); Schedule B printed 'Total Expenditures Made $ 1,220.00'. Odd but recorded verbatim: Schedule B's first expenditure line repeats the Schedule A contributor 'Shannon Rhodes' with purpose 'Filing Fee' 170.00, and its second names 'Cache Democrats / Square One Printing' 450.00 and third 'Travis Marble' 600.00 — i.e. the three largest Schedule A contributors reappear as vendors. Recorded as printed; not reconciled. Box A reads '0.0' (not '0.00') and is transcribed verbatim."
Frank C. Stewart,,2024,2024-11-01,Pre-General,c_and_e_report,0,,,,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Frank_C_Stewart.pdf,cache_county|44ba8c3e3ac3|raw/2024/2024_cc_2024_General_Frank_C_Stewart.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Cache County Clerk/Auditor 'Candidate Financial Disclosure / Financial Campaign Report for County Offices and Local School Board Candidates' (2022+ instrument); no statutory citation is printed on the form. Cover: candidate 'Frank C. Stewart', address '1146 No. 680 E, Logan UT 84341', phone '435 770 0844', email 'f.stewart@ ... tech-edu' (email domain not confidently legible); 'Mark the applicable report' has an X on 'Seven days preceding the General Election'; 'Is this report an amendment?' is marked 'No'; Date of Report 10/21/24; 'Office Use Only' Logged/Transmitted circles are both UNMARKED. Page 2 Schedule A carries the single handwritten word 'None' and no itemized rows; its 'Subtotal for this page' and 'Total Contributions Received' are both a large hand-drawn OPEN O GLYPH used as a zero — transcribed '0' at confidence medium per protocol rule 3. Page 3 Schedule B has one itemized line, '1) County Clerk Candidate Filing Fee - $50', and both its 'Subtotal for this page' and 'Total Expenditures Made' read '50' (each hand-CIRCLED by the filer; a trailing dash follows the figure). SUMMARY PAGE ANOMALY — boxes D, E and 'Balance at Close of Reporting Period' each contain ONLY the filer's own hand-drawn dollar sign with NO figure written after it; this is verified by comparing the identical '$' glyph the filer drew immediately before the '50' on Schedule B (both are an S-loop crossed by two vertical strokes). They are therefore NOT zeros and were NOT read as zeros — recorded verbatim as '$'. Boxes A and F are entirely blank. Consequence: the filing's own summary states no expenditure figure even though its Schedule B states 50; that disagreement is the filer's and is retained, not reconciled. SCOPE: left 'undetermined' because the Office box is blank. The Schedule B line is a LEAD, not a determination, and is ambiguous on its face — it reads either as vendor='County Clerk' + purpose='Candidate Filing Fee' (i.e. the fee every county-form filer pays to the Clerk, which does not discriminate County Council vs Clerk/Auditor vs SCHOOL BOARD, since school-board candidates also file with the county clerk) or as 'County Clerk candidate' filing fee (i.e. a Clerk/Auditor candidacy). Neither reading can be settled from this document's own pages, so no office was assigned; an elections-canvass join is the right next instrument. Ledger candidate name 'Frank C. Stewart' MATCHES the document's typed/handwritten name in all four page footers — no conflict."
Jeff Ostermiller,,2024,2024-11-01,Pre-General,c_and_e_report,0,50.00,0,0,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Jeff_Ostermiller.pdf,cache_county|7981461692f5|raw/2024/2024_cc_2024_General_Jeff_Ostermiller.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Four pages on the 2022+ Cache County Clerk/Auditor instrument: p1 cover, p2 Schedule A, p3 Schedule B, p4 Summary Page with lettered boxes A-F. FORM-TITLE VARIANT worth recording: this copy's printed title reads only 'Financial Campaign Report for County Offices' - it does NOT carry the '...and Local School Board Candidates' clause that the same-cycle David R. Gillie and Craig McAllister copies carry, and its cover offers five report-type choices rather than three. It is otherwise the identical instrument (same seal, same Where to File block, same Schedule A/B/Summary layout), so form_read is 'cache_cfd'. No statutory citation is printed on any page. SCOPE IS UNDETERMINED, NOT COUNTY: the Office box is empty. The office was NOT inferred from the header, from the Logan residence address, or from the ledger - nothing on the page evidences an office. ZERO GLYPHS: boxes A, B, C, F and the 'Balance at Close of Reporting Period' box on the Summary Page, and both Schedule A totals ('Subtotal for this page' and 'Total Contributions Received'), are each a hand-drawn slashed O used as a zero - transcribed '0' at confidence medium per protocol rule 3. Schedule A carries no line items; the word 'NA' is hand-written in the 'Name of Contributor' column of the first row. Schedule B carries exactly ONE line item: '1/8/2024 | CACHE CO. | CANDIDATE REGISTRATION | $50.00'. FILER ARITHMETIC DISAGREEMENT, recorded not corrected: the Summary Page's own instructions make box F = A + B (= 0, which is what is written) and 'Balance at Close' = F - D (= 0 - 50.00 = -50.00), but the filer wrote a slashed-O zero in the closing-balance box rather than a negative figure. Both boxes are transcribed exactly as printed; no value was computed or reconciled here. LEGIBILITY: box E's figure is written '50.0' with a faint trailing stroke where box D clearly reads '50.00'; the same hesitancy affects Schedule B's 'Total Expenditures Made' line, whose final characters curl. Both are recorded as '50.00' at confidence MEDIUM to flag the stroke, and neither digit was guessed beyond what the page supports. A vertical Clerk/Auditor received stamp runs down the top-left margin of page 1; only 'CLERK/AUDITOR', 'RCVD' and '2024 OCT 11 PM' are recoverable from the tightly-spaced glyphs and the clock time is not, so the stamp is recorded at confidence low with the unreadable portion omitted rather than guessed. Page 4's 'Page' box is an overwritten scribble (a 4 written over another mark) - not transcribed. Ledger candidate 'Jeff Ostermiller' matches the cover name, the affirmation and all three footer blocks - no contradiction."
David R. Gillie,Clerk/Auditor,2024,2024-11-01,Pre-General,c_and_e_report,4017.45,6868.15,3000.00,149.30,,,,,,,,0,0,raw/2024/2024_cc_2024_General_David_R_Gillie.pdf,cache_county|467f4c4655af|raw/2024/2024_cc_2024_General_David_R_Gillie.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Six pages, all handwritten in blue ink on the 2022+ county 'Candidate Financial Disclosure / Financial Campaign Report for County Offices and Local School Board Candidates' instrument: p1 cover, p2 Schedule A, p3-p5 Schedule B (three pages), p6 Summary Page. Scan quality is good and every figure is legible. OFFICE MAPPING: the filer wrote 'Cache County Clerk'; the repo's standard label for the historic County Clerk / County Auditor titles is 'Clerk/Auditor', so office_std='Clerk/Auditor' with the verbatim wording preserved in cover.office_verbatim. No statutory citation is printed anywhere on the form. Schedule A prints both a 'Subtotal for this page $4017.45' and a 'Total Contributions Received $4017.45' (one Schedule A page only). Schedule B's three pages print per-page subtotals $3203.23 (p3), $2493.33 (p4) and $1171.59 (p5), each over the same 'Total Expenditures Made $6868.15'; the three subtotals sum to $6868.15 but that check is stated here only as an observation - no arithmetic was performed to fill any field, every value is transcribed as printed. IN-KIND NOTE (verbatim from the filer): two Schedule A rows - Ralph Call, 10 South Main Street, Providence UT 84332 (marked *) and Alan Lower / Lower Family Foods, 700 US HWY 91, Richmond UT 84333 (marked **) - carry NO dollar amount, with the footnote 'No attempt has been made to assign a cost to the two considerable In Kind donations. DRG'. Those two rows are therefore genuinely amount-less on the page and are excluded from the printed $4017.45 by the filer's own choice; they are not treated as zeros here. A Schedule B row on p5 (Frank Anderson 1360, Kamas UT, Data Consulting) is written as '$259.55 / -$100 (credit) / $159.55' - an overwrite-style netting shown on three stacked lines, recorded here as an observation, not normalized. Closing balance is printed as '$149.30' in the 'Balance at Close of Reporting Period (Box F - Box D)' box with no letter-G label on the form. No Clerk/Auditor received stamp is visible on any page. Ledger candidate 'David R. Gillie' matches the typed/handwritten name on every page - no contradiction."
Matt Funk,Clerk/Auditor,2024,2024-11-01,Pre-General,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Matt_Funk.pdf,cache_county|a407523bcc89|raw/2024/2024_cc_2024_General_Matt_Funk.pdf,medium,"SCOPE DECIDED ON THIS DOCUMENT'S OWN PAGE EVIDENCE ONLY, as instructed. The task flagged that a DIFFERENT 'Matt Funk' filing from 2012 in this same package was re-classified OUT of scope because its office line named a municipal/justice-court office. Nothing about that 2012 document was used here. This 2024 document's Office box contains one typed word and nothing else: 'Auditor'. There is no municipal, justice-court, precinct or school qualifier on the line. Read against the county's own instrument (whose printed title covers county offices and local school board candidates) and against the filer's Schedule B, which pays a Cache County Clerk candidate filing fee and the Cache County GOP, the office is the county Auditor, so scope='county'. OFFICE MAPPING: the repo's standard label for the historic 'Cache County Auditor' / 'County Clerk' titles is 'Clerk/Auditor'; the verbatim single word 'Auditor' is preserved in cover.office_verbatim. PAGE ORDER IS NON-STANDARD in this PDF: p1 cover, p2 SCHEDULE B, p3 SCHEDULE A, p4 Summary Page - Schedule B precedes Schedule A. pages_read lists physical PDF page numbers, not the form's own sequence. The document is TYPED (form-filled), not handwritten, and is clean and fully legible; only the 'Name of Candidate' and 'Date of Report' footers on pages 3 and 4 are hand-written, as a scrawled surname 'Funk' plus a date. SCHEDULE A IS ENTIRELY EMPTY: no contribution rows, and BOTH its printed total lines - 'Subtotal for this page $' and 'Total Contributions Received $' - are left BLANK, not zeroed. schedule_totals.total_contributions_received is therefore '' (empty), per the protocol's instruction never to add rows up or supply a figure the page does not print. Schedule B lists 13 expenditure rows and prints 'Subtotal for this page $5,336.91' and 'Total Expenditures Made $5,336.91'. FILER INCONSISTENCY, recorded not corrected: the Summary Page's box C, 'Contributions Received Year-to-Date', reads 5,336.91 - the SAME figure as box E, 'Expenditures Made Year-to-Date' - even though Schedule A is blank and states no contributions at all. Whether box C was meant to be zero, or to record self-funding equal to the spend, is not stated anywhere on the form; both boxes are transcribed exactly as printed and nothing was reconciled. Boxes B, D and F read a plain typed '0'; box A and the 'Balance at Close of Reporting Period' box each carry a smaller open-circle glyph that reads as a zero but is typographically distinct from the other three, so those two are recorded '0' at confidence MEDIUM. None of these are the hand-drawn slashed-O glyph. The cover offers only THREE report-type choices (30 Days after elimination / Seven days preceding the General Election / 30 Days after the General Election) - the same three-option variant as the David R. Gillie filing in this tranche - and the General box is marked with an X. The 'Date of Report' box on page 1 is blank; page 4 reads '10-18-24' and page 3's handwritten date is partly formed and reads as '10-15' or '10-18' (not transcribed into any field, since date_signed is taken from the typed signature-block date '10-18-2024'). RECEIVED STAMP: page 4 carries a clean typed stamp reading 'Clerk/Auditor RSVD / 2024 OCT 18 PM1:36' - the word is printed 'RSVD', not the 'RCVD' spelling used on the other 2024 filings in this tranche, and is recorded verbatim. Beneath it is a handwritten clerk signature that is not confidently legible; it is deliberately NOT transcribed rather than guessed. NAME NOTE vs THE LEDGER, not a contradiction: the ledger's candidate is 'Matt Funk'; the document types 'Matthew Funk' in both the Name of Candidate box and the affirmation, with the email 'matt.funk@gmail.com' on the same page - the same person under the full and familiar forms of one name."
K. Taylor Sorensen,County Attorney,2024,2024-11-01,Pre-General,c_and_e_report,1939.82,3714.09,0,,,,,,,,,0,0,raw/2024/2024_cc_2024_General_K_Taylor_Sorensen.pdf,cache_county|ccc1d218d02d|raw/2024/2024_cc_2024_General_K_Taylor_Sorensen.pdf,high,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Five pages, handwritten in black ink on the Cache County Clerk/Auditor instrument (printed title 'Financial Campaign Report for County Offices', without the '...and Local School Board Candidates' clause; five report-type choices on the cover): p1 cover, p2 Schedule A, p3 Schedule B page 1, p4 Schedule B page 2, p5 Summary Page. Scan quality is good. No statutory citation is printed on any page. A clean Clerk/Auditor received stamp sits at the top right of page 1 and is fully legible: 'CLERK/AUDITOR RCVD 2024 OCT 29 PM 1:25'. OVERWRITES ON THE SUMMARY PAGE (recorded, not corrected): boxes B, C, F and the 'Balance at Close of Reporting Period' box each carry a HEAVY SCRIBBLED-OUT earlier figure with the operative value written to its right. The obliterated figures are completely blacked out and unrecoverable - no attempt was made to read or reconstruct them. The operative values, which is what is transcribed, are B=1939.82, C=1939.82, F=1939.82 and, in the closing box, the parenthetical annotation '(self funded)' followed by '- 1774.27' (a negative balance; the minus sign is the filer's own and is retained verbatim). Box A reads '0.00' written plainly, box D '3,714.09' with a thousands comma, box E '3714.09' without one - both are transcribed exactly as each is written. THE SAME OVERWRITE APPEARS ON SCHEDULE A (p2): the 'Subtotal for this page $' line and the 'Total Contributions Received $' line are both scribbled through, with '1939.82' written above the subtotal line and '1939.82' written below the total line; those legible figures are what is recorded. SCHEDULE B spans two pages with per-page subtotals $3,351.80 (p3) and $362.29 (p4); the 'Total Expenditures Made $' line is LEFT BLANK on p3 and filled in only on p4 as '$3,714.09', which is the value recorded in schedule_totals. IN-KIND MARKINGS on Schedule A, recorded as observed: three rows carry a circled '(In kind)' annotation immediately before the amount - Chad Jensen, 280 E 9000 S Paradise UT, 75.00; Terryl Warner, 623 Anderson Ave. Hyrum UT, 265.00; and Terryl Warner, same address, 53.00. Unlike the Gillie filing in this same tranche, these in-kind rows DO carry dollar amounts. One further row, Cindy Holland 30.00 (3/15/2024), has no address written. Ledger candidate 'K. Taylor Sorensen' matches the cover name, the affirmation and all four footer blocks exactly - no contradiction."
Barbara Yost Tidwell,County Council,2024,2024-11-01,Pre-General,c_and_e_report,0,301.13,0,301.13,,,,,,,,0,0,raw/2024/2024_cc_2024_General_Barbara_Yost_Tidwell.pdf,cache_county|471016a98c8b|raw/2024/2024_cc_2024_General_Barbara_Yost_Tidwell.pdf,medium,"This-Period and Year-to-Date columns are equal — first/only report of the cycle; incremental and cumulative readings coincide; Handwritten (blue ink) on the Cache County Clerk/Auditor form. NOTE this printed header is the COUNTY-ONLY variant — 'Financial Campaign Report for County Offices', WITHOUT the 'and Local School Board Candidates' clause carried by the 2024 born-digital variant; classified form_read='cache_cfd' because the body is the same cover/Schedule A/Schedule B/Summary-Page instrument. The ledger's form_family='campaign_report_variant_unread' is superseded by direct page evidence. No statutory citation is printed on any page. Boxes A, B and C, and both Schedule A totals ('Subtotal for this page' and 'Total Contributions Received'), are each a hand-drawn slashed/crossed O glyph used as a zero — transcribed '0' at confidence medium per protocol rule 3. Schedule A body carries a single large handwritten 'N/A' across the rows. ARITHMETIC DISAGREEMENT, recorded as printed and NOT reconciled: box F is labelled 'Box A + Box B' (0 + 0 = 0) but the filer wrote 301.13; 'Balance at Close (Box F - Box D)' would be 0.00 but the filer wrote 301.13 — the filer appears to have carried the expenditure figure into both boxes. Page 5 is an attachment, not a form page: Square One Printing invoice 442142 (07/12/2024, BARBARA TIDWELL, yard signs/business cards/thank-you cards), SUBTOTAL $281.43 + State Tax $19.70 = TOTAL $301.13, AMOUNT PAID $301.13 — it corroborates the single Schedule B line. A vertical clerk received-stamp runs down the left margin of page 1 (legible fragments suggest a CLERK/AUDITOR received impression dated in October 2024) but it is too degraded in this render to transcribe any field reliably, so received_stamp is left empty at low confidence rather than guessed."
David Erickson,County Council,2024,2024-07-02,Pre-Primary,c_and_e_report,2983.08,3363.08,0,0,,,,,,,,0,0,raw/2024/2024_cc_2024_David_Erickson.pdf,cache_county|f81e028c0eb2|raw/2024/2024_cc_2024_David_Erickson.pdf,medium,"PDF page order is cover(1), Schedule A(2), Summary(3), Schedule B(4) -- the Summary is NOT the last physical page in this filing; Schedule B carries the filer's handwritten 'Page 3'. LEDGER CONFLICT: the ledger records scope_status=county_confirmed, but the page evidence cannot support that -- the Office box is blank, so scope is recorded here as 'undetermined' per the protocol rule that scope is decided by the office the filer wrote, never by the instrument. Candidate name matches the ledger ('David Erickson'). OVERWRITES: Box B has a heavily scribbled-out figure (illegible under the scribble) overwritten in the same green ink with '$2,983.08'; on Schedule A (page 2) both the 'Subtotal for this page' and the 'Total Contributions Received' lines show '380.00' struck through with '$2,983.08' written above/below in green ink -- the value recorded here is the surviving overwrite in each case. ARITHMETIC DISAGREEMENT NOTED, NOT RESOLVED: Box C (contributions year-to-date, $380.00) is smaller than Box B (contributions this period, $2,983.08), and the Schedule A total ($2,983.08) does not agree with Box F ($3,363.08); nothing was computed or reconciled here -- all figures are as printed. ZERO GLYPHS: Box A and 'Balance at Close' each contain a hand-drawn slashed/open O glyph used as a zero -- transcribed '0' at confidence medium per protocol. Box E is written as '$3,3?3.08' with the third digit overwritten/retraced; it reads as 3,363.08 and matches Box D and Box F, but confidence is medium on that one digit. Box C cents are written as a superscript flourish read as '00'. The Summary page's own 'Name of Candidate' / 'Date of Report' / 'Page' footer boxes are blank. The received stamp is red handwriting reading 'Received 4:55pm' followed by initials that are not legible; no date appears in the stamp. Form prints no statutory citation line."
David Erickson,County Council,2024,2024-11-01,Pre-General,c_and_e_report,0,0,0,0,,,,,,,,0,0,raw/2024/2024_cc_2024_General_David_Erickson.pdf,cache_county|9624fa71f986|raw/2024/2024_cc_2024_General_David_Erickson.pdf,high,"only the This-Period column is filled in — cannot tell from the filing whether earlier activity exists; Typed/word-processed entries on a scanned Cache County Candidate Financial Disclosure (cache_cfd), 4 pages: cover p1, Schedule A p2, Schedule B p3, Summary p4. A faint horizontal scanner rule crosses pages 2 and 4; it does not obscure any field.

COVER (p1): Name of Candidate 'David Erickson'. Address '360 West 7800 North', City 'Smithfield', State 'Utah' (spelled out, not the usual 'UT'), Zip '84335'. Office box BLANK. Phone '(435)770-0283'. Email 'crowmtn59@gmail.com'. Type of Report: an X-in-circle on 'Seven days preceding the General Election'; the other two options unmarked. Is this report an amendment? 'No' is marked with an X-in-circle. Affirmation printed name 'David Erickson'. Handwritten signature present. Date '10/29/2024'. Date of Report '10/29/2024'. Page 'Page 1'. Office Use Only: the 'Logged' and 'Transmitted' bullets appear as open circles over a heavily speckled grey scan block - neither can be read as definitively filled, so nothing is claimed for them; NO received stamp appears.

SCHEDULE A (p2): no itemized rows. A typed line under the column headers reads 'None received'. Subtotal for this page '0.00'. Total Contributions Received '0.00' (both printed after the form's preprinted '$'). Footer 'David Erickson', '10/29/2024', 'Page 2'.

SCHEDULE B (p3): no itemized rows. Typed line 'None expended'. Subtotal for this page '0.00'. Total Expenditures Made '0.00'. Footer 'David Erickson', '10/29/2024', 'Page 3'.

SUMMARY (p4): Box A '$ 0.00'. Box B '$ 0.00'. Box C '$ 3,363.08' with a typed parenthetical beneath it reading '(contibutions for convention and primary)' - the misspelling 'contibutions' is the filer's and is recorded verbatim. Box D '$ 0.00'. Box E '$ 3,363.08' with the parenthetical '(expenditures for convention and primary)'. Box F '$ 0.00'. Balance at Close of Reporting Period '$ 0.00'. The parentheticals are kept as part of the recorded values because they qualify what the year-to-date figures cover. Footer 'David Erickson', '10/29/2024', 'Page 4'.

No arithmetic problems observed: with A=B=D=0.00, F=0.00 and close=0.00 as printed. Boxes C and E are equal at $3,363.08, which the filer explains as the convention-and-primary phase totals carried forward; those figures are not derivable from this document's own schedules (both zero) and that is expected, not a contradiction.

LEDGER CHECK: the ledger's candidate value 'David Erickson' MATCHES the page evidence exactly. The ledger's scope_status='county_confirmed' is NOT supported by anything on these four page images - the Office line is blank and no office is stated anywhere in the document. Scope is recorded here as 'undetermined' per protocol. Whatever confirmed the county scope in the ledger came from outside this PDF (filename token, index, or an external roster), not from the filing itself. NOTE: this is the SECOND document in this chunk with a blank Office box that the ledger nonetheless marks 'county_confirmed' (the other is b7803180, Jess W. Bradfield) - worth checking whether the ledger's county_confirmed flag for the cache_cfd family is being set from the form title rather than the filled Office line."
