ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,case_no
21-54,2021-09-07,2021-09-07,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-10- 2021, FILED BY ADAM MAHER, REQUESTING A GENERAL PLAN CHANGE FROM NON-RETAIL COMMERCIAL TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM RB (RESIDENTIAL BUSINESS) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCAT",west_valley_city_council/meeting_minutes/minutes/2021/2021-09-06/2021-09-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-09-07,3,within_source,GPZ-10-2021
21-55,2021-09-14,2021-09-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-5-2021, FILED BY BRENT BEUTLER, REQUESTING A ZONE CHANGE FROM R-2-8 (TWO UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) TO R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) FOR PROPERTY LOCATED AT 3532 SOUTH 5450",west_valley_city_council/meeting_minutes/minutes/2021/2021-09-13/2021-09-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-09-14,2,within_source,Z-5-2021
21-56,2021-09-21,2021-09-21,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-7-2020, FILED BY HOLIDAY OIL, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) TO NEIGHBORHOOD COMMERCIAL AND A ZONE CHANGE FROM R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) TO C-1 (NEIGH",west_valley_city_council/meeting_minutes/minutes/2021/2021-09-20/2021-09-21_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-09-21,2,within_source,GPZ-7-2020
21-57,2021-09-21,2021-09-21,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-7-2020, FILED BY HOLIDAY OIL, REQUESTING A GENERAL PLAN CHANGE FROM LOW DENSITY RESIDENTIAL (3 TO 4 UNITS/ACRE) TO NEIGHBORHOOD COMMERCIAL AND A ZONE CHANGE FROM R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) TO C-1 (NEIGH",west_valley_city_council/meeting_minutes/minutes/2021/2021-09-20/2021-09-21_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-09-21,3,within_source,GPZ-7-2020
21-58,2021-10-05,2021-10-05,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2021-2022 BUDGET,west_valley_city_council/meeting_minutes/minutes/2021/2021-10-04/2021-10-05_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2021-10-05,2,within_source,
21-59,2021-10-19,2021-10-19,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SV-2-2021, FILED BY WEST VALLEY CITY, REQUESTING A VACATION OF A PUBLIC ALLEY BETWEEN WARNOCK AVENUE AND STRATFORD AVENUE AT 1685 WEST",west_valley_city_council/meeting_minutes/minutes/2021/2021-10-18/2021-10-19_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-10-19,2,within_source,
21-60,2021-10-19,2021-10-19,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SV-3-2021, FILED BY WEST VALLEY CITY, REQUESTING A VACATION OF A PUBLIC ALLEY BETWEEN CLAYBOURNE AVENUE AND RUSSET AVENUE AT 1685 WEST BETWEEN 2785 AND 2830 SOUTH",west_valley_city_council/meeting_minutes/minutes/2021/2021-10-18/2021-10-19_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-10-19,3,within_source,
21-61,2021-10-26,2021-10-26,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-5-2021, FILED BY PETERSEN STAGGS ARCHITECTS, LLP, REQUESTING A ZONE TEXT CHANGE TO AMEND STANDARDS FOR FAST-FOOD WITH DRIVE-THROUGHS IN THE 5600 WEST OVERLAY ZONE",west_valley_city_council/meeting_minutes/minutes/2021/2021-10-25/2021-10-26_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-10-26,2,within_source,
21-62,2021-11-16,2021-11-16,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION Z-6-2021, FILED BY ARCHITECTURAL COALITION, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE) TO M (MANUFACTURING) FOR PROPERTY LOCATED AT 7035 WEST GATES AVENUE",west_valley_city_council/meeting_minutes/minutes/2021/2021-11-15/2021-11-16_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-11-16,2,within_source,Z-6-2021
21-63,2021-12-14,2021-12-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-14-2021, FILED BY BRAD REYNOLDS, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM C- 2 (GENERAL COMMERCIAL) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED",west_valley_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-12-14,10,within_source,GPZ-14-2021
21-64,2021-12-14,2021-12-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-14-2021, FILED BY BRAD REYNOLDS, REQUESTING A GENERAL PLAN CHANGE FROM GENERAL COMMERCIAL TO MEDIUM DENSITY RESIDENTIAL (7 TO 12 UNITS/ACRE) AND A ZONE CHANGE FROM C- 2 (GENERAL COMMERCIAL) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED",west_valley_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-12-14,11,within_source,GPZ-14-2021
21-65,2021-12-07,2021-12-07,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION S-2-2021, FILED BY SHAUN JOHNSON, REQUESTING FINAL PLAT APPROVAL",west_valley_city_council/meeting_minutes/minutes/2021/2021-12-06/2021-12-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-12-07,2,within_source,
21-66,2021-12-14,2021-12-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-15-2021, FILED BY HAMLET DEVELOPMENT GROUP, REQUESTING A GENERAL PLAN CHANGE FROM FROM RURAL RESIDENTIAL (1 TO 2 UNITS/ACRE) TO LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RE (RESIDENTIAL E",west_valley_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-12-14,2,within_source,GPZ-15-2021
21-67,2021-12-14,2021-12-14,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-15-2021, FILED BY HAMLET DEVELOPMENT GROUP, REQUESTING A GENERAL PLAN CHANGE FROM FROM RURAL RESIDENTIAL (1 TO 2 UNITS/ACRE) TO LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE ½ ACRE) TO RE (RESIDENTIAL E",west_valley_city_council/meeting_minutes/minutes/2021/2021-12-13/2021-12-14_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2021-12-14,3,within_source,GPZ-15-2021
21-68,2022-01-04,2022-01-04,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2021-2022 BUDGET,west_valley_city_council/meeting_minutes/minutes/2022/2022-01-03/2022-01-04_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2022-01-04,2,within_source,
21-159,2021-08-24,2021-08-24,,west_valley_city_council/meeting_minutes/minutes/2021/2021-08-23/2021-08-24_council-regular-meeting.md,2026-07-06,na,minutes-derived-consent,,0,,2021-08-24,12,within_source,
22-01,2022-01-25,2022-01-25,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-7-2021, FILED BY RIK DUNHAM, REQUESTING FINAL PLAT APPROVAL FOR THE CR ENGLAND LOT 4 AMENDED SUBDIVISION LOCATED AT 4525 WEST 2100 SOUTH FRONTAGE ROAD",west_valley_city_council/meeting_minutes/minutes/2022/2022-01-24/2022-01-25_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-01-25,2,within_source,
22-02,2022-02-08,2022-02-08,ORDINANCE 22-02: AMEND SECTION 1-2-107(3) OF THE WEST VALLEY CITY MUNICIPAL CODE TO UPDATE ADMISSIONS FEES FOR THE WEST VALLEY CITY FAMILY FITNESS CENTER,west_valley_city_council/meeting_minutes/minutes/2022/2022-02-07/2022-02-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2022-02-08,12,within_source,
22-03,2022-02-01,2022-02-01,,west_valley_city_council/meeting_minutes/minutes/2022/2022-01-31/2022-02-01_council-regular-meeting.md,2026-07-06,na,minutes-derived-consent,,1,,2022-02-01,2,within_source,PUD-2-2021
22-04,2022-02-08,2022-02-08,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-7-2021, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO DEFINE AND ESTABISH PARKING STANDARDS FOR TOWNHOMES",west_valley_city_council/meeting_minutes/minutes/2022/2022-02-07/2022-02-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-02-08,2,within_source,
22-05,2022-02-08,2022-02-08,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-8-2021, FILED BY GARY CHRISTENSEN, REQUESTING FINAL PLAT APPROVAL FOR THE LAKE PARK PLACE SUBDIVISION- LOT 1 AMENDED, LOCATED AT 4099 WEST LAKE PARK BOULEVARD",west_valley_city_council/meeting_minutes/minutes/2022/2022-02-07/2022-02-08_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-02-08,3,within_source,
22-06,2022-02-15,2022-02-15,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-1-2022, FILED BY ANDERSON WHALEN AND ASSOCIATES, REQUESTING A GENERAL PLAN CHANGE FROM NEIGHBORHOOD COMMERCIAL TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM C-1 (NEIGHBORHOOD COMMERCIAL) TO C-2 (GENERAL COMMERCIAL) FOR PROPERTY LOCATED AT 4065 SOUTH 560",west_valley_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-02-15,2,within_source,GPZ-1-2022
22-07,2022-02-15,2022-02-15,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-1-2022, FILED BY ANDERSON WHALEN AND ASSOCIATES, REQUESTING A GENERAL PLAN CHANGE FROM NEIGHBORHOOD COMMERCIAL TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM C-1 (NEIGHBORHOOD COMMERCIAL) TO C-2 (GENERAL COMMERCIAL) FOR PROPERTY LOCATED AT 4065 SOUTH 560",west_valley_city_council/meeting_minutes/minutes/2022/2022-02-14/2022-02-15_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-02-15,3,within_source,GPZ-1-2022
22-08,2022-03-01,2022-03-01,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-6-2022, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO ALLOW INOPERABLE VEHICLE PARKING FOR AN AUTOMOBILE SERVICE UNDER CERTAIN CONDITIONS",west_valley_city_council/meeting_minutes/minutes/2022/2022-02-28/2022-03-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-03-01,2,within_source,
22-09,2022-03-01,2022-03-01,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SV-1-2022, FILED BY WEST VALLEY CITY, REQUESTING A STREET VACATION FOR A PORTION OF 4595 SOUTH AT APPROXIMATELY 4110 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-02-28/2022-03-01_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-03-01,3,within_source,
22-10,2022-03-15,2022-03-15,,west_valley_city_council/meeting_minutes/minutes/2022/2022-03-14/2022-03-15_council-regular-meeting.md,2026-07-06,na,minutes-derived-consent,,0,,2022-03-15,2,within_source,
22-11,2022-04-05,2022-04-05,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2021-2022 BUDGET,west_valley_city_council/meeting_minutes/minutes/2022/2022-04-04/2022-04-05_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2022-04-05,2,within_source,
22-12,2022-04-05,2022-04-05,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-4-2022, FILED BY JAKE LARSEN, REQUESTING A ZONE CHANGE FROM R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 10,000 SQUARE FEET) TO C-2 (GENERAL COMMERCIAL) FOR PROPERTY LOCATED AT 2858 SOUTH 5600 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-04-04/2022-04-05_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-04-05,3,within_source,Z-4-2022
22-13,2022-04-12,2022-04-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-2-2022, FILED BY CHRISTPHER CLIFFORD, REQUESTING A GENERAL PLAN CHANGE FROM MIXED USE AND LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) TO SMALL LOT RESIDENTIAL (4 TO 7 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RS (RESI",west_valley_city_council/meeting_minutes/minutes/2022/2022-04-11/2022-04-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-04-12,2,within_source,GPZ-2-2022
22-14,2022-04-12,2022-04-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-2-2022, FILED BY CHRISTPHER CLIFFORD, REQUESTING A GENERAL PLAN CHANGE FROM MIXED USE AND LARGE LOT RESIDENTIAL (2 TO 3 UNITS/ACRE) TO SMALL LOT RESIDENTIAL (4 TO 7 UNITS/ACRE) AND A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RS (RESI",west_valley_city_council/meeting_minutes/minutes/2022/2022-04-11/2022-04-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-04-12,3,within_source,GPZ-2-2022
22-15,2022-04-12,2022-04-12,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION ZT-2-2022, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO ADD ARTIFICIAL TURF STANDARDS AND AMEND SEVERAL LANDSCAPING STANDARDS",west_valley_city_council/meeting_minutes/minutes/2022/2022-04-11/2022-04-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-04-12,5,within_source,
22-16,2022-04-19,2022-04-19,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-5-2022, FILED BY NORTHROP GRUMMAN INNOVATIONS SYSTEMS, INC., REQUESTING AN AMENDMENT TO THE ZONING MAP BY REDUCING THE NUMBER AND CHANGING THE LOCATION OF OVERPRESSURE ZONES",west_valley_city_council/meeting_minutes/minutes/2022/2022-04-18/2022-04-19_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-04-19,2,within_source,Z-5-2022
22-17,2022-05-24,2022-05-24,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-2-2022, FILED BY MOORE HOMES LC, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) AND R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED AT 4590 SOUTH 5600 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-05-24,13,within_source,Z-2-2022
22-18,2022-05-03,2022-05-03,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-3-2022, FILED BY MARIA ELENA DUBON, REQUESTING A GENERAL PLAN ZONE CHANGE FROM NON-RETAIL COMMERCIAL TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM RB (RESIDENTIAL BUSINESS) TO C-2 (GENERAL COMMERCIAL) FOR PROPERTY LOCATED AT 4543 AND 4547 SOUTH 4000 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-05-02/2022-05-03_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-05-03,2,within_source,GPZ-3-2022
22-19,2022-05-03,2022-05-03,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-3-2022, FILED BY MARIA ELENA DUBON, REQUESTING A GENERAL PLAN ZONE CHANGE FROM NON-RETAIL COMMERCIAL TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM RB (RESIDENTIAL BUSINESS) TO C-2 (GENERAL COMMERCIAL) FOR PROPERTY LOCATED AT 4543 AND 4547 SOUTH 4000 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-05-02/2022-05-03_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-05-03,3,within_source,GPZ-3-2022
22-20,2022-05-10,2022-05-10,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-2-2022, FILED BY MOORE HOMES LC, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RM (MULTIPLE UNIT DWELLING RESIDENTIAL) AND R-1-10 (SINGLE UNIT DWELLING RESIDENTIAL) FOR PROPERTY LOCATED AT 4590 SOUTH 5600 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-05-09/2022-05-10_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-05-10,5,within_source,Z-2-2022
22-21,2022-05-24,2022-05-24,"ACCEPT PUBLIC INPUT REGARDING APPLICATION PUD-1-2022, FILED BY BRAD REYNOLDS, REQUESTING FINAL PLAT APPROVAL FOR MEADOWS ON 32ND LOCATED AT 3554 SOUTH 3200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-05-24,4,within_source,PUD-1-2022
22-22,2022-05-24,2022-05-24,"ACCEPT PUBLIC INPUT REGARDING APPLICATION PUD-1-2022, FILED BY BRAD REYNOLDS, REQUESTING FINAL PLAT APPROVAL FOR MEADOWS ON 32ND LOCATED AT 3554 SOUTH 3200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-05-23/2022-05-24_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-05-24,5,within_source,PUD-1-2022
22-23,2022-06-07,2022-06-07,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2021-2022 BUDGE,west_valley_city_council/meeting_minutes/minutes/2022/2022-06-06/2022-06-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2022-06-07,2,within_source,
22-24,2022-06-07,2022-06-07,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-6-2022, FILED BY WADSWORTH LAKE PARK, LLC, REQUESTING A ZONE CHANGE FROM M (MANUFACTURING) TO B/RP (BUSINESS/RESEARCH PARK) FOR PROPERTY LOCATED AT 4625 WEST LAKE PARK BLVD.",west_valley_city_council/meeting_minutes/minutes/2022/2022-06-06/2022-06-07_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-06-07,3,within_source,Z-6-2022
22-25,2022-06-21,2022-06-21,"ACCEPT PUBLIC INPUT REGARDING APPLICATION SA-1-2022, FILED BY JUSTIN PUCHAR, REQUESTING FINAL PLAT APPROVAL FOR THE WESTERN FLATS SUBDIVISION- LOT 1 AMENDED LOCATED AT 3685 SOUTH 3200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-06-20/2022-06-21_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-06-21,2,within_source,
22-26,2022-07-05,2022-07-05,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-8-2022, FILED BY ARCADIA SP, INC., REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) FOR PROPERTY LOCATED AT 3789 SOUTH 5200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-07-04/2022-07-05_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-07-05,2,within_source,Z-8-2022
22-27,2022-07-12,2022-07-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-4-2022, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE BY REDUCING THE MINIMUM AREA REQUIRED FOR SHOPPING CENTERS IN SECTION 7-7-124 FROM ONE ACRE TO THREE QUARTERS OF ONE ACRE",west_valley_city_council/meeting_minutes/minutes/2022/2022-07-11/2022-07-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-07-12,2,within_source,
22-28,2022-07-12,2022-07-12,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-4-2022, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE BY REDUCING THE MINIMUM AREA REQUIRED FOR SHOPPING CENTERS IN SECTION 7-7-124 FROM ONE ACRE TO THREE QUARTERS OF ONE ACRE",west_valley_city_council/meeting_minutes/minutes/2022/2022-07-11/2022-07-12_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-07-12,3,within_source,
22-29,2022-07-26,2022-07-26,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-3-2022, FILED BY WEST VALLEY CITY, REQUESTING AN AMENDMENT TO CHANGE THE ZONING ORDINANCE (TITLE 7) AND THE CONDOMINIUM ORDINANCE (TITLE 9) TO PROHIBIT PRIVATE STREETS, ALLOW PARKING SPACES FOR TOWNHOMES AND CONDOMINIUMS ATTACHED TO THE SIDE OF EACH OTHER",west_valley_city_council/meeting_minutes/minutes/2022/2022-07-25/2022-07-26_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-07-26,2,within_source,
22-30,2022-07-26,2022-07-26,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION SV-2-2022, FILED BY NORTHRUP GRUMMAN, REQUESTING A VACATION OF A PERPETUAL EASEMENT AND RIGHT-OF-WAY LOCATED AT APPROXIMATELY 7000 WEST 5400 SOUTH",west_valley_city_council/meeting_minutes/minutes/2022/2022-07-25/2022-07-26_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-07-26,3,within_source,
22-31,2022-07-26,2022-07-26,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION SA-2-2022, FILED BY BROOK HINTZE, REQUESTING FINAL PLAT APPROVAL FOR THE 4100 SOUTH COMMONS OFFICE CONDOMINIUMS AMENDED LOCATED AT 3745 WEST 4100 SOUTH",west_valley_city_council/meeting_minutes/minutes/2022/2022-07-25/2022-07-26_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-07-26,4,within_source,
22-32,2022-08-23,2022-08-23,"ACCEPT PUBLIC INPUT REGARDING APPLICATION ZT-1-2022, FILED BY WEST VALLEY CITY, REQUESTING A ZONE TEXT CHANGE TO UPDATE THE DEFINITION OF HOSPITAL; PROHIBIT HOSPITALS IN THE BRP, MXD, LI, AND M ZONES; PROHIBIT COMMUNITY USES IN THE DECKER LAKE STATION OVERLAY ZONE; REQUIRE WINDOWS AND DOORS ON HOMES",west_valley_city_council/meeting_minutes/minutes/2022/2022-08-22/2022-08-23_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-08-23,2,within_source,
22-33,2022-09-06,2022-09-06,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION Z-10-2022, FILED BY JOHN BAIRD, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO R-1-8 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 8,000 SQUARE FEET) FOR PROPERTY LOCATED AT 3909 SOUTH 2200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-09-05/2022-09-06_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-09-06,2,within_source,Z-10-2022
22-34,2022-10-11,2022-10-11,"ACCEPT PUBLIC INPUT REGARDING APPLICATION Z-9-2022, FILED BY SHANE KEYVANI, REQUESTING A ZONE CHANGE FROM A (AGRICULTURE, MINIMUM LOT SIZE 1/2 ACRE) TO RE (RESIDENTIAL ESTATE) FOR PROPERTY LOCATED AT 3940 SOUTH 5200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-10-10/2022-10-11_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-10-11,2,within_source,Z-9-2022
22-35,2022-09-20,2022-09-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GPZ-6-2022, FILED BY MOUNTAIN AMERICA CREDIT UNION, REQUESTING A GENERAL PLAN CHANGE FROM RESIDENTIAL OFFICE TO GENERAL COMMERCIAL AND A ZONE CHANGE FROM R-1-6 (SINGLE UNIT DWELLING RESIDENTIAL, MINIMUM LOT SIZE 6,000 SQUARE FEET) TO C-2 (GENERAL COMMERCIAL)",west_valley_city_council/meeting_minutes/minutes/2022/2022-09-19/2022-09-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-09-20,3,within_source,GPZ-6-2022
22-36,2022-09-20,2022-09-20,"ACCEPT PUBLIC INPUT REGARDING APPLICATION GP-1-2022, FILED BY WEST VALLEY CITY, REQUESTING AN AMENDMENT TO THE WEST VALLEY CITY GENERAL PLAN TO UPDATE THE CITY'S MODERATE INCOME HOUSING PLAN",west_valley_city_council/meeting_minutes/minutes/2022/2022-09-19/2022-09-20_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-09-20,5,within_source,
22-38,2022-10-04,2022-10-04,ACCEPT PUBLIC INPUT REGARDING RE-OPENING THE FY 2022-2023 BUDGE,west_valley_city_council/meeting_minutes/minutes/2022/2022-10-03/2022-10-04_council-regular-meeting.md,2026-07-06,na,minutes-derived,,0,,2022-10-04,2,within_source,
22-39,2022-11-15,2022-11-15,"ACCEPT PUBLIC COMMENT REGARDING APPLICATION GPZ-8-2022, FILED BY BRYAN AND CHANTEL BRADFORD, REQUESTING A GENERAL PLAN ZONE CHANGE FROM LARGE LOT RESIDENTIAL TO LOW DENSITY RESIDENTIAL AND A ZONE CHANGE FROM A TO R-1-8 FOR PROPERTY LOCATED AT 3816 SOUTH 3200 WEST",west_valley_city_council/meeting_minutes/minutes/2022/2022-11-14/2022-11-15_council-regular-meeting.md,2026-07-06,na,minutes-derived,,1,,2022-11-15,2,within_source,GPZ-8-2022
