ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,n_motion_events,independent_source,minutes_source,linkage_note
2022-43,2022-10-04,2022-10-04,"An ordinance of Ogden City of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3- of the Ogden Municipal Code, to reclassify as multiple-family residential zone — east central (R-3EC) property heretofore classified as both multiple family residential zone — east central and central business district/conditional overlay zone (R-3EC and CBD/CO), generally located at 539 22",meeting_minutes/minutes/2022/2022-10-03/2022-10-04_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2022-10-04,2,within_source,1,,meeting_minutes/minutes/2022/2022-10-03/2022-10-04_city-council-meeting.md,
2022-44,2022-11-01,2022-11-01,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-22-1 to amend dimensional requirements in the BEH Zone; by amending Subsection 15-23-8.C to revise building material requirements in the BEH Zone; by amending Subsection 15-23-8.D to revise building architecture requirements in the BEH Zone; by adopting a new Subsection 15-23-8.J to establish parking reduction provisions in the BEH Zone; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-10-31/2022-11-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-01,7,within_source,1,,meeting_minutes/minutes/2022/2022-10-31/2022-11-01_city-council-meeting.md,
2022-45,2022-11-01,2022-11-01,"An ordinance of Ogden City amending the budget for the Fiscal Year (FY) July 1, 2022 to June 30, 2023 by increasing the anticipated revenues for a gross increase of $194,900 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $194,900 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-10-31/2022-11-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-11-01,6,within_source,1,,meeting_minutes/minutes/2022/2022-10-31/2022-11-01_city-council-meeting.md,
2022-46,2022-11-01,2022-11-01,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as multiple-family residential zone (R-3) property heretofore classified as single-family residential zone (R-1-6), generally located at 682-712 7",meeting_minutes/minutes/2022/2022-10-31/2022-11-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-01,8,within_source,1,,meeting_minutes/minutes/2022/2022-10-31/2022-11-01_city-council-meeting.md,
2022-47,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as two-family residential zone (R-2) property heretofore classified as single-family residential zone (R-1-8 and R-1-6), generally located at 305 Harrison Boulevard, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,4,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-48,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden City General Plan by amending community policies and future zoning recommendations in the East Central Community Plan; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,6,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-49,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Title 15 by adopting a new Chapter 42 to create a Transit Overlay Zone; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,7,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-50,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code to reclassify as Two-Family Residential Zone — East Central/Transit Overlay Zone (R-3EC/TO), Multiple-Family Residential Zone — East Central/Transit Overlay Zone (R-3EC/TO), and Single- Family Residential Zone/Transit Overlay Zone (R-1-5/TO) property heretofore classified as Two-Family Residential Zone — East Central (R-2EC), Multiple-Family Residential Zone — East Central (R-3EC), and Single-Family Residential Zone (R-1-5), generally fronting 25",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,8,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-51,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 5-13-6.B to revise locations for sidewalk vendors; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-11-15,9,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-52,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 13 of Title 15 by adopting a new Section 42 to establish cottage lot development standards; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-11-15,10,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-53,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 14-3-4.A to allow cottage lot developments; by amending Section 15-2-4 to define cottages and cottage lots; by amending Sections 15-15-2, 15-18-2, 15-35-2, and 15-36-2 to amend permitted uses; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,11,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-54,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Title 15 by adopting a new Chapter 37 to establish the Nine Rails Creative District Residential Zone; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,12,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-55,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-2-2 to define art gallery; by amending 15-2-17 to define photo studio; by amending Section 15-8-4 to amend density determinations for PRUDS; by amending Section 15-10-3 to review requirements for group dwellings; by amending Section 15-13-27 revising design standards for two-family dwellings and duplexes; by amending Chapter 13 of Title 15 by adopting a new Section 43 establishing live-work standards; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,13,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-56,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-13-1 to establish the Nine Rails Creative District Zone (R-9) and the Transit Overlay Zone (TO); and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,14,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-57,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal to reclassify as Nine Rails Creative District (R-9) property heretofore classified as Multiple-Family Residential Zone — East Central (R-3EC), generally located between Adams Avenue and Jefferson Avenue and 23",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2022-11-15,15,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2022-58,2022-11-15,2022-11-15,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 15-13- 39.E, Subsection 15-15-5.B, Subsection 15-35-5.B, and Subsection 15-36-5.B to modify height standards for Accessory Dwelling Units (ADUs); and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2022-11-15,16,within_source,1,,meeting_minutes/minutes/2022/2022-11-14/2022-11-15_city-council-meeting.md,
2023-01,2023-01-17,2023-01-17,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2022 to June 30, 2023 by — increasing the anticipated revenues for a gross increase of $4,201,250 from sources as detailed in the body of L this ordinance; and increasing the appropriations for a gross increase of $4,201,250 as detailed in the body of i this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-01-16/2023-01-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-01-17,3,within_source,1,,meeting_minutes/minutes/2023/2023-01-16/2023-01-17_city-council-meeting.md,
2023-04,2023-01-03,2023-01-03,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Chapter 6 of Title 5 to revise provisions relative to burglary and robbery alarms and alarm businesses; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-01-02/2023-01-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-01-03,9,within_source,1,,meeting_minutes/minutes/2023/2023-01-02/2023-01-03_city-council-meeting.md,
2023-05,2023-01-03,2023-01-03,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending health and safety definitions in Section 12-1-1; by adopting a new Chapter 5 to Title 12 regarding shopping carts; and by - providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-01-02/2023-01-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,5-1 Pass,2023-01-03,10,within_source,1,,meeting_minutes/minutes/2023/2023-01-02/2023-01-03_city-council-meeting.md,
2023-06,2023-01-17,2023-01-17,An ordinance of Ogden City amending the FY 2023-2027 Capital Improvement Plan by amending project PD00!1 by relocating the VirTra 360 Degree Interactive Training Platform to the Francom Public Safety | Building; and providing that this ordinance shall become effective immediately upon posting after final passage.,meeting_minutes/minutes/2023/2023-01-16/2023-01-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-01-17,2,within_source,1,,meeting_minutes/minutes/2023/2023-01-16/2023-01-17_city-council-meeting.md,
2023-07,2023-02-07,2023-02-07,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 15-2-3 to amend definitions of a boarding house; by amending Section 15-2-13 to define lodging house; by amending Section 15-2-20 to revise definitions for a single room occupancy and sleeping unit; by repealing Section 15- 13-22 regarding single room occupancy development criteria; by readopting Section 15-13-22 regarding conversion of hotel or motel to a multiple family dwelling; by amending Section 15-13-32 regarding length of stay in a motel or hotel if no permanent residence; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-2 Pass,2023-02-07,7,within_source,1,,meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md,
2023-08,2023-02-07,2023-02-07,"An ordinance of Ogden City, Utah, amending the Ogden City General Plan by amending the Housing Element to meet the State of Utah requirements for moderate-income housing; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-02-07,5,within_source,1,,meeting_minutes/minutes/2023/2023-02-06/2023-02-07_city-council-meeting.md,
2023-09,2023-02-21,2023-02-21,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of : the Ogden Municipal Code, to reclassify as Regional Commercial Zone (C-3) property heretofore classified as , Community Commercial Zone (C-2), generally located a 1123-1127 Wall Avenue, and providing that this ordinance shal! become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-02-20/2023-02-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,4-2 Pass,2023-02-21,7,within_source,1,,meeting_minutes/minutes/2023/2023-02-20/2023-02-21_city-council-meeting.md,
2023-10,2023-03-07,2023-03-07,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2022 to June 30, 2023 by increasing the anticipated revenues for a gross increase of $3,040,000 from sources as detailed in the body of , this ordinance; and increasing the appropriations for a gross increase of $3,040,000 as detailed in the body of ’ this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-03-06/2023-03-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-03-07,6,within_source,1,,meeting_minutes/minutes/2023/2023-03-06/2023-03-07_city-council-meeting.md,
2023-11,2023-03-07,2023-03-07,"An ordinance of Ogden City, Utah, changing the name of 1355 South in the Canyon Terrace Development to 1425 South; and providing that this ordinance shall become effective immediately upon posting after final passage; and providing that this ordinance shall become effective immediately upon posting after final 4 passage.",meeting_minutes/minutes/2023/2023-03-06/2023-03-07_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-03-07,4,within_source,1,,meeting_minutes/minutes/2023/2023-03-06/2023-03-07_city-council-meeting.md,
2023-12,2023-01-03,2023-01-03,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 4-6-2 to amend provisions related to timing of payments; by adopting anew Section 4-6-3 to establish practices for collection of debts; by renumbering Section 4-6-4 regarding provisions for deposits; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-01-02/2023-01-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-01-03,7,within_source,3,,meeting_minutes/minutes/2023/2023-01-02/2023-01-03_city-council-meeting.md,
2023-14,2023-03-14,2023-03-14,"An ordinance of Ogden City, Utah, designating the single-family bungalow-style home and detached garage, located at 136 West 2",meeting_minutes/minutes/2023/2023-03-13/2023-03-14_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-03-14,2,within_source,1,,meeting_minutes/minutes/2023/2023-03-13/2023-03-14_city-council-meeting.md,
2023-15,2023-04-04,2023-04-04,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Subsection 15-4-5.J; by amending Section 15-13-5; by amending Subsection 14-14-4.D to set a maximum height of four stories or 50-feet in the R-3 zone and to modify setback standards for tall buildings adjacent to residential or open space zones; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-04-03/2023-04-04_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-04-04,2,within_source,1,,meeting_minutes/minutes/2023/2023-04-03/2023-04-04_city-council-meeting.md,
2023-16,2023-04-11,2023-04-11,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 5-3A-1; amending Section 5-3C-8; amending Subsection 5-13B-6.B; amending Subsection 7-2-13.C; amending Section 17-4; amending Subsection 7-17-6.H; amending Section 7-17-23; amending Section 7-17-24; amending Section 7-17-25; amending Subsection 7-19-9.A; amending Section 12-14-3; amending Section 15-2-2; amending Section 15-2-4; amending Section 15-2-5; amending Section 15-2-7; amending Section 15-2-8; amending Section 15-2-9; amending Section 15-2-11; amending Section 15-2-13; amending Section 15-2-14; amending . Section 15-2-17; amending Section 15-2-20; amending Section 15-2-21; amending Section…",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-04-11,3,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-17,2023-04-11,2023-04-11,"An ordinance of Ogden City Utah, amending the zoning map of Ogden city, as adopted by section 15-3-3 of the Ogden municipal code, to reclassify as commercial mixed use (c-mu) property heretofore classified as , manufacturing and industrial (m-2), generally located between 20",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-1 Pass,2023-04-11,4,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-18,2023-04-11,2023-04-11,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Commercial Entertainment (C-ENT) zone property heretofore classified as Central Business District (CBD), generally located between Wall Avenue and Grant Avenue, 22",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-04-11,5,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-19,2023-04-11,2023-04-11,"An ordinance of Ogden City Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Historic 25% Street Commercial (H25) property heretofore classified as Central Business District - Intensive (CBD-",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,Recorded,2023-04-11,6,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-20,2023-04-11,2023-04-11,"An ordinance of Ogden City Utah, amending the Zoning Map Of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Commercial Nine-Rails Creative District (C-9) property heretofore classified as Central Business District (CBD), generally located between 24",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-04-11,7,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-21,2023-04-11,2023-04-11,"An ordinance of Ogden City Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of =| ' the Ogden Municipal Code, to reclassify as Residential Multiple-Family Vertical (R-MF'V) property heretofore classified as Multiple-Family Residential (R-4), generally located between Wall Avenue and Grant Avenue and . 27",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-04-11,8,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-22,2023-04-11,2023-04-11,"An ordinance of Ogden City Utah, amending the Zoning Map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as Residential Multiple-Family Horizontal (R-MFH) property heretofore classified as Two-Family Residential East Central (R-2EC), generally located between Washington Boulevard and Adams Avenue, 20",meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,7-0 Pass,2023-04-11,9,within_source,1,,meeting_minutes/minutes/2023/2023-04-10/2023-04-11_city-council-meeting.md,
2023-23,2023-05-16,2023-05-16,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2022 to June 30, 2023 by increasing the anticipated revenues for a gross increase of $4,033,825 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $4,033,825 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-05-16,5,within_source,1,,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,
2023-24,2023-05-16,2023-05-16,"An ordinance of Ogden City, Utah, amending the Ogden Municipal Code by amending Section 1-5-4 to amend provisions pertaining to a City Flag; and by providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-05-16,2,within_source,1,,meeting_minutes/minutes/2023/2023-05-15/2023-05-16_city-council-meeting.md,
2023-26,2023-05-23,2023-05-23,"An ordinance of Ogden city, Utah, amending the zoning map of Ogden city, as adopted by section 15-3-3 of the Ogden Municipal Code, to reclassify as single-family residential zone (R-1-5) property heretofore classified as single-family residential zone (R-1-6), generally located at 236 Porter Avenue, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-05-22/2023-05-23_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,6-0 Pass,2023-05-23,5,within_source,1,,meeting_minutes/minutes/2023/2023-05-22/2023-05-23_city-council-meeting.md,
2023-27,2023-05-23,2023-05-23,"An ordinance of Ogden City, Utah, amending the zoning map of Ogden City, as adopted by Section 15-3-3 of the Ogden Municipal Code, to reclassify as two-family residential zone (R-2) property heretofore classified as single-family residential zone (R-1-6), generally located at 235 West North Street, and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-05-22/2023-05-23_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,yes,5-0 Pass,2023-05-23,6,within_source,1,,meeting_minutes/minutes/2023/2023-05-22/2023-05-23_city-council-meeting.md,
2023-28,2023-06-06,2023-06-06,"An ordinance of Ogden City Utah, adopting the proposed tentative budget of Ogden City for Fiscal Year 2023- 2024; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-06-05/2023-06-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2023-06-06,5,within_source,1,,meeting_minutes/minutes/2023/2023-06-05/2023-06-06_city-council-meeting.md,
2023-29,2023-06-20,2023-06-20,"An ordinance of Ogden City, Utah, adopting the budget for Ogden city for the Fiscal Year from July 1, 2023, to June 30, 2024; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-06-20,17,within_source,1,,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,
2023-30,2023-06-20,2023-06-20,"An ordinance of Ogden City Utah, adopting salary schedules for employees of the City; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-06-20,16,within_source,1,,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,
2023-31,2023-06-06,2023-06-06,"An ordinance of Ogden City Utah, adopting the Airport Community Reinvestment Project Area Plan dated June 6, 2023; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-06-05/2023-06-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,6-0 Pass,2023-06-06,10,within_source,1,,meeting_minutes/minutes/2023/2023-06-05/2023-06-06_city-council-meeting.md,
2023-32,2023-06-20,2023-06-20,"An ordinance of Ogden City, Utah, approving the Capital Improvement Plan for Ogden City for the Fiscal a Years 2024 to 2028, and providing that this ordinance shall become effective immediately upon posting after E final passage.",meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-06-20,6,within_source,1,,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,
2023-33,2023-06-20,2023-06-20,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2022 to June 30, 2023 by increasing the anticipated revenues for a gross increase of $24,874,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $24,874,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-06-20,2,within_source,1,,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,
2023-34,2023-06-20,2023-06-20,"An ordinance of Ogden City amending the budget for the Fiscal Year July 1, 2022 to June 30, 2023 by increasing the anticipated revenues for a gross increase of $175,000 from sources as detailed in the body of this ordinance; and increasing the appropriations for a gross increase of $175,000 as detailed in the body of this ordinance; and providing that this ordinance shall become effective immediately upon posting after final passage.",meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (minutes-derived; NOT independently corroborated),,no,7-0 Pass,2023-06-20,3,within_source,1,,meeting_minutes/minutes/2023/2023-06-19/2023-06-20_city-council-meeting.md,
