ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,body,n_vote_events,independent_source,minutes_path,note
55 of 2023,2023-10-17,2023-10-17,"Adopt Ordinance 55 of 2023 The Anti-Gentrification and -Displacement Plan, Thriving in Place, with a request that the Administration address specified priority items with special urgency and report updated timing estimates by December 1, 2023.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-10-17,8,within_source,Council,1,,minutes/2023/2023-10-16/2023-10-17_council-formal-meeting.md,
56 of 2023,2023-10-17,2023-10-17,Adopt Ordinance 56 of 2023 amending the Fiscal Year 2024 Annual Compensation Plan for Non-represented Employees.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-10-17,9,within_source,Council,1,,minutes/2023/2023-10-16/2023-10-17_council-formal-meeting.md,
57 of 2023,2023-10-17,2023-10-17,Adopt Ordinance 57 of 2023 amending the Fiscal Year 2024 final budget of Salt Lake City including the employment staffing document only for items as shown on the motion sheet.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-10-17,10,within_source,Council,1,,minutes/2023/2023-10-16/2023-10-17_council-formal-meeting.md,
58 of 2023,2023-10-17,2023-10-17,Adopt Ordinance 58 of 2023 amending chapters 2.02 and 2.84 of the Salt Lake City Code to address changes in Utah law regarding justice courts and establish the Justice Court as an independent branch of government.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-10-17,11,within_source,Council,1,,minutes/2023/2023-10-16/2023-10-17_council-formal-meeting.md,
59 of 2023,2023-11-07,2023-11-07,Close the public hearing and adopt Ordinance 59 of 2023 amending the North Temple Boulevard Plan to keep Madsen Park at the current location and explore how to re-imagine it.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2023-11-07,4,within_source,Council,1,,minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md,
60 of 2023,2023-11-07,2023-11-07,"Adopt Ordinance 60 of 2023, Alley Vacation at Approximately 2167 South 800 East.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-07,11,within_source,Council,1,,minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md,
61 of 2023,2023-11-07,2023-11-07,"Adopt Ordinance 61 of 2023, Alley Vacation at Approximately 827 East Wilmington Avenue.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-07,12,within_source,Council,1,,minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md,
62 of 2023,2023-11-07,2023-11-07,Adopt Ordinance 62 of 2023 Zoning Map Amendment at 1018 East 900 South.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-07,13,within_source,Council,1,,minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md,
63 of 2023,2023-11-07,2023-11-07,"Adopt Ordinance 63 of 2023 rezoning properties at approximately 1435 South State Street and amending the future land use map with conditions requiring a development agreement, and adopt Ordinance 63B of 2023 amending City Code Subsection 21A.27.050.C.3 to permit building height up to 65 feet and five stories for the subject parcels.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-07,14,within_source,Council,1,,minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md,
64 of 2023,2023-11-07,2023-11-07,Adopt Ordinance 64 of 2023 enacting temporary zoning regulations authorizing temporary increase in overnight capacity at the youth homeless resource center at 888 South 400 West for the full 180 days.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-11-07,15,within_source,Council,1,,minutes/2023/2023-11-06/2023-11-07_revised-council-formal-meeting.md,
65 of 2023,2023-11-14,2023-11-14,Adopt Ordinance 65 of 2023 Rezone and Master Plan Amendment at 116 East Edith Avenue.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-14,5,within_source,Council,1,,minutes/2023/2023-11-13/2023-11-14_council-formal-meeting.md,
66 of 2023,2023-11-14,2023-11-14,Adopt Ordinance 66 of 2023 Rezone and Master Plan Amendment at Approximately 1720 South and 1734 South West Temple.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-1 Pass,2023-11-14,6,within_source,Council,1,,minutes/2023/2023-11-13/2023-11-14_council-formal-meeting.md,
67 of 2023,2023-11-14,2023-11-14,Adopt Ordinance 67 of 2023 Historic Preservation Overlay District Text Amendment.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-14,7,within_source,Council,1,,minutes/2023/2023-11-13/2023-11-14_council-formal-meeting.md,
68 of 2023,2023-11-14,2023-11-14,"Adopt Ordinance 68 of 2023 Alley Vacation at Approximately 1518 South 300 West, with conditions including easements for a publicly accessible mid-block walkway and private drive, restrictions on conveying adjacent property until easements are recorded, and the understanding that 60% or more street level activation plans be memorialized in the planned development and design review process.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-14,8,within_source,Council,1,,minutes/2023/2023-11-13/2023-11-14_council-formal-meeting.md,
69 of 2023,2023-11-14,2023-11-14,"Adopt Ordinance 69 of 2023 approving the Northpoint Small Area Plan, and initiate Legislative Actions requesting the administration draft new zoning regulations implementing the plan's vision and continue the city-led annexation effort for unincorporated properties in the area.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-11-14,9,within_source,Council,1,,minutes/2023/2023-11-13/2023-11-14_council-formal-meeting.md,
70 of 2023,2023-11-14,2023-11-14,"Adopt Ordinance 70 of 2023 Open Space Lands Amendments, amending processes for the disposition of certain interests in City open space lands and governing their removal from the official City Open Space Inventory.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-11-14,11,within_source,Council,1,,minutes/2023/2023-11-13/2023-11-14_council-formal-meeting.md,
71 of 2023,2023-12-05,2023-12-05,Close the public hearing and adopt Ordinance 71 of 2023: Rezone at 680 South Gladiola Street,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-12-05,3,medium,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
72 of 2023,2023-12-05,2023-12-05,Close the public hearing and adopt Ordinance 72 of 2023: Rezone and Master Plan Amendment at 711 and 721 South 1200 East,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-12-05,4,medium,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
73 of 2023,2023-12-05,2023-12-05,Adopt Ordinance 73 of 2023: Subdivision Code Amendments,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-12-05,5,medium,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
74 of 2023,2023-12-05,2023-12-05,"Adopt Ordinance 74 of 2023 establishing a chapter for zoning incentives and adding affordable housing incentives in City code, with additional legislative actions requesting construction damage ordinance drafting and an administration implementation report by April 30, 2024",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-1 Pass,2023-12-05,6,medium,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
75 of 2023,2023-12-05,2023-12-05,"Adopt Ordinance 75 of 2023 establishing the Form Based Mixed Use 11 zoning district, Ordinance 75B of 2023 rezoning the Fleet Block to Form Based Mixed Use 11, Ordinance 75C of 2023 establishing the southeast portion of the Fleet Block as a public square in Title 15, and a legislative action requiring a restrictive covenant be recorded identifying that area as a public square",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-12-05,7,medium,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
76 of 2023,2023-12-05,2023-12-05,Adopt Ordinance 76 of 2023 approving American Rescue Plan Act local business direct assistance grant awards and contingency as shown in the Exhibit A Funding Log,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-12-05,9,within_source,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
77 of 2023,2023-12-05,2023-12-05,"Adopt Ordinance 77 of 2023 approving a $90,000 loan for Ocean City Seafood Market from the Economic Development Loan Fund",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-12-05,11,within_source,Council,1,,minutes/2023/2023-12-04/2023-12-05_council-formal-meeting.md,
78 of 2023,2025-08-12,2025-08-12,"Adopt Resolution 20 of 2025, extending the time to comply with the conditions in Ordinance 78 of 2023, Zoning Map Amendment 2157 South Lincoln Street, for an additional six months.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2025-08-12,5,medium,Council,2,,minutes/2025/2025-08-11/2025-08-12_council-formal-meeting.md,
79 of 2023,2023-12-12,2023-12-12,Adopt Ordinance 79 of 2023 enacting temporary land use regulations authorizing a temporary shelter community at approximately 255 South 600 West Street.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2023-12-12,6,within_source,Council,1,,minutes/2023/2023-12-11/2023-12-12_council-formal-meeting.md,
80 of 2023,2023-12-12,2023-12-12,Adopt Ordinance 80 of 2023 amending section 2.08.040 of the Salt Lake City Code creating a Division of Legislative Affairs and clarifying functions of the City Attorney's Office.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2023-12-12,8,within_source,Council,1,,minutes/2023/2023-12-11/2023-12-12_council-formal-meeting.md,
81 of 2023,2023-12-12,2023-12-12,Close the public hearing and adopt Ordinance 81 of 2023 Budget Amendment No. 3 for Fiscal Year 2023-24 as seen on the motion sheet.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2023-12-12,2,within_source,Council,1,,minutes/2023/2023-12-11/2023-12-12_council-formal-meeting.md,
82 of 2023,2023-12-12,2023-12-12,Adopt Ordinance 82 of 2023 Rezone at Approximately 1380 South 900 West.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2023-12-12,3,within_source,Council,1,,minutes/2023/2023-12-11/2023-12-12_council-formal-meeting.md,
1 of 2024,2024-01-09,2024-01-09,Adopt Ordinance 1 of 2024 Airport Board Code Revisions.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-01-09,4,within_source,Council,1,,minutes/2024/2024-01-08/2024-01-09_council-formal-meeting.md,
2 of 2024,2024-01-16,2024-01-16,Adopt Ordinance 02 of 2024 Budget Amendment No. 3 for Fiscal Year 2023-24 amending the final budget of Salt Lake City including the Staffing document only for items as shown on the motion sheet.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-01-16,3,within_source,Council,1,,minutes/2024/2024-01-15/2024-01-16_council-formal-meeting.md,
3 of 2024,2024-02-06,2024-02-06,Close the public hearing and adopt Ordinance 3 of 2024 amending the Fiscal Year 2024 final budget of Salt Lake City Library including the employment staffing document only for items as shown on the motion sheet.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-02-06,4,within_source,Council,1,,minutes/2024/2024-02-05/2024-02-06_council-formal-meeting.md,
4 of 2024,2024-02-06,2024-02-06,Adopt Ordinance 04 of 2024 amending the Fiscal Year 2024 final budget of Salt Lake City including the employment staffing document only for items as shown on the motion sheet and authorize release of the condition regarding the temporary sanctioned campground funding.,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-02-06,5,within_source,Council,1,,minutes/2024/2024-02-05/2024-02-06_council-formal-meeting.md,
5 of 2024,2024-02-06,2024-02-06,"Adopt Ordinance 05 of 2024 approving a $100,000 loan for Eats, LLC, from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-02-06,6,within_source,Council,1,,minutes/2024/2024-02-05/2024-02-06_council-formal-meeting.md,
6 of 2024,2024-02-20,2024-02-20,Close the public hearing and adopt Ordinance 06 of 2024 (Avenues Restrictive Covenant),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-02-20,4,within_source,Council,1,,minutes/2024/2024-02-19/2024-02-20_revised-council-formal-meeting.md,
7 of 2024,2024-02-20,2024-02-20,"Adopt Ordinance 07 of 2024 amending Fiscal Year 2024 final budget of Salt Lake City including the employment staffing document for items A-1, A-7, A-9, and A-10, and authorize release of the condition regarding the air quality incentives program expansion",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-02-20,7,within_source,Council,1,,minutes/2024/2024-02-19/2024-02-20_revised-council-formal-meeting.md,
8 of 2024,2024-03-05,2024-03-05,Close the public hearing and adopt Ordinance 08 of 2024 Zoning Text Amendment for Daycare Facilities,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,5-0 Pass,2024-03-05,3,medium,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
9 of 2024,2024-03-05,2024-03-05,Close the public hearing and adopt Ordinance 09 of 2024 Yalecrest – Laird Heights Local Historic District,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,5-0 Pass,2024-03-05,5,medium,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
10 of 2024,2024-03-05,2024-03-05,Close the public hearing and adopt Ordinance 10 of 2024 Zoning Terms and Definitions Amendment,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,5-0 Pass,2024-03-05,7,within_source,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
11 of 2024,2024-03-05,2024-03-05,"Adopt Ordinance 11 of 2024 amending Titles 18 and 21A and enacting Title 19 of the Salt Lake City Code, known as the Community Benefit and Tenant Displacement Amendments, with a modification changing 'Preserving historic structures' to 'Preserving historic structures not otherwise protected'",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-03-05,11,within_source,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
12 of 2024,2024-03-05,2024-03-05,"Adopt Ordinance 12 of 2024 amending various sections of Title 21A of the Salt Lake City Code pertaining to the Landscaping and Buffers chapter, with enforcement on artificial turf installed prior to the effective date delayed 18 months",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-03-05,12,medium,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
13 of 2024,2024-03-05,2024-03-05,Adopt Ordinance 13 of 2024 amending the Fiscal Year 2024 final budget of Salt Lake City including the employment staffing document and amend the Appointed Pay Plan only for items as shown on the motion sheet,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-03-05,13,within_source,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
14 of 2024,2024-03-05,2024-03-05,Adopt Ordinance 14 of 2024 amending Chapter 2.08.130 of the Salt Lake City Code to add a new Planning & Design Division and update the functions listed for the Department of Public Lands,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-03-05,16,within_source,Council,1,,minutes/2024/2024-03-04/2024-03-05_revised-council-formal-meeting.md,
15 of 2024,2024-03-26,2024-03-26,Close the public hearing and adopt Ordinance 15 of 2024 – Yalecrest–Princeton Heights Local Historic District,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-03-26,3,within_source,Council,1,,minutes/2024/2024-03-25/2024-03-26_council-formal-meeting.md,
16 of 2024,2024-03-26,2024-03-26,Close the public hearing and adopt Ordinance 16 of 2024 – Rezone at Approximately 756 South Montgomery Street,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-03-26,4,within_source,Council,1,,minutes/2024/2024-03-25/2024-03-26_council-formal-meeting.md,
17 of 2024,2024-03-26,2024-03-26,Close the public hearing and adopt Ordinance 17 of 2024 amending the Fiscal Year 2024 final budget of the Salt Lake City Library including the employment staffing document only for items as shown on the motion sheet,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-03-26,5,within_source,Council,1,,minutes/2024/2024-03-25/2024-03-26_council-formal-meeting.md,
18 of 2024,2024-03-26,2024-03-26,Adopt Ordinance 18 of 2024 – Zoning Map and General Plan Amendments at Approximately 2445 South 500 East (Woodland Commons),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-03-26,7,within_source,Council,1,,minutes/2024/2024-03-25/2024-03-26_council-formal-meeting.md,
19 of 2024,2024-03-26,2024-03-26,"Adopt Ordinance 19 of 2024 – Rezone and Master Plan Amendment at 803, 805, 807, and 815 West Simondi Avenue and 802, 806, 810, and 814 West 300 North",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-03-26,8,within_source,Council,1,,minutes/2024/2024-03-25/2024-03-26_council-formal-meeting.md,
20 of 2024,2024-04-02,2024-04-02,"Close the public hearing and adopt Ordinance 20 of 2024, for a temporary road closure of 7200 West between Interstate 80 and California Avenue.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-04-02,2,within_source,Council,1,,minutes/2024/2024-04-01/2024-04-02_revised-council-formal-meeting.md,
21 of 2024,2024-04-02,2024-04-02,"Adopt Ordinance 21 of 2024 approving a $350,000 loan for Parea, LLC, from the Economic Development Loan Fund.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-04-02,6,within_source,Council,1,,minutes/2024/2024-04-01/2024-04-02_revised-council-formal-meeting.md,
22 of 2024,2024-04-16,2024-04-16,"Close the public hearing and adopt Ordinance 22 of 2024, requiring the demolition notice to be posted at the location",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,7,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
23 of 2024,2024-04-16,2024-04-16,Adopt Ordinance 23 of 2024 (Temporary Zoning Regulation – Volunteers of America Youth Resource Center),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,10,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
24 of 2024,2024-04-16,2024-04-16,Adopt Ordinance 24 of 2024 (Temporary Zoning Regulation – Geraldine E. King Women's Resource Center),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,11,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
25 of 2024,2024-04-16,2024-04-16,Adopt Ordinance 25 of 2024 (Temporary Zoning Regulation – Gail Miller Resource Center),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,12,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
26 of 2024,2024-04-16,2024-04-16,Adopt Ordinance 26 of 2024 (Temporary Zoning Regulation – MicroShelter Community Program),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,14,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
27 of 2024,2024-04-16,2024-04-16,Adopt Ordinance 27 of 2024 (Temporary Zoning Regulation – St. Vincent de Paul Center),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,13,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
28 of 2024,2024-04-16,2024-04-16,"Adopt Ordinance 28 of 2024, authorizing the full single upfront payment of $1.612 million from the General Fund Balance for item A-10: Downtown Parking Pay Station Replacements",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-04-16,9,within_source,Council,1,,minutes/2024/2024-04-15/2024-04-16_revised-council-formal-meeting.md,
29 of 2024,2024-05-07,2024-05-07,Close the Public Hearing and adopt Ordinance 29 of 2024 (Attached Garages Zoning Text Amendment).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-05-07,11,medium,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
30 of 2024,2024-05-07,2024-05-07,Close the Public Hearing and adopt Ordinance 30 of 2024 (Zoning Map Amendment at 1050 West 1300 South).,https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-05-07,13,medium,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
31 of 2024,2024-05-07,2024-05-07,"Close the Public Hearing and adopt Ordinance 31 of 2024, amending the Fiscal Year 2024 final budget of Salt Lake City including the employment staffing document for specified items, and direct the City to seek reimbursement for Item A-8 from the Utah Fairpark Area Investment and Restoration District.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-05-07,14,within_source,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
32 of 2024,2024-05-07,2024-05-07,"Close the Public Hearing and adopt Ordinance 32 of 2024, replacing the 1996 Transportation Master Plan with Connect SLC as the Citywide Transportation Plan.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-05-07,16,medium,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
33 of 2024,2024-05-07,2024-05-07,"Adopt Ordinance 33 of 2024, subject to the conditions outlined in Attachment A, with added development agreement language limiting Package Delivery Facility accessory use to no more than 25 percent of gross square footage of any building (Zoning Map Amendments at approximately 2760, 2800, and 2828 North 2200 West).",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-1 Pass,2024-05-07,17,medium,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
34 of 2024,2024-05-07,2024-05-07,"Amend and adopt Ordinance 34 of 2024, permitting vinyl windows in local historic districts only as an affordable housing incentive per chapter 21A.52, so long as they are not readily visible from the street.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,7-0 Pass,2024-05-07,18,medium,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
35 of 2024,2024-05-07,2024-05-07,"Suspend the rules and adopt Ordinance 35 of 2024, amending the Consolidated Fee Schedule to modify certain fees related to recreational facilities.",https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-05-07,21,within_source,Council,1,,minutes/2024/2024-05-06/2024-05-07_lba-rda-and-council-formal-meeting.md,
36 of 2024,2024-05-21,2024-05-21,Close the public hearing and adopt Ordinance 36 of 2024 (Library Budget Amendment No. 3 for Fiscal Year 2023-24),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,7-0 Pass,2024-05-21,10,within_source,Council,1,,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
37 of 2024,2024-05-21,2024-05-21,Adopt Ordinance 37 of 2024 (Ballpark Station Area Rezone – Creation of the MU-8 Zoning District),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-0 Pass,2024-05-21,13,medium,Council,1,,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
38 of 2024,2024-05-21,2024-05-21,Adopt Ordinance 38 of 2024 (MU-8 Zone Sign Text Amendments),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,no,6-0 Pass,2024-05-21,14,within_source,Council,1,,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
39 of 2024,2024-05-21,2024-05-21,Adopt Ordinance 39 of 2024 (Rezone at approximately 536 South 200 West from D-2 to D-1),https://slc.primegov.com/ (council minutes portal),2026-07-05,text,reconstructed from meeting_minutes council motion text (PrimeGov minutes),,yes,6-1 Pass,2024-05-21,18,medium,Council,1,,minutes/2024/2024-05-20/2024-05-21_lba-rda-and-council-formal-meeting.md,
