candidate,office,election_year,filing_date,reporting_period,filing_type,stated_total_contributions,stated_total_expenditures,stated_beginning_balance,stated_ending_balance,itemized_contrib_sum,itemized_expend_sum,reconciles_contrib,reconciles_expend,recon_delta_contrib,recon_delta_expend,self_funded_amount,n_contrib_rows,n_expend_rows,source_filing,document_id,extraction_confidence,notes
Dawn Mathiesen Langston,County Clerk,2022,2022-12-08,Post-Election,statement,503.00,511.62,,11.17,503.0,511.62,True,True,0.00,0.00,303.00,9,10,raw/2022/20765_Langston-Post-Election-2022.pdf,20765,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 9 contribution / 10 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: promoted cumulative; balance: promoted cumulative; line 47 dropped: printed template example row (Jon and Jane Doe); line 71 dropped: printed template example row (Name of Business) | CALIBRATION CASE — born-digital, and the ONLY filing whose vision read can be checked cell-for-cell against a clean pdftotext -layout sidecar (text/20765_Langston-Post-Election-2022.txt). Vision and text agree exactly: contributions 503.00 | 0.00 | $503.00; expenditures 511.62 | 0.00 | $511.62; balance $11.14 | (empty) | $11.17. This is the filing on which millcreek_form and ogden_form both returned 511.62 as 'total contributions' (RECON.md Sec.4) — proof that the shared families read the wrong cover column. PORTAL-LABEL TRAP: listed under 'County Auditor:' but the form says Summit County Clerk. The $11.14/$11.17 balance mismatch is the filer's own and is retained."
Dawn Mathiesen Langston,County Clerk,2022,2022-11-01,Pre-Election,statement,503.00,511.62,,11.17,,,,,,,,0,0,raw/2022/20637_Langstone-Pre-Election-2022.pdf,20637,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | CALIBRATION CASE (born-digital, RECON.md Sec.4 ground truth): printed contributions $503.00 and expenditures $511.62 in BOTH the Current and Cumulative columns, $0.00 in Last. This is the filing on which millcreek_form and ogden_form both returned 511.62 as 'total contributions' — they read the wrong cover column. PORTAL-LABEL TRAP: the county page renders this filer under 'County Auditor:' but the form's own Office Filed For line says Summit County Clerk. Balance cells are internally inconsistent ($11.14 current vs $11.17 cumulative) — retained verbatim; the Last balance cell is EMPTY."
Eve Furse,County Clerk,2022,2022-12-08,Post-Election,statement,7570.00,8628.89,,-1058.89,,,,,,,,0,0,raw/2022/20762_Furse-Post-Election-2022.pdf,20762,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Photograph of the typed 2022 single-total sheet, legible. Column-order cross-check: Last Report reproduces doc 20651's Current figures exactly INCLUDING the -$2,462.13 balance, confirming the sign read on that shadowed page. Signed 'Evelyn Furse'."
Eve Furse,County Clerk,2022,,Pre-Election,statement,5820.00,8282.13,,-2462.13,,,,,,,,0,0,raw/2022/20651_Furse-Pre-Election-2022.pdf,20651,medium,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Heavily shadowed photograph of a typed 2022 single-total sheet; figures legible. The campaign-balance cell reads -$2,462.13 (leading minus partly lost in the shadow — medium confidence on the sign; 5,820.00 - 8,282.13 = -2,462.13). Last Report and Cumulative columns left blank. Signature date obscured by the shadow."
Byron L. Ames,County Council,2022,2022-04-25,Primary,statement,1503.02,339.17,,1163.45,,,,,,,,0,0,raw/2022/19764_Ames-Primary-2022.pdf,19764,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2022 single-total sheet, legible; Last Report column left blank. Indexed as the Primary report. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Canice Harte,County Council,2022,,Post-Election,statement,16627.00,16451.59,,1025.62,16627.0,16451.59,True,True,0.00,0.00,25.00,59,84,raw/2022/20752_Harte-Post-Election-2022.pdf,20752,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[current (cumulative cell empty)] | PRIVACY GUARD: line 60 — the `summit_form` family left a STREET fragment inside donor_raw (the donor name overflows the fixed-width name column); the street portion was discarded at the boundary marker and is not stored. Donor kept as ""Women's Democratic Club of Utah"". FAMILY LIMITATION, documented not patched. | PRIVACY GUARD: line 80 — the `summit_form` family left a STREET fragment inside donor_raw (the donor name overflows the fixed-width name column); the street portion was discarded at the boundary marker and is not stored. Donor kept as 'Summit County Democratic Party'. FAMILY LIMITATION, documented not patched. | ITEMIZED LAYER: 59 contribution / 84 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: promoted cumulative; balance: promoted current (cumulative cell empty) | Typed 2022 single-total sheet, born-digital quality; this Post-Election copy is NOT redacted (the Pre-Election copy, doc 20634, was). The campaign-balance CUMULATIVE cell is EMPTY, as on 20634. Signature date line blank."
Canice Harte,County Council,2022,,Pre-Election,statement,16427.00,13792.07,,3485.14,,,,,,,,0,0,raw/2022/20634_Harte-Pre-Election-2022.pdf,20634,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2022 single-total sheet; the county REDACTED the address and part of the phone line on the published PDF (black marker). The campaign-balance CUMULATIVE cell is EMPTY and the Last Report cell prints $850.21 while the other Last cells print $0.00 — filer inconsistency, retained. Signature date line blank."
Christopher F. Robinson,County Council,2022,2022-11-13,Post-Election,statement,303.02,303.02,,0.00,303.02,303.02,True,True,0.00,0.00,303.02,1,1,raw/2022/20761_Robinson-Post-Election-2022.pdf,20761,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 1 contribution / 1 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: promoted cumulative; balance: promoted cumulative | Born-digital DocuSigned 2022 single-total sheet (envelope id printed in the header); third column headed 'Cumulative'. NOT redacted, unlike the Pre-Election copy (doc 20645). Column-order cross-check: Last Report reproduces 20645's Current figures exactly. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Christopher F. Robinson,County Council,2022,2022-10-24,Pre-Election,statement,303.02,303.02,,0.00,,,,,,,,0,0,raw/2022/20645_Robinson-Pre-Election-2022.pdf,20645,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2022 single-total sheet on the Clerk's letterhead version (its third column is headed just 'Cumulative'); address redacted by the county. The Last-Report balance cell prints '$ .00' with the leading zero missing — kept verbatim. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Coleen Reardon,County Council,2022,2022-04-08,Primary,statement,300,140.40,,159.60,,,,,,,,0,0,raw/2022/19768_Reardon-Primary-2022.pdf,19768,medium,form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Faint handwritten 2022 single-total sheet on the Clerk's letterhead version. The candidate-name line is a signature-style scrawl (index name Coleen Reardon used). Contributions written '300' with no cents; the Last Report cells hold a dash (recorded blank). Cents on 140.40 / 159.60 written as superscripts.
Holly McClure,County Council,2022,2022-11-27,Post-Election,statement,8498.33,8893.21,,-394.88,,,,,,,,0,0,raw/2022/20758_McClure-Post-Election-2022.pdf,20758,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2022 single-total sheet, legible. Column-order cross-check: Last Report reproduces doc 20639's Current figures exactly (7,998.33 / 7,965.81); the Last balance cell reads 32.52 against 20639's 35.52 — filer slip, retained verbatim."
Holly McClure,County Council,2022,2022-10-27,Pre-Election,statement,7998.33,7965.81,,35.52,,,,,,,,0,0,raw/2022/20639_McClure-Pre-Election-2022.pdf,20639,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2022 single-total sheet on the Clerk's letterhead version, legible. N/A in every Last Report cell. Filer wrote an email address on the phone line."
"John ""Jack"" Murphy",County Council,2022,2022-12-08,Post-Election,statement,5300,5242.23,,-57.77,,,,,,,,0,0,raw/2022/20766_Murphy-Post-Election-2022.pdf,20766,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2022 single-total sheet ('County Coucil' typo retained). Column-order cross-check: Last Report reproduces doc 20640's Current figures (5100 / 3733.22 / 1366.78) — this INDEPENDENTLY resolves 20640's ambiguous cumulative expenditure glyph as 3733.22, but 20640's own null is left as-is (never back-filled from another document)."
"John ""Jack"" Murphy",County Council,2022,2022-11-01,Pre-Election,statement,5100,3733.22,,1366.78,,,,,,,,0,0,raw/2022/20640_Murphy-Pre-Election-2022.pdf,20640,medium,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[current (cumulative cell illegible)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed header, handwritten figures; re-read at 300dpi zoom. The Current contributions cell has an earlier figure struck out and '$5100—' written over it (dash for cents), same in Cumulative. The CUMULATIVE expenditure cell is genuinely ambiguous between $3733.22 and $3738.22 in the handwriting — left NULL rather than guessed; the Current cell reads $3733.22 clearly. Last Report cells hold a dash (recorded blank). Carries the clerk's printed instruction box."
Michael J Franchek,County Council,2022,2022-11-01,Post-Election,statement,500,503.02,,3.02,,,,,,,,0,0,raw/2022/20751_Franchek-Post-Election-2022.pdf,20751,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[current (cumulative cell empty)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Clean colour photograph of the same sheet as doc 20650, published again as the Post-Election report. The Current contributions cell holds a struck-out figure that cannot be resolved (NULL). Carries the clerk's printed instruction box. Surname scrawl as noted on 20650. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Michael J Franchek,County Council,2022,2022-11-01,Pre-Election,statement,500,503.02,,3.02,,,,,,,,0,0,raw/2022/20650_Franchek-Pre-Election-2022.pdf,20650,medium,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[current (cumulative cell empty)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Very dark/mottled photocopy (index text_quality=low). The cover box is still readable: the Current contributions cell holds a struck-out figure that cannot be resolved (NULL, never guessed), Last and Cumulative read $500. The surname is written as a scrawl reading 'Frendelc'/'Franchek'; index candidate name is Michael J Franchek. Same sheet content as the filer's Post-Election copy (doc 20751), which is a clean photograph of the same form. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Alan Siddoway,County Sheriff,2022,2022-11-11,Post-Election,statement,825.33,825.33,,0.00,,,,,,,,0,0,raw/2022/20753_Siddoway-Post-Election-2022.pdf,20753,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2022 single-total sheet, legible. Every Current Report cell and the whole campaign-balance row are a slashed-zero nil mark (recorded blank, not 0). Party written WRITE-IN. Carries the clerk's printed instruction box. zero-glyph audit 2026-08-02 (coordinator): this filing's blank-audit cells were re-rendered at FULL page and re-read; cells set to 'Ø' held a deliberate slashed-zero glyph on the form face (owner ruling 2026-08-02: zero-denoting glyphs = the digit 0; dashes/N-A/empty stay blank)."
Justin Martinez,County Sheriff,2022,2022-10-06,Pre-Election,statement,2584.54,825.33,,1759.21,,,,,,,,0,0,raw/2022/20638_Martinez-Pre-Election-2022.pdf,20638,high,"form_variant=split50; column order current_report | last_report | cumulative_totals | promotion: contributions[sum of the printed split lines [>$50=cumulative; <=$50=cumulative]]; expenditures[current (cumulative prints zero against a non-zero row)]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | FORM-VARIANT NOTE: this 2022 filer used the OLDER split->$50/<=$50 sheet, not the 2022 single-total sheet — the two variants coexist in the 2022 cycle. The Last Report column carries this filer's 2018 Final figures ($2,584.54), i.e. a carried-over campaign balance across cycles. The cumulative expenditure cell prints $0.00 against $825.33 current — filer inconsistency, retained verbatim."
Stephanie Poll,County Assessor,2024,2024-12-05,Post-Election,statement,947.20,947.20,,0.00,,,,,,,,0,0,raw/2024/24385_Poll-Post-Election-2024-General.pdf,24385,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet — the typed counterpart of the filer's handwritten Pre-Election sheet (doc 24233), same figures. Previous Report column left blank. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Stephanie Poll,County Assessor,2024,2024-10-29,Pre-Election,statement,947.20,947.20,,0.00,,,,,,,,0,0,raw/2024/24233_Poll-Pre-Election-2024-General.pdf,24233,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[current (cumulative cell empty)]; expenditures[current (cumulative cell empty)]; ending_balance[current (cumulative cell empty)] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Handwritten 2024 sheet, legible. Previous Report and Cumulative Total cells (and the whole balance row) hold a dash or slashed-zero nil mark — recorded blank, not 0. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged. zero-glyph audit 2026-08-02 (coordinator): this filing's blank-audit cells were re-rendered at FULL page and re-read; cells set to 'Ø' held a deliberate slashed-zero glyph on the form face (owner ruling 2026-08-02: zero-denoting glyphs = the digit 0; dashes/N-A/empty stay blank)."
Ari Ioannides,County Council,2024,2024-12-05,Post-Election,statement,28510.42,28510.42,,0,,28510.42,,True,,0.00,0.00,0,80,raw/2024/24382_Ioannides-Post-Election-2024-General.pdf,24382,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | ITEMIZED LAYER: 0 contribution / 80 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: promoted cumulative; balance: promoted cumulative; contributions: 63 row(s) NOT emitted — Sum rows 28560.42 matches no printed figure (cover 28510.42) -- itemization incomplete, a short ledger is not published as complete | HEADER BLANK ON THE FORM, as on this filer's Pre-Election sheet (doc 24231): the Full Name / Office / Party boxes are empty; candidate (Ari Ioannides) and office come from the portal listing. The Previous-Report expenditure cell repeats the comma-for-decimal typo '23,744,71'. Column-order cross-check: Previous Report reproduces 24231's Current figure. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Ari Ioannides,County Council,2024,2024-10-29,Pre-Election,statement,23744.71,32744.71,,0,,,,,,,,0,0,raw/2024/24231_Ioannides-Pre-Election-2024-General.pdf,24231,medium,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[current (cumulative cell unparseable)]; expenditures[cumulative]; ending_balance[cumulative] | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted current (cumulative cell unparseable); expenditures: promoted cumulative; balance: promoted cumulative; contributions: 60 row(s) NOT emitted — Sum rows 23794.71 matches no printed figure (cover 23744.71) -- itemization incomplete, a short ledger is not published as complete; expenditures: 76 row(s) NOT emitted — Sum rows 23744.71 matches no printed figure (cover 32744.71) -- itemization incomplete, a short ledger is not published as complete | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | HEADER BLANK ON THE FORM: the Full Name / Office Filed For / Party boxes of this 2024 sheet were left empty by the filer; the candidate (Ari Ioannides) and office come from the county portal listing, NOT from the document. Three filer typography errors retained verbatim: cumulative contributions written '23,744,71' (comma for the decimal point), current expenditures written '23.744.71' (period for the thousands separator), and cumulative expenditures written '32,744.71' against a current of 23,744.71. Nothing corrected. Confidence on the stated totals is MEDIUM because the promotion has to choose between two typo-bearing cells: the cumulative contributions cell does not parse (comma decimal) so the Current 23,744.71 is promoted, while the cumulative expenditure cell parses as 32,744.71 and is promoted even though the Current cell (unparseable '23.744.71') suggests 23,744.71. Nothing was repaired. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Betsy Wallace,County Council,2024,2024-04-24,Out at Convention,statement,734.21,734.21,,0.00,,,,,,,,0,0,raw/2024/23016_Wallace-Final-2024-Financial-Disclosure.pdf,23016,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | COVER DIVERGENCE (expenditures): the `summit_form` family reads None off the sheet where the vision promotion published 734.21; the vision figure governs and no figure was changed | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: no promotable figure (current=empty, cumulative=nil); balance: no promotable figure (current=empty, cumulative=nil); contributions: 2 row(s) NOT emitted — Sum rows 784.21 matches no printed figure (cover 734.21) -- itemization incomplete, a short ledger is not published as complete; expenditures: 3 row(s) NOT emitted — Sum rows 734.21 matches no printed figure (cover blank) -- itemization incomplete, a short ledger is not published as complete | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet (Clerk letterhead version). The Current campaign-balance cell prints '$0.0' with one decimal place — kept verbatim. Signature date not visible in the cover crop. Indexed as Out at Convention. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Byron Lansing Ames,County Council,2024,2024-02-27,Withdrawn,statement,579.46,579.46,,0,,,,,,,,0,0,raw/2024/23013_Ames-Final-2024-Financial-Disclosure.pdf,23013,medium,form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | FORM-VARIANT SEAM: the 2024 sheet renames the middle column 'Previous Report' (third is 'Cumulative Total') — the ORDER is unchanged: Current | Previous | Cumulative. Handwritten; the cents digits on 579.46 are over-written by the filer (medium confidence on the cents). Previous Report column left blank. Indexed as Withdrawn.
Cami Richardson,County Council,2024,2024-04-18,Out at Convention,statement,1064.46,904.15,,160.31,,,,,,,,0,0,raw/2024/23015_Richardson-Final-2024-Financial-Disclosure.pdf,23015,medium,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | 2024 sheet, handwritten. The Current and Cumulative contributions cells both read 1064.46 (the Cumulative was first transcribed 1044.46; see the correction below), and the filer's own balance row agrees: 160.31 = 1064.46 - 904.15. Signature date read from the certification block. CORRECTION 2026-08-02 (verification pass): the cumulative contribution was transcribed 1044.46; re-read at 600 dpi it is 1064.46 - the third glyph is the same 6 form the filer writes in the trailing .46, and the Current cell is 1064.46 against a Previous of 0. stated_total_contributions changes 1044.46 -> 1064.46. CORRECTION 2026-08-02 (independent verification, agent 3): the signature date was transcribed 4/10/24; re-read at 400 dpi it is 4/18/24 (the second digit is an 8, closed at top and bottom). filing_date changes 2024-04-10 -> 2024-04-18. No money cell changes."
Megan Marie McKenna,County Council,2024,2024-12-05,Post-Election,statement,36199.94,35523.63,,676.31,,,,,,,,0,0,raw/2024/24384_Mckenna-Post-Election-2024-General.pdf,24384,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 filing on the Clerk-letterhead 'Last Report' layout. Column-order cross-check: Last Report reproduces doc 24232's Current figures exactly (34,199.94 / 28,595.91 / 5,604.03). Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Megan Marie McKenna,County Council,2024,2024-10-29,Pre-Election,statement,34199.94,28595.91,,5604.03,,,,,,,,0,0,raw/2024/24232_McKenna-Pre-Election-2024-General.pdf,24232,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 filing on the Clerk-letterhead 'Last Report' layout; Last Report column left blank. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Roger Armstrong,County Council,2024,2024-12-02,Post-Election,statement,339.46,339.46,,0.00,,,,,,,,0,0,raw/2024/24377_Armstrong-Post-Election-2024-General.pdf,24377,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet; same figures as the filer's Pre-Election copy (doc 24247), name written in full as 'Roger Lynn Armstrong'. Signature date not visible in the cover crop. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Roger Armstrong,County Council,2024,2024-10-31,Pre-Election,statement,339.46,339.46,,0.00,,,,,,,,0,0,raw/2024/24247_Armstrong-Pre-Election-2024-General.pdf,24247,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet, all three columns printed. The $339.46 carried in Previous Report has no published predecessor filing in this dataset (the county page lists only two 2024 Armstrong reports) — an availability observation, not a transcription gap. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
Thomas Cooke,County Council,2024,2024-07-23,Out at Primary,statement,5456.46,5755.91,,-299.45,5456.46,5755.91,True,True,0.00,0.00,589.46,36,28,raw/2024/23740_Cooke-Final-2024-Financial-Disclosure.pdf,23740,high,"form_variant=single_total; column order current_report | last_report | cumulative_totals | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[current (cumulative cell empty)] | ITEMIZED LAYER: 36 contribution / 28 expenditure row(s) parsed by the registered `summit_form` family from the born-digital text layer, each side reconciled EXACTLY to the published stated total; per-row `geometry` records the amount cell read | family: cover columns: current|middle|cumulative (Summit order is Current FIRST — never the millcreek LAST|THIS|CUM); contributions: promoted cumulative; expenditures: promoted cumulative; balance: promoted current (cumulative cell empty) | Typed 2024 filing on the OLDER 'Last Report' sheet layout (address/phone block, Current | Last | Cumulative). The campaign-balance CUMULATIVE cell is EMPTY. Carries the clerk's printed instruction box. Indexed as Out at Primary."
Tonja Blonquist Hanson,County Council,2024,2024-12-03,Post-Election,statement,640.86,640.86,,0.00,,,,,,,,0,0,raw/2024/24381_Hanson-Post-Election-2024-General.pdf,24381,high,"form_variant=single_total_2024; column order current_report | previous_report | cumulative_total | promotion: contributions[cumulative]; expenditures[cumulative]; ending_balance[cumulative] | stated totals only — itemized donor/expenditure layer NOT transcribed (reconciliation columns intentionally blank) | Typed 2024 sheet ('Countil' typo retained). Column-order cross-check: Previous Report reproduces doc 24237's Current figure (640.86) — and this sheet's Cumulative column is correctly filled, which shows 24237's all-$0.00 cumulative column was the template default, not a real zero. SIGNATURE-DATE PASS 2026-08-02 (independent verification, agent 3): the form's printed signature date was re-read from a 250 dpi render of page 1 and is recorded here as printed. It had been left blank by the 2026-08-01 transcription; the date line is NOT empty on this sheet. Money cells unchanged."
