ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,land_use_category,n_motion_events,has_signed_pdf,linkage_note,minutes_source
2021-52,2021-12-16,2021-12-16,AN ORDINANCE AMENDING LAND MANAGEMENT CODE SECTION 15-2.13-2 TO PROHIBIT NIGHTLY RENTALS IN THE HIDDEN OAKS AT DEER VALLEY SUBDIVISION PHASES 2 AND 3,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1641326536_2021-52_Hidden_Oaks_Ban_Nightly_Rentals.docx.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1641326536_2021-52_Hidden_Oaks_Ban_Nightly_Rentals.docx.pdf,yes,4-0 Pass,2021-12-16,7,high,subdivision_plat,1,yes,,minutes/2021/2021-12-13/2021-12-16_city-council-meeting.md
2022-01,2022-01-06,2022-01-06,approving the 2022 regular meeting schedule for City Council,minutes/2022/2022-01-03/2022-01-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,4-0 Pass,2022-01-06,3,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-01-03/2022-01-06_city-council-meeting.md
2022-02,2022-01-06,2022-01-06,"AN ORDINANCE AMENDING SECTION 9-5-3, PARKING CODE - TYPES OF PERMITS; AND SECTION 4-7-3, LICENSING - CONVENTIONAL SALES AND COMMERCIAL HOSPITALITY APPLICATIONS, OF THE MUNICIPAL CODE OF PARK CITY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1641938536_2022-02_Parking.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1641938536_2022-02_Parking.pdf,no,4-0 Pass,2022-01-06,4,high,,1,yes,,minutes/2022/2022-01-03/2022-01-06_city-council-meeting.md
2022-03,2022-01-27,2022-01-27,"approving the Founders Place Subdivision located at 3267 West Deer Hollow Road, Parcel 00-0021-01977 in Park City, Wasatch County, Utah with the amended condition of approval regarding Deer Hollow Road, including language that referred to the developer and to take out owners as individuals in a form approved by the City Attorney, and a condition of approval prohibiting satellite parking",minutes/2022/2022-01-24/2022-01-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-1 Pass,2022-01-27,4,within_source,subdivision_plat,2,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-01-24/2022-01-27_city-council-meeting.md
2022-04,2022-01-27,2022-01-27,"approving the Founders Place Phase I Condominium Plat located at 3267 West Deer Hollow Road, Parcel 00-0021-01977 in Park City, Wasatch County, Utah",minutes/2022/2022-01-24/2022-01-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-1 Pass,2022-01-27,5,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-01-24/2022-01-27_city-council-meeting.md
2022-05,2022-03-31,2022-03-31,"denying the Mountain Ridge Subdivision, Lot 13, Plat Amendment, located at 3099 Mountain Ridge Court, Park City, Utah",minutes/2022/2022-03-28/2022-03-31_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-03-31,8,within_source,subdivision_plat,2,no,"number cited on 2 dates: 2022-03-03, 2022-03-31; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2022/2022-03-28/2022-03-31_city-council-meeting.md
2022-06,2022-02-03,2022-02-03,"approving the Park City Film Studios First Amended Subdivision, Park City, Utah",minutes/2022/2022-01-31/2022-02-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-02-03,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-01-31/2022-02-03_city-council-meeting.md
2022-07,2022-03-03,2022-03-03,"approving the Payday Condominium Amended Plat, located at 1660 and 1700 Three Kings Drive, Park City, Utah",minutes/2022/2022-02-28/2022-03-03_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,3-2 Pass,2022-03-03,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-02-28/2022-03-03_city-council-meeting.md
2022-08,2022-04-28,2022-04-28,Pickleball LMC Amendments,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1652721483_2022-08_Pickleball_LMC_Amendments.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1652721483_2022-08_Pickleball_LMC_Amendments.pdf,yes,4-0 Pass,2022-04-28,8,high,lmc_text_amendment,2,yes,"number cited on 2 dates: 2022-04-07, 2022-04-28; last passing motion chosen",minutes/2022/2022-04-25/2022-04-28_city-council-meeting.md
2022-09,2022-04-28,2022-04-28,"approving the Kings Crown Re-Subdivision Third Amended Lot Combination Plat, located at 1281 Rothwell Road, Park City, Utah",minutes/2022/2022-04-25/2022-04-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-04-28,10,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-04-25/2022-04-28_city-council-meeting.md
2022-10,2022-04-28,2022-04-28,"approving 1304 Park Avenue Plat Amendment, located at 1304 Park Avenue, Park City, Utah. ?? seconded the motion",minutes/2022/2022-04-25/2022-04-28_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-04-28,11,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-04-25/2022-04-28_city-council-meeting.md
2022-11,2022-05-05,2022-05-05,"of Park City Municipal Corporation amending Volume I: Executive Summary: Policies and Objectives, Part 1 - Public Service Contracts in the Adjusted Budget for FY 2022 for Park City Municipal Corporation and its related agencies",minutes/2022/2022-05-02/2022-05-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2022-05-05,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-05-02/2022-05-05_city-council-meeting.md
2022-12,2022-05-12,2022-05-12,"adopting a Tentative Revised Budget for Fiscal Year 2022 and a Tentative Budget for Fiscal Year 2023 for Park City Municipal Corporation and its related agencies and authorizing the computation of the property tax rate at a no tax increase rate, and set public hearings to consider adoption of the Final Budget on June 23, 2022, at a regular City Council Meeting",minutes/2022/2022-05-09/2022-05-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2022-05-12,2,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-05-09/2022-05-12_city-council-meeting.md
2022-13,2022-05-12,2022-05-12,"approving the 45 Daly Avenue Subdivision, located at 45 Daly Avenue, Summit County, Park City, Utah",minutes/2022/2022-05-09/2022-05-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-05-12,3,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-05-09/2022-05-12_city-council-meeting.md
2022-14,2022-05-26,2022-05-26,"approving the Mountain Center Subdivision, located at 1431 Lowell Avenue, Park City, Utah",minutes/2022/2022-05-23/2022-05-26_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-05-26,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-05-23/2022-05-26_city-council-meeting.md
2022-15,2022-05-26,2022-05-26,AN ORDINANCE AMENDING THE MUNICIPAL CODE OF PARK CITY TITLE 4 GENERAL LICENSING SECTION 4-2-15 VIBRANT COMMERCIAL STOREFRONT IN HCB AND HRC DISTRICTS; TITLE 12 SIGN CODE SECTION 12-3-1 PERMITS REQUIRED; AND TITLE 15 LAND MANAGEMENT CODE SECTION 15-15-1 DEFINITIONS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1654118550_2022-15_Sign_Code.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1654118550_2022-15_Sign_Code.pdf,yes,4-0 Pass,2022-05-26,9,high,lmc_text_amendment,1,yes,,minutes/2022/2022-05-23/2022-05-26_city-council-meeting.md
2022-16,2022-05-26,2022-05-26,an ordinance of the City Council.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1654207850_2022-16_Design_Review.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1654207850_2022-16_Design_Review.pdf,no,4-0 Pass,2022-05-26,10,high,,1,yes,,minutes/2022/2022-05-23/2022-05-26_city-council-meeting.md
2022-17,2022-06-09,2022-06-09,"approving the Snow Flower Condominiums Fourth Amended Plat amending Unit 75, located at 401 Silver King Drive, Unit 75, Summit County, Park City, Utah",minutes/2022/2022-06-06/2022-06-09_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-06-09,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-06-06/2022-06-09_city-council-meeting.md
2022-18,2022-06-16,2022-06-16,"annexing approximately 1,200 acres of property located in the Southeast Quinn’s Junction area into the corporate limits of Park City, Utah, and amending the Official Zoning Map of Park City to zone the property Recreation and Open Space within the Entry Corridor Protection and Sensitive Land Overlays. The area was already subject to the Flagstaff Development Agreement and the open space acquisitio",minutes/2022/2022-06-13/2022-06-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-06-16,3,within_source,annexation,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-06-13/2022-06-16_city-council-meeting.md
2022-19,2022-06-23,2022-06-23,adopting a revised budget for Fiscal Year 2022 and final budget for Fiscal Year 2023 for,minutes/2022/2022-06-20/2022-06-23_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2022-06-23,8,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-06-20/2022-06-23_city-council-meeting.md
2022-20,2022-06-23,2022-06-23,establishing compensation for the elected and statutory officers for FY 2023,minutes/2022/2022-06-20/2022-06-23_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,4-1 Pass,2022-06-23,10,within_source,,2,no,"number cited on 2 dates: 2022-06-16, 2022-06-23; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2022/2022-06-20/2022-06-23_city-council-meeting.md
2022-21,2022-10-27,2022-10-27,Fractional Ownership,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1668623961_2022-21_Fractional_Ownership.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1668623961_2022-21_Fractional_Ownership.pdf,no,5-0 Pass,2022-10-27,6,high,,3,yes,"number cited on 3 dates: 2022-06-23, 2022-10-06, 2022-10-27; last passing motion chosen",minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md
2022-22,2022-06-23,2022-06-23,"AN ORDINANCE CLARIFYING ROLES AND RESPONSIBILITIES IN PROHIBITING THE IGNITION OR USE OF IGNITION SOURCES, AMENDING SECTION 11-9-3 AND REPEALING SECTION 11-9-3.1 OF THE MUNICIPAL CODE OF PARK CITY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1657740182_2022-22_Prohibiting_Ignition_Sources_w_Attachment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1657740182_2022-22_Prohibiting_Ignition_Sources_w_Attachment.pdf,no,5-0 Pass,2022-06-23,19,high,,1,yes,,minutes/2022/2022-06-20/2022-06-23_city-council-meeting.md
2022-23,2022-07-14,2022-07-14,Business Licensing w Redlines,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1658874168_2022-23_Business_Licensing_w_Redlines.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1658874168_2022-23_Business_Licensing_w_Redlines.pdf,no,4-0 Pass,2022-07-14,8,high,,1,yes,,minutes/2022/2022-07-11/2022-07-14_city-council-meeting.md
2022-24,2022-07-14,2022-07-14,"AN ORDINANCE AMENDING TITLE 2, CHAPTER 3, SECTIONS 1-6 OF THE MUNICIPAL CODE OF PARK CITY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1658874225_2022-24_Amending_Title_2_Ch_3_w_Attachment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1658874225_2022-24_Amending_Title_2_Ch_3_w_Attachment.pdf,no,4-0 Pass,2022-07-14,10,high,,1,yes,,minutes/2022/2022-07-11/2022-07-14_city-council-meeting.md
2022-25,2022-09-01,2022-09-01,"approving the Fox Tail Trail Subdivision, located at 3805 Fox Tail Trail, Park City, Utah with the amendment that the lot is constrained to the Estate zoned portion only and the Conditions of Approval be revised to reflect that, and be reviewed by the City Attorney’s office prior to signature, including the .76 acres to be part of the dedication",minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-09-01,10,within_source,subdivision_plat,2,no,"number cited on 2 dates: 2022-07-21, 2022-09-01; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-26,2022-07-21,2022-07-21,"approving the 949 Empire Avenue Plat Amendment, located at 949 Empire Avenue",minutes/2022/2022-07-18/2022-07-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-07-21,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-07-18/2022-07-21_city-council-meeting.md
2022-27,2022-07-21,2022-07-21,"approving the 405 Woodside Avenue Subdivision Plat, located at 405 Woodside Avenue, Park City, Utah",minutes/2022/2022-07-18/2022-07-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-07-21,7,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-07-18/2022-07-21_city-council-meeting.md
2022-28,2022-07-21,2022-07-21,"approving the vacation of a portion of the platted Sampson Avenue right-of-way adjacent to 115 Sampson Avenue and the 115 Sampson Avenue Subdivision First Amended Plat Amendment, located at 115 Sampson Avenue, Park City, Utah",minutes/2022/2022-07-18/2022-07-21_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-07-21,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-07-18/2022-07-21_city-council-meeting.md
2022-29,2022-09-01,2022-09-01,AN ORDINANCE AMENDING STORMWATER ILLICIT DISCHARGE DETECTION AND ELIMINATION AUTHORITY FOR PARK CITY MUNICIPAL CORPORATION.,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1663266694_2022-29_Stormwater_Signed.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1663266694_2022-29_Stormwater_Signed.pdf,no,4-0 Pass,2022-09-01,13,high,,1,yes,,minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-30,2022-09-01,2022-09-01,AN ORDINANCE AMENDING LAND MANAGEMENT CODE SECTION 15-12-2 TERMS AND ELIGIBILITY OF MEMBERS TO OUTLINE PLANNING COMMISSIONER QUALIFICATIONS,https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1663266722_2022-30_Planning_Commission_Code_Amendment_Signed.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1663266722_2022-30_Planning_Commission_Code_Amendment_Signed.pdf,yes,4-0 Pass,2022-09-01,17,high,lmc_text_amendment,1,yes,,minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-31,2022-09-01,2022-09-01,"approving The Stag Lodge Phase 1 Fourth Amended Condominium Plat amending Unit 7, located at 8200 Royal Street, Park City Utah",minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-09-01,11,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-32,2022-09-01,2022-09-01,"approving Stag Lodge Phase IV Third Amended Condominium Plat amending Unit 50, located at 8200 Royal Street. Park City",minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-09-01,12,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-33,2022-09-01,2022-09-01,"approving the Sommet Blanc Condominiums Plat, located at 9300 Marsac Avenue",minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-09-01,15,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-34,2022-09-01,2022-09-01,"approving Iron Canyon Subdivision Lot 33 - Building Pad Adjustment Plat Amendment, located at 14 Iron Canyon Court, Park City Utah",minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2022-09-01,16,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-35,2022-09-01,2022-09-01,"AN ORDINANCE AMENDING TITLE 14, TREES/LANDSCAPING; STREETS, SIDEWALKS AND STAIRS; STREETCUTS; SNOW REMOVAL; STREET ADDRESS SYSTEM; NEWS RACKS BY AMENDING CHAPTER 14-7 SMALL WIRELESS FACILITIES IN THE PUBLIC RIGHT OF WAY OF THE MUNICIPAL CODE OF PARK CITY",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1663266765_2022-35_SWF_Historic_District_Design_Standards_w_Attachment_Signed.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1663266765_2022-35_SWF_Historic_District_Design_Standards_w_Attachment_Signed.pdf,no,4-0 Pass,2022-09-01,9,high,,1,yes,,minutes/2022/2022-08-29/2022-09-01_city-council-meeting.md
2022-36,2022-09-15,2022-09-15,"AN ORDINANCE AMENDING TITLE 4A - SPECIAL EVENTS, CHAPTER 1 DEFINITIONS AND CHAPTER 2 SPECIAL EVENT PERMITTING OF THE MUNICIPAL CODE OF PARK CITY, UTAH",https://s3-us-west-2.amazonaws.com/municipalcodeonline.com-new/parkcity/ordinances/documents/1667238535_2022-36_Amending_Title_4A_Special_Events_w_Attachment.pdf,2026-07-05,text,pdftotext -layout (Municode MunicipalCodeOnline signed ordinance PDF),raw/1667238535_2022-36_Amending_Title_4A_Special_Events_w_Attachment.pdf,no,5-0 Pass,2022-09-15,6,high,,1,yes,,minutes/2022/2022-09-12/2022-09-15_city-council-meeting.md
2022-37,2022-09-15,2022-09-15,"approving the Bardsley Plat Amendment, located at 517 Park Avenue, Park City, Utah",minutes/2022/2022-09-12/2022-09-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-09-15,3,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-09-12/2022-09-15_city-council-meeting.md
2022-38,2022-09-15,2022-09-15,"approving the 51 Daly Avenue Subdivision, located at 51 Daly Avenue, Summit County, Park City, Utah",minutes/2022/2022-09-12/2022-09-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-09-15,4,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-09-12/2022-09-15_city-council-meeting.md
2022-39,2022-10-06,2022-10-06,"an extension of city council's July 15, 2021 approval of Ordinance No. 2021-32, an ordinance approving the 245 Woodside Plat Amendment, located at 245 Woodside Avenue, Park City, Utah",minutes/2022/2022-10-03/2022-10-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-10-06,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-10-03/2022-10-06_city-council-meeting.md
2022-40,2022-10-06,2022-10-06,"approving an extension of City Council's June 18, 2020 approval of Ordinance No. 2020-40, an ordinance approving the 1162 Woodside Avenue Plat Amendment, located at 1162 Woodside Avenue, Park City, Utah",minutes/2022/2022-10-03/2022-10-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-10-06,10,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-10-03/2022-10-06_city-council-meeting.md
2022-41,2022-10-06,2022-10-06,"approving the Park City Fire Station Subdivision, located at 7805 Royal Street, Park City, Utah",minutes/2022/2022-10-03/2022-10-06_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-10-06,11,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-10-03/2022-10-06_city-council-meeting.md
2022-42,2022-10-27,2022-10-27,"approving the Heimpel Plat Amendment located at 455 Woodside Avenue, Park City, Utah",minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-10-27,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md
2022-43,2022-10-27,2022-10-27,"approving the Stonebridge Amended Plat, located at 1201 Stonebridge Circle, Park City, Utah",minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-10-27,9,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md
2022-44,2022-10-27,2022-10-27,"approving the 569 Park Avenue Subdivision, located at 569 Park Avenue, Summit County, Park City, Utah",minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-10-27,10,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-10-24/2022-10-27_city-council-meeting.md
2022-45,2022-11-17,2022-11-17,"approving the Royal Plaza Condominiums Fourth Amended Plat combining Units 301 and 309, located at 7620 Royal Street E, Park City, Utah",minutes/2022/2022-11-14/2022-11-17_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-11-17,8,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-11-14/2022-11-17_city-council-meeting.md
2022-46,2022-12-08,2022-12-08,"approving the 161 Park Avenue Plat Amendment located at 161 Park Avenue, Park City, Utah",minutes/2022/2022-12-05/2022-12-08_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,5-0 Pass,2022-12-08,6,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-12-05/2022-12-08_city-council-meeting.md
2022-47,2022-12-15,2022-12-15,"amending the Annexation and Zoning Ordinance No. 2012-12, for approximately 20.46 acres of property located at 3981 Kearns Boulevard, in the Quinn's Junction area, known as The Park City Film Studios First Amended Subdivision Lot 1B, Park City. Utah",minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,3-2 Pass,2022-12-15,8,within_source,annexation,1,no,number known only from council motion text (no independent signed PDF),minutes/2022/2022-12-12/2022-12-15_city-council-meeting.md
2023-01,2023-01-05,2023-01-05,approving the 2023 Regular Meeting Schedule for City Council,minutes/2023/2023-01-02/2023-01-05_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2023-01-05,8,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2023/2023-01-02/2023-01-05_city-council-meeting.md
2023-02,2023-01-12,2023-01-12,granting an electric utility franchise to Rocky Mountain Power,minutes/2023/2023-01-09/2023-01-12_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2023-01-12,5,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2023/2023-01-09/2023-01-12_city-council-meeting.md
2023-03,2023-04-27,2023-04-27,"approving a zoning map amendment to rezone a six-acre pod from Recreation and Open Space (ROS) to Estate (E) from a portion of PCA-S-79-C (Bransford Property, also known as the Logan Parcel), Park City, Utah, subject to subdivision plat approval by the City Council of Park City prior to April 27, 2025",minutes/2023/2023-04-24/2023-04-27_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-1 Pass,2023-04-27,7,within_source,zone_change,2,no,"number cited on 2 dates: 2023-01-24, 2023-04-27; last passing motion chosen; number known only from council motion text (no independent signed PDF)",minutes/2023/2023-04-24/2023-04-27_city-council-meeting.md
2023-04,2023-01-24,2023-01-24,"approving Lots 30 and 31 Holiday Ranchettes First Amended Plat, located at 2545 and 2529 Lucky John Drive, Park City, Utah",minutes/2023/2023-01-23/2023-01-24_city-council-meeting_2.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,yes,4-0 Pass,2023-01-24,5,within_source,subdivision_plat,1,no,number known only from council motion text (no independent signed PDF),minutes/2023/2023-01-23/2023-01-24_city-council-meeting_2.md
2023-05,2023-02-16,2023-02-16,"approving the Ridgeview Townhouse Condominiums First Amendment - amending Unit 3-B, located at 3045 Ridgeview Drive, Park City, Utah",minutes/2023/2023-02-13/2023-02-16_city-council-meeting.md,2026-07-05,text,reconstructed from meeting_minutes motion text (born-digital CivicClerk minutes),,no,5-0 Pass,2023-02-16,6,within_source,,1,no,number known only from council motion text (no independent signed PDF),minutes/2023/2023-02-13/2023-02-16_city-council-meeting.md
