meeting_date,motion_no,ref_type,ref_number,verbatim
2024-08-13,5,resolution,41-2024,Resolution 41-2024
2024-08-20,2,ordinance,2024-16,Ordinance 2024-16
2024-08-20,3,ordinance,2024-17,Ordinance 2024-17
2024-08-20,5,ordinance,2024-18,Ordinance 2024-18
2024-09-03,2,ordinance,2024-18,Ordinance 2024-18
2024-09-10,2,resolution,42-2024,Resolution 42-2024
2024-09-17,8,resolution,43-2024,Resolution 43-2024
2024-09-24,2,resolution,44-2024,Resolution 44-2024
2024-10-08,2,ordinance,2024-19,Ordinance 2024-19
2024-10-29,2,resolution,45-2024,Resolution 45-2024
2024-10-29,3,resolution,46-2024,Resolution 46-2024
2024-10-29,9,resolution,47-2024,Resolution 47-2024
2024-10-29,10,resolution,47-2024,Resolution 47-2024
2024-11-05,6,ordinance,2024-20,Ordinance 2024-20
2024-11-05,7,ordinance,2024-21,Ordinance 2024-21
2024-11-19,6,resolution,48-2024,Resolution 48-2024
2024-11-19,7,resolution,49-2024,RESOLUTION 49-2024
2024-11-19,8,resolution,50-2024,Resolution 50-2024
2024-11-19,9,resolution,51-2024,Resolution 51-2024
2024-11-19,10,resolution,51-2024,Resolution 51-2024
2024-11-19,12,ordinance,2024-22,Ordinance 2024-22
2024-11-19,13,ordinance,2024-22,Ordinance 2024-22
2024-11-20,1,resolution,52-2024,Resolution 52-2024
2024-11-20,2,resolution,52-2024,Resolution 52-2024
2024-11-20,4,resolution,53-2024,Resolution 53-2024
2024-12-03,3,resolution,54-2024,Resolution 54-2024
2024-12-10,2,ordinance,2024-23,Ordinance 2024-23
2024-12-10,3,resolution,55-2024,Resolution 55-2024
2024-12-10,7,resolution,56-2024,Resolution 56-2024
2024-12-17,2,resolution,57-2024,Resolution 57-2024
2024-12-17,6,resolution,58-2024,Resolution 58-2024
2024-12-17,9,resolution,59-2024,Resolution 59-2024
2024-12-17,10,resolution,59-2024,Resolution 59-2024
2024-12-31,2,ordinance,2024-24,Ordinance 2024-24
2025-01-07,5,resolution,01-2025,Resolution 01-2025
2025-01-07,6,resolution,02-2025,Resolution 02-2025
2025-01-07,7,resolution,02-2025,Resolution 02-2025
2025-01-14,3,resolution,03-2025,Resolution 03-2025
2025-01-14,4,resolution,04-2025,Resolution 04-2025
2025-01-14,5,resolution,05-2025,Resolution 05-2025
2025-01-21,2,ordinance,2024-23,Ordinance 2024-23
2025-01-21,3,resolution,06-2025,Resolution 06-2025
2025-01-21,10,ordinance,2025-01,Ordinance 2025-01
2025-01-21,11,ordinance,2025-01,Ordinance 2025-01
2025-01-28,2,resolution,07-2025,Resolution 07-2025
2025-01-28,3,resolution,08-2025,Resolution 08-2025
2025-01-28,4,resolution,08-2025,Resolution 08-2025
2025-01-28,4,ordinance,2025-02,Ordinance 2025-02
2025-01-28,9,resolution,09-2025,Resolution 09-2025
2025-01-28,10,resolution,09-2025,Resolution 09-2025
2025-02-18,2,resolution,10-2025,Resolution 10-2025
2025-02-18,3,resolution,10-2025,RESOLUTION 10-2025
2025-02-18,4,resolution,10-2025,Resolution 10-2025
2025-02-25,2,resolution,11-2025,Resolution 11-2025
2025-02-25,3,resolution,12-2025,Resolution 12-2025
2025-02-25,11,resolution,13-2025,Resolution 13-2025
2025-02-25,12,ordinance,2025-03,Ordinance 2025-03
2025-03-11,3,resolution,14-2025,Resolution 14-2025
2025-03-11,4,resolution,15-2025,Resolution 15-2025
2025-03-11,8,resolution,16-2025,Resolution 16-2025
2025-03-11,9,resolution,16-2025,Resolution 16-2025
2025-03-18,3,resolution,17-2025,Resolution 17-2025
2025-03-18,4,resolution,17-2025,Resolution 17-2025
2025-03-18,4,ordinance,2025-04,Ordinance 2025-04
2025-03-18,5,resolution,18-2025,Resolution 18-2025
2025-03-18,6,resolution,18-2025,Resolution 18-2025
2025-03-18,7,resolution,19-2025,Resolution 19-2025
2025-03-25,2,resolution,37-2017,Resolution 37-2017
2025-03-25,2,ordinance,2025-05,ORDINANCE 2025-05
2025-03-25,5,ordinance,2025-06,Ordinance 2025-06
2025-03-25,6,ordinance,2025-06,Ordinance 2025-06
2025-04-01,3,resolution,20-2025,Resolution 20-2025
2025-04-08,4,resolution,21-2025,Resolution 21-2025
2025-04-15,4,resolution,22-2025,Resolution 22-2025
2025-04-15,5,resolution,22-2025,Resolution 22-2025
2025-04-22,2,resolution,23-2025,Resolution 23-2025
2025-04-22,3,resolution,24-2025,Resolution 24-2025
2025-04-22,10,ordinance,2025-07,Ordinance 2025-07
2025-04-22,11,ordinance,2025-07,Ordinance 2025-07
2025-04-29,3,ordinance,2025-08,Ordinance 2025-08
2025-05-06,4,resolution,25-2025,Resolution 25-2025
2025-05-06,5,resolution,25-2025,Resolution 25-2025
2025-05-20,2,resolution,26-2025,Resolution 26-2025
2025-06-03,6,ordinance,2025-10,Ordinance 2025-10
2025-06-03,7,ordinance,2025-10,Ordinance 2025-10
2025-06-10,3,ordinance,2025-11,Ordinance 2025-11
2025-06-10,4,ordinance,2025-12,Ordinance 2025-12
2025-06-10,5,ordinance,2025-12,Ordinance 2025-12
2025-06-17,2,ordinance,2025-13,Ordinance 2025-13
2025-06-17,8,ordinance,2025-14,Ordinance 2025-14
2025-06-17,9,ordinance,2025-14,Ordinance 2025-14
2025-06-24,2,resolution,27-2025,Resolution 27-2025
2025-06-24,5,ordinance,2025-14,Ordinance 2025-14
2025-06-24,7,ordinance,2025-15,Ordinance 2025-15
2025-06-24,8,ordinance,2025-16,Ordinance 2025-16
2025-06-24,10,resolution,28-2025,Resolution 28-2025
2025-06-24,11,resolution,28-2025,Resolution 28-2025
2025-07-01,3,ordinance,2025-17,Ordinance 2025-17
2025-07-01,4,ordinance,2025-17,Ordinance 2025-17
2025-07-01,6,ordinance,2025-18,Ordinance 2025-18
2025-07-01,7,ordinance,2025-18,Ordinance 2025-18
2025-07-08,2,resolution,29-2025,Resolution 29-2025
2025-07-08,3,resolution,30-2025,Resolution 30-2025
2025-07-08,4,resolution,30-2025,Resolution 30-2025
2025-07-15,2,resolution,31-2025,Resolution 31-2025
2025-07-15,3,resolution,30-2025,Resolution 30-2025
2025-07-15,4,resolution,30-2025,RESOLUTION 30-2025
2025-07-29,4,resolution,33-2025,Resolution 33-2025
2025-07-29,5,resolution,33-2025,Resolution 33-2025
2025-08-12,4,resolution,33-2025,Resolution 33-2025
2025-08-12,5,resolution,33-2025,Resolution 33-2025
2025-08-26,5,resolution,36-2025,Resolution 36-2025
2025-08-26,6,resolution,37-2025,Resolution 37-2025
2025-08-26,7,resolution,38-2025,Resolution 38-2025
2025-09-30,5,resolution,40-2025,Resolution 40-2025
2025-09-30,6,resolution,40-2025,Resolution 40-2025
2025-10-07,6,ordinance,2025-24,Ordinance 2025-24
2025-10-07,7,ordinance,2025-24,Ordinance 2025-24
2025-10-21,2,resolution,41-2025,Resolution 41-2025
2025-10-21,4,ordinance,2025-25,Ordinance 2025-25
2025-10-21,5,ordinance,2025-26,Ordinance 2025-26
2025-10-21,6,ordinance,2025-26,Ordinance 2025-26
2025-11-04,2,resolution,42-2025,Resolution 42-2025
2025-11-04,4,resolution,43-2025,Resolution 43-2025
2025-11-04,5,resolution,44-2025,Resolution 44-2025
2025-11-04,12,resolution,45-2025,Resolution 45-2025
2025-11-18,8,ordinance,2025-27,Ordinance 2025-27
2025-11-18,9,resolution,46-2025,Resolution 46-2025
2025-11-18,10,resolution,47-2025,Resolution 47-2025
2025-11-18,11,resolution,47-2025,Resolution 47-2025
2025-12-02,2,resolution,48-2025,Resolution 48-2025
2025-12-02,3,resolution,49-2025,Resolution 49-2025
2025-12-02,4,resolution,50-2025,Resolution 50-2025
2025-12-02,5,resolution,51-2025,Resolution 51-2025
2025-12-02,6,resolution,52-2025,Resolution 52-2025
2025-12-02,7,resolution,53-2025,Resolution 53-2025
2025-12-02,8,resolution,54-2025,Resolution 54-2025
2025-12-02,9,resolution,55-2025,Resolution 55-2025
2025-12-02,10,resolution,56-2025,Resolution 56-2025
2025-12-09,2,resolution,57-2025,Resolution 57-2025
2025-12-09,3,resolution,58-2025,Resolution 58-2025
2025-12-09,4,resolution,59-2025,Resolution 59-2025
2025-12-09,5,resolution,60-2025,Resolution 60-2025
2025-12-09,10,ordinance,2025-28,Ordinance 2025-28
2025-12-16,2,resolution,61-2025,Resolution 61-2025
2025-12-16,3,resolution,62-2025,Resolution 62-2025
2025-12-16,4,resolution,62-2025,Resolution 62-2025
2025-12-16,12,resolution,63-2025,Resolution 63-2025
2025-12-16,16,resolution,64-2025,Resolution 64-2025
2025-12-16,18,ordinance,2025-30,ORDINANCE 2025-30
2025-12-16,22,resolution,65-2025,Resolution 65-2025
2026-01-06,4,resolution,01-2026,Resolution 01-2026
2026-01-06,11,resolution,02-2026,Resolution 02-2026
2026-01-06,12,resolution,02-2026,Resolution 02-2026
2026-01-13,2,resolution,03-2026,Resolution 03-2026
2026-01-20,2,resolution,04-2026,Resolution 04-2026
2026-01-20,3,resolution,05-2026,Resolution 05-2026
2026-01-20,4,ordinance,2026-01,Ordinance 2026-01
2026-01-27,2,resolution,06-2026,Resolution 06-2026
2026-01-27,3,resolution,07-2026,Resolution 07-2026
2026-02-10,2,ordinance,2026-01,Ordinance 2026-01
2026-02-17,5,resolution,08-2026,Resolution 08-2026
2026-02-24,2,ordinance,2026-02,Ordinance 2026-02
2026-02-24,3,ordinance,2026-03,Ordinance 2026-03
2026-02-24,4,ordinance,2026-04,Ordinance 2026-04
2026-02-24,5,resolution,09-2026,Resolution 09-2026
2026-02-24,5,ordinance,2026-04,Ordinance 2026-04
2026-02-24,6,resolution,09-2026,Resolution 09-2026
2026-03-03,3,resolution,10-2026,Resolution 10-2026
2026-03-03,4,resolution,10-2026,Resolution 10-2026
2026-03-10,2,resolution,11-2026,Resolution 11-2026
2026-03-17,2,ordinance,2026-05,Ordinance 2026-05
2026-03-17,3,ordinance,2026-06,Ordinance 2026-06
2026-03-17,8,ordinance,2026-07,Ordinance 2026-07
2026-03-17,9,ordinance,2026-07,Ordinance 2026-07
2026-03-24,2,resolution,12-2026,Resolution 12-2026
2026-03-24,3,resolution,13-2026,Resolution 13-2026
2026-04-07,3,resolution,14-2026,Resolution 14-2026
2026-04-07,4,resolution,15-2026,Resolution 15-2026
2026-04-14,4,resolution,16-2026,Resolution 16-2026
