ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,linkage_note,minutes_source,pmn_notice_url,pmn_file_id
24-27,2024-12-03,2024-12-03,AN ORDINANCE REZONING APPROXIMATELY 0. 91- ACRES LOCATED AT 4191 WEST 13400 SOUTH FROM R- 1 ( RESIDENTIAL 1- ACRE MIN) TO C- R ( REGIONAL COMMERCIAL). APPLICANT- JAY AND SHELLY ROBERTS,https://www.utah.gov/pmn/files/1204237.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/24-27.pdf,yes,Passed unanimously,2024-12-03,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2024/2024-12-02/2024-12-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/958383.html,1204237
25-01,2025-01-07,2025-01-07,AN ORDINANCE REZONING APPROXIMATELY 0. 88- ACRES LOCATED AT 2284 WEST 12600 SOUTH FROM RR- 22 ( RESIDENTIAL 1/ 2- ACRE MIN) TO C- G GATEWAY COMMERCIAL). APPLICANT- THOM JAKAB,https://www.utah.gov/pmn/files/1216723.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-01.pdf,yes,Passed unanimously,2025-01-07,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-01-06/2025-01-07_city-council.md,https://www.utah.gov/pmn/sitemap/notice/965581.html,1216723
25-02,2025-01-07,2025-01-07,"AN ORDINANCE AMENDING THE GENERAL PLAN TO HIGH DENSITY RESIDENTIAL AND REZONING APPROXIMATELY 1. 04- ACRES LOCATED AT 11851 SOUTH REDWOOD ROAD FROM RR- 22 ( RESIDENTIAL % ACRE) TO RM- 14- SD. APPLICANT- RD DEVELOPMENT HOLDING, LLC",https://www.utah.gov/pmn/files/1216727.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-02.pdf,yes,Passed unanimously,2025-01-07,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-01-06/2025-01-07_city-council.md,https://www.utah.gov/pmn/sitemap/notice/965583.html,1216727
25-03,2025-01-07,2025-01-07,"Pelaez Rezone, Amending the General Plan Designation ad Zoning for Approximately 0.96-acres located at 3516 West 12600 South from R-1 Residential Zone to C-G (Commercial",https://www.utah.gov/pmn/files/1229107.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2025-01-07,5,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2025/2025-01-06/2025-01-07_city-council.md,,
25-04,2025-02-04,2025-02-04,"AN ORDINANCE AMENDING SECTION 18. 63. 040, "" RIVERTON HISTORIC SITES LIST,"" AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1229121.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-04.pdf,yes,Passed unanimously,2025-02-04,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-02-03/2025-02-04_city-council.md,https://www.utah.gov/pmn/sitemap/notice/972039.html,1229121
25-05,2025-02-04,2025-02-04,"AN ORDINANCE AMENDING RIVERTON CITY CODE, SECTION 18. 90. 010, "" TABLE OF COMMERCIAL USES"" TO ALLOW FOR A "" RECEPTION CENTER"" AS A CONDITIONAL USE IN THE C- N ZONE. APPLICANT- JOSEPH WHITE",https://www.utah.gov/pmn/files/1229127.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-05.pdf,yes,Passed unanimously,2025-02-04,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-02-03/2025-02-04_city-council.md,https://www.utah.gov/pmn/sitemap/notice/972041.html,1229127
25-06,2025-03-04,2025-03-04,AN ORDINANCE AMENDING ZONING FOR APPROXIMATELY 0. 81- ACRES LOCATED AT 11968 SOUTH REDWOOD ROAD FROM C- N TO C- G ( COMMERCIAL GATEWAY) ZONE. APPLICANT- JOSEPH WHITE,https://www.utah.gov/pmn/files/1241899.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-06.pdf,yes,Passed unanimously,2025-03-04,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-03-03/2025-03-04_city-council.md,https://www.utah.gov/pmn/sitemap/notice/978527.html,1241899
25-07,2025-03-04,2025-03-04,AN ORDINANCE AMENDING SECTION 10. 05. 090 ( 2) OF RIVERTON CITY CODE REGARDING TRUCK ROUTES ON SPECIFIED RIVERTON CITY STREETS,https://www.utah.gov/pmn/files/1241897.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-07.pdf,no,Passed unanimously,2025-03-04,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-03-03/2025-03-04_city-council.md,https://www.utah.gov/pmn/sitemap/notice/978531.html,1241897
25-08,2025-04-01,2025-04-01,"AN ORDINANCE AMENDING SECTION 18.90.010 ( TABLE OF COMMERCIAL USES) CLARIFYING ALLOWED COMMERCIAL USES, AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1253673.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-08.pdf,yes,Passed unanimously,2025-04-01,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-03-31/2025-04-01_city-council.md,https://www.utah.gov/pmn/sitemap/notice/984797.html,1253673
25-09,2025-04-01,2025-04-01,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 2, CHAPTER 105 TO ADJUST COMPENSATION OF ELECTED OFFICIALS",https://www.utah.gov/pmn/files/1253675.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-09.pdf,no,,,,none,"adopted ordinance (Title 2 Ch 105, compensation of elected officials); adoption date from the signed PMN PDF (2025-04-01, a real council meeting whose other ordinance motions 25-08/10/11 are captured but none cite 25-09 -- rode the consent agenda). Unmatched.",,https://www.utah.gov/pmn/sitemap/notice/984805.html,1253675
25-10,2025-04-01,2025-04-01,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 6, CHAPTER 5 TO REVISE ADMINISTRATIVE PROVISIONS OF THE ANIMAL CONTROL ORDINANCE",https://www.utah.gov/pmn/files/1253669.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-10.pdf,no,Passed,2025-04-01,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-03-31/2025-04-01_city-council.md,https://www.utah.gov/pmn/sitemap/notice/984795.html,1253669
25-11,2025-04-01,2025-04-01,"AN ORDINANCE AMENDING RIVERTON CITY CODE TITLE 5, CHAPTER 5 TO REVISE BUSINESS LICENSE ORDINANCE",https://www.utah.gov/pmn/files/1253681.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-11.pdf,no,Passed unanimously,2025-04-01,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-03-31/2025-04-01_city-council.md,https://www.utah.gov/pmn/sitemap/notice/984815.html,1253681
25-12,2025-05-20,2025-05-20,"AN ORDINANCE AMENDING THE CITY' S COMMERCIAL ARCHITECTURAL STANDARDS IN SECTIONS 18. 65. 060, 18. 70. 060, 18. 75. 050, 18. 80. 060, 18. 85. 060, 18. 95. 040, 18. 100. 060, AND 18. 215. 030 OF THE RIVERTON CITY CODE AS SHOWN IN EXHIBIT "" A"", AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1275641.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-12.pdf,yes,Passed unanimously,2025-05-20,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-05-19/2025-05-20_city-council.md,https://www.utah.gov/pmn/sitemap/notice/997011.html,1275641
25-13,2025-04-15,2025-04-15,AN ORDINANCE AMENDING SECTIONS 18. 50. 050 AND 18. 55. 050 OF THE RIVERTON CITY CODE RELATING MINIMUM PARCEL SIZE FOR MULTI -FAMILY DEVELOPMENTS. AMENDMENTS PROPOSED BY RIVERTON CITY,https://www.utah.gov/pmn/files/1260085.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-13.pdf,yes,Passed unanimously,2025-04-15,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-04-14/2025-04-15_city-council.md,https://www.utah.gov/pmn/sitemap/notice/988397.html,1260085
25-14,2025-05-06,2025-05-06,"AN ORDINANCE AMENDING SECTION 18. 135. 200 ( TEMPORARY COMMERCIAL USES) ADRESSING TEMPORARY COMMERCIAL USES ON RESIDENTIAL PROPERTY, AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1267955.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-14.pdf,yes,Passed,2025-05-06,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-05-05/2025-05-06_city-council.md,https://www.utah.gov/pmn/sitemap/notice/992987.html,1267955
25-15,2025-05-20,2025-05-20,"AN ORDINANCE APPROVING AND ADOPTING THE"" DAI UTAH DEVELOPMENT AGREEMENT"", AMENDING ZONING FROM R- 3 TO C- R, USES LIMITED TO STORAGE UNITS, AND PRELIMINARY SITE PLAN APPROVAL FOR APPROX. 5. 63 ACRES LOCATED AT 12270 S 4000 W., APPLICANT- KRISEL TRAVIS& JOE SALISBURY REPRESENTING DAI UTAH",https://www.utah.gov/pmn/files/1275873.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-15.pdf,yes,Passed unanimously,2025-05-20,6,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-05-19/2025-05-20_city-council.md,https://www.utah.gov/pmn/sitemap/notice/997131.html,1275873
25-16,2025-06-03,2025-06-03,AN ORDINANCE OF RIVERTON CITY ADOPTING A COMPENSATION SCHEDULE FOR ELECTIVE AND STATUTORY OFFICERS AND ALL OTHER MUNICIPAL OFFICERS,https://www.utah.gov/pmn/files/1280805.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-16.pdf,no,Passed unanimously,2025-06-03,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-06-02/2025-06-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1000003.html,1280805
25-17,2025-06-03,2025-06-03,AN ORDINANCE OF RIVERTON CITY ADOPTING A COMPENSATION SCHEDULE FOR EXECUTIVE OFFICERS AND CITY ATTORNEY,https://www.utah.gov/pmn/files/1280795.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-17.pdf,no,Passed unanimously,2025-06-03,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-06-02/2025-06-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/999993.html,1280795
25-18,2025-06-03,2025-06-03,"AN ORDINANCE AMENDING THE GENERAL PLAN TO HIGH DENSITY RESIDENTIAL AND REZONING APPROXIMATELY 4. 28- ACRES LOCATED AT 11800 SOUTH REDWOOD ROAD FROM RR- 22, R-3, AND C- G TO RM- 8- SD. APPLICANT- SCOTT YERMISH WITH PRIORITY BUILDERS, APPLICANT",https://www.utah.gov/pmn/files/1280789.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-18.pdf,yes,Passed unanimously,2025-06-03,2,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-06-02/2025-06-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/999987.html,1280789
25-19,2025-06-03,2025-06-03,AN ORDINANCE GRANTING AN ELECTRIC UTILITY FRANCHISE AND GENERAL UTILITY EASEMENT TO ROCKY MOUNTAIN POWER,https://www.utah.gov/pmn/files/1280773.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-19.pdf,no,,,,none,adopted ordinance (electric utility franchise + easement to Rocky Mountain Power); adoption date 2025-06-03 from the signed PMN PDF (a council meeting whose captured motions 25-16/17/18 don't include the franchise -- consent-agenda vehicle). Unmatched.,,https://www.utah.gov/pmn/sitemap/notice/999977.html,1280773
25-20,2025-07-15,2025-07-15,AN ORDINANCE AMENDING THE GENERAL PLAN TO LOW DENSITY RESIDENTIAL AND REZONING APPROXIMATELY 2. 32- ACRES TO THE R-3 ZONE FOR PROPERTY LOCATED NEAR 3100 WEST 13400 SOUTH. APPLICANT- ALAN PRINCE OF MP& G LLC,https://www.utah.gov/pmn/files/1299097.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-20.pdf,yes,Passed unanimously,2025-07-15,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-07-14/2025-07-15_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1010229.html,1299097
25-21,2025-09-16,2025-09-16,"AN ORDINANCE AMENDING RIVERTON CITY' S RM- 6 ZONE OF THE RIVERTON CITY CODE SECTION 18.45 AS SHOWN IN EXHIBIT "" A"", AMENDMENTS PROPOSED BY",https://www.utah.gov/pmn/files/1324507.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-21.pdf,yes,Passed unanimously,2025-09-16,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-09-15/2025-09-16_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1023771.html,1324507
25-22,2025-09-16,2025-09-16,"amending the Riverton City Sections 18(65,70,75,80,85,95,100 & 215) for Commercial Dumpster Enclosures",https://www.utah.gov/pmn/files/1333733.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed unanimously,2025-09-16,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2025/2025-09-15/2025-09-16_city-council.md,,
25-23,2025-10-21,2025-10-21,"AN ORDINANCE AMENDING SECTIONS 18. 90. 010 "" TABLE OF COMMERCIAL USES"" & 18.70. 030 "" CONDITIONAL USES"" TO ALLOW "" AUTO DEALERSHIP (NEW OR USED) AS A CONDITIONAL USE IN THE COMMERCIAL GATEWAY ZONE. AMENDMENTS PROPOSED BY RIVERTON CITY",https://www.utah.gov/pmn/files/1340147.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-23.pdf,yes,Passed unanimously,2025-10-21,2,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-10-20/2025-10-21_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1032371.html,1340147
25-24,2025-10-21,2025-10-21,Site Plan Development Standards Amendments – Amendments and clarifications to Section 18.215.030 “Site Plan Development Standards.,https://www.utah.gov/pmn/files/1353857.pdf,2026-07-13,na,reconstructed from meeting_minutes motion text (no independent adoption PDF),,yes,Passed,2025-10-21,4,within_source,motion-derived only (minutes are the sole witness) -- NOT independently corroborated,minutes/2025/2025-10-20/2025-10-21_city-council.md,,
25-25,2025-10-21,2025-10-21,"AN ORDINANCE REZONING APPROXIMATELY 1. 16- ACRES LOCATED AT APPROXIMATELY 2630 W. 12600 S. CHANGING THE ZONING FROM C- N TO C- G. APPLICANTS- MARCO HERMOSILLO AND RICHARD ORTIZ WITH BENEFACTOR TWO, LLC",https://www.utah.gov/pmn/files/1340171.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/25-25.pdf,yes,Passed unanimously,2025-10-21,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2025/2025-10-20/2025-10-21_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1032373.html,1340171
26-01,2026-01-20,2026-01-20,"the “Utah Collective Rezone,” adding the following Specific Development Designations to the current RR-22 zone on property located at 2673 West 11800 South: 1. Animal she",https://www.utah.gov/pmn/files/1380291.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-01.pdf,yes,,2026-01-20,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-01-19/2026-01-20_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1053915.html,1380291
26-02,2026-02-03,2026-02-03,AN ORDINANCE AMENDING RIVERTON CITY CODE SECTION TITLE 2. 95. 030 PLANNING COMMISSION OFFICERS,https://www.utah.gov/pmn/files/1386867.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-02.pdf,no,Passed unanimously,2026-02-03,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-02-02/2026-02-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1057229.html,1386867
26-03,2026-04-07,2026-04-07,AN ORDINANCE GENERAL PLAN AMENDMENT AND REZONE OF A PORTION OF THE APPROXIMATELY 0. 97- ACRE LOCATED AT 1980 WEST 13400 SOUTH. CHANGING THE GENERAL PLAN DESIGNATION TO MEDIUM DENSITY RESIDENTIAL AND THE ZONING TO R-45 A SINGLE-FAMILY RESIDENTIAL ZONE WITH UP TO 4 DWELLING UNITS PER ACRE. APPLICANT- DALLIS QUINN,https://www.utah.gov/pmn/files/1417517.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-03.pdf,yes,Passed unanimously,2026-04-07,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-04-06/2026-04-07_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1072579.html,1417517
26-04,2026-03-03,2026-03-03,"AN ORDINANCE AMENDMENT TO THE GENERAL PLAN FOR AND REZONE OF APPROXIMATELY 0. 71- ACRES LOCATED AT 1758 AND 1742 WEST 11800 SOUTH. CHANGING THE GENERAL PLAN DESIGNATION TO HIGH DENSITY RESIDENTIAL AND THE ZONING TO RM-8- SD, A MULTI -FAMILY RESIDENTIAL ZONE UP TO 8 DWELLING UNITS PER ACRE. APPLICANT- SCOTT YERMISH OF PRIORITY BUILDERS",https://www.utah.gov/pmn/files/1400309.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-04.pdf,yes,Passed unanimously,2026-03-03,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-03-02/2026-03-03_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1063897.html,1400309
26-05,2026-04-07,2026-04-07,"AN ORDINANCE GENERAL PLAN AMENDMENT AND REZONE OF APPROXIMATELY 1. 45 ACRES LOCATED AT THE NE CORNER OF 13200 S & REDWOOD ROAD AMENDING THE GENERAL PLAN TO MEDIUM -HIGH DENSITY RESIDENTIAL AND REZONING FROM RR-22 TO RM- 6, TAYLOR MOORE, TMOORE REAL ESTATE- APPLICANT",https://www.utah.gov/pmn/files/1417519.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-05.pdf,yes,Passed unanimously,2026-04-07,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-04-06/2026-04-07_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1072581.html,1417519
26-07,2026-04-21,2026-04-21,,https://www.utah.gov/pmn/files/1422679.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-07.pdf,no,,,,none,"adopted ordinance (gas franchise to Questar/Enbridge); the PMN notice quotes the adopting motion 'ADOPT Ordinance No. 26-07' on 2026-04-21, but all_votes captures only that day's procedural motions (consent agenda) -- no number-bearing roll. Unmatched.",,https://www.utah.gov/pmn/sitemap/notice/1075141.html,1422679
26-08,2026-05-05,2026-05-05,AN ORDINANCE CORRECTING THE PREVIOUSLY ADOPTED WATER CONSERVATION AND EFFICIENCY STANDARD TO BE INCLUDED AS AN ELEMENT OF THE GENERAL PLAN. PROPOSED BY RIVERTON CITY,https://www.utah.gov/pmn/files/1429665.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-08.pdf,yes,Passed unanimously,2026-05-05,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-05-04/2026-05-05_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1078785.html,1429665
26-10,2026-06-02,2026-06-02,"AN ORDINANCE REZONING 1. 47 ACRES LOCATED AT APPROXIMATELY 1393 WEST 12600 SOUTH FROM RR-22 TO C- G/ PO- OV (COMMERCIAL GATEWAY WITH PEDESTRIAN ORIENTED OVERLAY), SCOTT YERMISH, NEWMAN CONSTRUCTION- APPLICANT",https://www.utah.gov/pmn/files/1443293.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-10.pdf,yes,Passed unanimously,2026-06-02,3,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-06-01/2026-06-02_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1086003.html,1443293
26-11,2026-06-02,2026-06-02,"AN ORDINANCE REZONING . 49 ACRES LOCATED AT APPROXIMATELY NORTHWEST CORNER OF TRESTLE LANE AND 13400 SOUTH FROM RR-22 R-4 AND AMENDING THE GENERAL PLAN DESIGNATION TO MEDIUM DENSITY RESIDEDNTIAL, DAVID KING - APPLICANT",https://www.utah.gov/pmn/files/1443283.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-11.pdf,yes,Passed unanimously,2026-06-02,4,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-06-01/2026-06-02_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1086001.html,1443283
26-12,2026-06-02,2026-06-02,"AN ORDINANCE AMENDING SECTION 9. 20. 010( 1), ADOPTING STANDARDS FOR THE DISCHARGE OF A FIREARM AS PART OF THE FIREARM MANUFACTURING PROCESS, AMENDMENTS PROPOSED BY ZEV TECHNOLOGIES",https://www.utah.gov/pmn/files/1443295.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-12.pdf,no,Passed unanimously,2026-06-02,5,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-06-01/2026-06-02_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1086005.html,1443295
26-13,2026-06-02,2026-06-02,"AN ORDINANCE AMENDING SECTIONS 18. 90, 18. 05. 030, AND 18. 195. 060, ADOPTING STANDARDS FOR "" AMBULANCE SERVICE/ EMERGENCY MEDICAL SERVICES FACILITY"" IN THE C- G ZONE. PROPOSED BY GOLD CROSS AMBULANCE",https://www.utah.gov/pmn/files/1443297.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-13.pdf,yes,Passed unanimously,2026-06-02,6,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-06-01/2026-06-02_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1086007.html,1443297
26-14,2026-06-02,2026-06-02,AN ORDINANCE OF RIVERTON CITY ADOPTING A COMPENSATION SCHEDULE FOR ELECTIVE AND STATUTORY OFFICERS AND ALL OTHER MUNICIPAL OFFICERS,https://www.utah.gov/pmn/files/1443277.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-14.pdf,no,Passed unanimously,2026-06-02,7,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-06-01/2026-06-02_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1085995.html,1443277
26-15,2026-06-02,2026-06-02,AN ORDINANCE OF RIVERTON CITY ADOPTING A COMPENSATION SCHEDULE FOR EXECUTIVE OFFICERS AND CITY ATTORNEY,https://www.utah.gov/pmn/files/1443279.pdf,2026-07-13,text,pdftotext -layout (born-digital PMN Notice-of-Adoption signed ordinance PDF),raw/26-15.pdf,no,Passed unanimously,2026-06-02,8,high,motion cites the number + independent PMN adoption PDF corroborates date/subject,minutes/2026/2026-06-01/2026-06-02_city-council.md,https://www.utah.gov/pmn/sitemap/notice/1085999.html,1443279
