ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,pmn_notice_id,pmn_notice_url,pmn_event_date,adoption_date_source,linkage_note
O25-11,2025-03-18,2025-03-18,O25-11 AN ORDINANCE AMENDING SECTION 17.156.020 (C-N COMMERCIAL NEIGHBORHOOD DISTRICT) OF THE MURRAY CITY MUNICIPAL CODE TO ALLOW LAND USE NO. 7410 SPORT ACTIVITIES AS A PERMITTED USE.,https://www.utah.gov/pmn/files/1252149.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-11_n983937_f1252149.pdf,yes,Motion passed: 4-0,2025-03-18,5,medium,983937,https://www.utah.gov/pmn/sitemap/notice/983937.html,2025-03-18,pdf+calendar,
O25-12,2025-04-01,2025-04-01,"O25-12 Land Use to Residential Business and R-1-8 to R-N-B, 1300 E 6500 S",https://www.utah.gov/pmn/files/1255909.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-12_n986233_f1255909.pdf,yes,Motion passed: 5-0,2025-04-01,5,medium,986233,https://www.utah.gov/pmn/sitemap/notice/986233.html,2025-04-01,pdf+calendar,
O25-13,2025-04-01,2025-04-01,O25-13 Amending 13.40.050(D) Changing Fees in the Murray Cemetery,https://www.utah.gov/pmn/files/1255917.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-13_n986237_f1255917.pdf,no,Motion passed: 5-0,2025-04-01,7,medium,986237,https://www.utah.gov/pmn/sitemap/notice/986237.html,2025-04-01,pdf+calendar,
O25-14,2025-04-15,2025-04-15,"O25-14 AN ORDINANCE AMENDING SECTION 2.24.050, THE HEADING OF CHAPTER 2.38, AND SECTIONS 2.38.010, 2.38.020, AND 2.40.020 OF THE MURRAY CITY MUNICIPAL CODE, CHANGING ALL REFERENCES FROM THE HERITAGE CENTER  TO THE SENIOR RECREATION CENTER.",https://www.utah.gov/pmn/files/1262233.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-14_n989591_f1262233.pdf,no,Motion passed: 5-0,2025-04-15,5,medium,989591,https://www.utah.gov/pmn/sitemap/notice/989591.html,2025-04-15,pdf+calendar,
O25-15,2025-05-06,2025-05-06,"O25-15 AN ORDINANCE RELATING TO LAND USE; AMENDS THE GENERAL PLAN FROM OFFICE TO GENERAL COMMERCIAL AND THE ZONING MAP FROM G-O (GENERAL OFFICE) TO C-D (COMMERCIAL DEVELOPMENT) FOR THE PROPERTY LOCATED AT 20 EAST WINCHESTER STREET, MURRAY CITY",https://www.utah.gov/pmn/files/1270465.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-15_n994337_f1270465.pdf,yes,Motion passed: 5-0,2025-05-06,2,medium,994337,https://www.utah.gov/pmn/sitemap/notice/994337.html,2025-05-06,pdf+calendar,
O25-16,2025-05-06,2025-05-06,O25-16 AN ORDINANCE AMENDING THE CITYS FISCAL YEAR 2024-2025 BUDGET,https://www.utah.gov/pmn/files/1270467.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-16_n994339_f1270467.pdf,no,Motion passed: 5-0,2025-05-06,3,medium,994339,https://www.utah.gov/pmn/sitemap/notice/994339.html,2025-05-06,pdf+calendar,
O25-17,2025-06-03,2025-06-03,O25-17 An Ordinance Adopting the Transfer of Monies from Enterprise Funds to Other City Funds (PDF),https://www.utah.gov/pmn/files/1285531.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-17_n1002825_f1285531.pdf,no,Motion passed: 5-0,2025-06-03,5,medium,1002825,https://www.utah.gov/pmn/sitemap/notice/1002825.html,2025-06-03,pdf+calendar,
O25-18,2025-06-03,2025-06-03,O25-18 Ordinance Approving and Adopting Compensation Increases for the Executive Municipal Officers of the City for Fiscal Year 2025-2026 (PDF),https://www.utah.gov/pmn/files/1285533.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-18_n1002827_f1285533.pdf,no,Motion passed: 5-0,2025-06-03,4,medium,1002827,https://www.utah.gov/pmn/sitemap/notice/1002827.html,2025-06-03,pdf+calendar,
O25-19,2025-06-03,2025-06-03,O25-19 An Ordinance Amending Section 2.66.020 of the Murray City Municipal Code Relating to Elections,https://www.utah.gov/pmn/files/1285535.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-19_n1002829_f1285535.pdf,no,,2025-06-03,,low,1002829,https://www.utah.gov/pmn/sitemap/notice/1002829.html,2025-06-03,pdf+calendar,
O25-20,2025-06-17,2025-06-17,"O25-20 AN ORDINANCE REPEALING CHAPTER 17.170 (MURRAY CITY CENTER DISTRICT MCCD) OF THE MURRAY CITY MUNICIPAL CODE, ADOPTING AND ENACTING CHAPTER 17.171 (MURRAY CITY CENTER FORM BASED CODE CC-FBC) TO ESTABLISH THE MURRAY CITY CENTER FORM BASED CODE",https://www.utah.gov/pmn/files/1291691.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-20_n1005971_f1291691.pdf,yes,Motion failed: 3-2,2025-06-17,2,medium,1005971,https://www.utah.gov/pmn/sitemap/notice/1005971.html,2025-06-17,pdf+calendar,
O25-20,2025-06-17,2025-06-17,"O25-20 AN ORDINANCE REPEALING CHAPTER 17.170 (MURRAY CITY CENTER DISTRICT MCCD) OF THE MURRAY CITY MUNICIPAL CODE, ADOPTING AND ENACTING CHAPTER 17.171 (MURRAY CITY CENTER FORM BASED CODE CC-FBC) TO ESTABLISH THE MURRAY CITY CENTER FORM BASED CODE",https://www.utah.gov/pmn/files/1299775.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-20_n1005971_f1299775.pdf,yes,Motion failed: 3-2,2025-06-17,2,medium,1005971,https://www.utah.gov/pmn/sitemap/notice/1005971.html,2025-06-17,pdf+calendar,
O25-21,2025-06-17,2025-06-17,O25-21 AN ORDINANCE RELATING TO LAND USE; AMENDS THE ZONING MAP FROM THE MCCD (MURRAY CITY CENTER DISTRICT) ZONE TO THE CC-FBC (CITY CENTER FORM BASED CODE) ZONE,https://www.utah.gov/pmn/files/1291699.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-21_n1005979_f1291699.pdf,yes,,2025-06-17,,low,1005979,https://www.utah.gov/pmn/sitemap/notice/1005979.html,2025-06-17,pdf+calendar,
O25-22,2025-06-17,2025-06-17,O25-22 AN ORDINANCE AMENDING THE CITY'S FISCAL YEAR 2024-2025 BUDGET,https://www.utah.gov/pmn/files/1291705.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-22_n1005985_f1291705.pdf,no,Motion passed: 5-0,2025-06-17,7,medium,1005985,https://www.utah.gov/pmn/sitemap/notice/1005985.html,2025-06-17,pdf+calendar,
O25-23,2025-06-17,2025-06-17,"O25-23 AN ORDINANCE ADOPTING THE RATE OF TAX LEVIES FOR THE FISCAL YEAR COMMENCING JULY 1, 2025 AND ENDING JUNE 30, 2026.",https://www.utah.gov/pmn/files/1291709.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-23_n1005987_f1291709.pdf,no,Motion passed: 5-0,2025-06-17,8,medium,1005987,https://www.utah.gov/pmn/sitemap/notice/1005987.html,2025-06-17,pdf+calendar,
O25-24,2025-06-17,2025-06-17,O25-24 AN ORDINANCE ADOPTING THE FINAL 2025-2026 FISCAL YEAR BUDGETS FOR MURRAY CITY INCLUDING THE LIBRARY FUND BUDGET,https://www.utah.gov/pmn/files/1291711.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-24_n1005991_f1291711.pdf,no,,2025-06-17,,low,1005991,https://www.utah.gov/pmn/sitemap/notice/1005991.html,2025-06-17,pdf+calendar,
O25-25,2025-07-01,2025-07-01,O25-25 Amending Ch 2.68 MCCD Review Committee to Form Based Code Architectural Review Committee,https://www.utah.gov/pmn/files/1294737.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-25_n1007791_f1294737.pdf,no,Motion passed: 4-0,2025-07-01,1,medium,1007791,https://www.utah.gov/pmn/sitemap/notice/1007791.html,2025-07-01,pdf+calendar,
O25-26,2025-08-05,2025-08-05,O25-26 Adopting the Transfer of Monies from Enterprise Funds to other City Funds,https://www.utah.gov/pmn/files/1308275.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-26_n1015287_f1308275.pdf,no,Motion passed: 5-0,2025-08-05,1,medium,1015287,https://www.utah.gov/pmn/sitemap/notice/1015287.html,2025-08-05,pdf+calendar,
O25-29,2025-08-26,2025-08-26,"O25-29 AN ORDINANCE AMENDING SECTIONS 17.08.020, 17.68.030, 17.68.040, AND 17.68.060 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO LANDSCAPING REQUIREMENTS.",https://www.utah.gov/pmn/files/1318399.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-29_n1020349_f1318399.pdf,yes,Motion passed: 5-0,2025-08-26,3,medium,1020349,https://www.utah.gov/pmn/sitemap/notice/1020349.html,2025-08-26,pdf+calendar,
O25-30,2025-08-26,2025-08-26,"O25-30 AN ORDINANCE AMENDING SECTIONS 17.92.080, 17.96.100, 17.100.100, 17.104.100, 17.108.100, 17.112.100, 17.116.070, 17.120.070, 17.124.070, AND 17.128.070 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO EXEMPTIONS INTO SETBACK AREAS FOR ALL RESIDENTIAL",https://www.utah.gov/pmn/files/1318403.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-30_n1020351_f1318403.pdf,yes,Motion passed: 5-0,2025-08-26,4,medium,1020351,https://www.utah.gov/pmn/sitemap/notice/1020351.html,2025-08-26,pdf+calendar,
O25-27,2025-09-02,2025-09-02,O25-27 AN ORDINANCE AMENDING SECTION 15.20.150(E) AND SECTION 15.22.050 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO TRANSFORMER FEES FOR UPGRADED SERVICE AND PROJECT IMPROVEMENT ALLOWANCES PROVIDED BY THE CITY,https://www.utah.gov/pmn/files/1319789.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-27_n1021195_f1319789.pdf,no,Motion passed: 4-0,2025-09-02,2,medium,1021195,https://www.utah.gov/pmn/sitemap/notice/1021195.html,2025-09-02,pdf+calendar,
O25-28,2025-09-16,2025-09-16,"O25-28 AN ORDINANCE PERMANENTLY CLOSING AN ALLEYWAY LOCATED AT APPROXIMATELY 4822 SOUTH BETWEEN STATE STREET AND THE FORMALLY VACATED POPLAR STREET, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH",https://www.utah.gov/pmn/files/1327497.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-28_n1025187_f1327497.pdf,yes,Motion passed: 5-0,2025-09-16,3,medium,1025187,https://www.utah.gov/pmn/sitemap/notice/1025187.html,2025-09-16,pdf+calendar,
O25-28,2025-09-16,2025-09-16,"O25-28 AN ORDINANCE PERMANENTLY CLOSING AN ALLEYWAY LOCATED AT APPROXIMATELY 4822 SOUTH BETWEEN STATE STREET AND THE FORMALLY VACATED POPLAR STREET, MURRAY CITY, SALT LAKE COUNTY, STATE OF UTAH",https://www.utah.gov/pmn/files/1381071.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-28_n1025187_f1381071.pdf,yes,Motion passed: 5-0,2025-09-16,3,medium,1025187,https://www.utah.gov/pmn/sitemap/notice/1025187.html,2025-09-16,pdf+calendar,
O25-31,2025-09-16,2025-09-16,"O25-31 AN ORDINANCE AMENDING SECTIONS 17.24.050, 17.96.020, 17.100.020, 17.104.020, 17.108.020, 17.112.020, 17.116.020, 17.120.020, 17.124.020, AND 17.128.020 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO THE MAXIMUM NUMBER OF CHILDRED PERMITTED AT...",https://www.utah.gov/pmn/files/1327501.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-31_n1025189_f1327501.pdf,yes,Motion passed: 3-2,2025-09-16,4,medium,1025189,https://www.utah.gov/pmn/sitemap/notice/1025189.html,2025-09-16,pdf+calendar,
O25-32,2025-09-16,2025-09-16,O25-32 AN ORDINANCE AMENDING THE CITYS FISCAL YEAR 2025-2026 BUDGET,https://www.utah.gov/pmn/files/1327505.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-32_n1025191_f1327505.pdf,no,Motion passed: 5-0,2025-09-16,5,medium,1025191,https://www.utah.gov/pmn/sitemap/notice/1025191.html,2025-09-16,pdf+calendar,
O25-33,2025-11-25,2025-11-25,O25-33 Amends Zoning Map at 6446 South 900 East,https://www.utah.gov/pmn/files/1363037.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-33_n1044353_f1363037.pdf,yes,Motion passed: 5-0,2025-11-25,2,medium,1044353,https://www.utah.gov/pmn/sitemap/notice/1044353.html,2025-11-25,pdf+calendar,
O25-34,2025-11-25,2025-11-25,O25-34 Amends General Plan to Adopt and Add Murray City Water Use and Preservation Element,https://www.utah.gov/pmn/files/1363039.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-34_n1044355_f1363039.pdf,yes,Motion passed: 5-0,2025-11-25,3,medium,1044355,https://www.utah.gov/pmn/sitemap/notice/1044355.html,2025-11-25,pdf+calendar,
O25-35,2025-11-25,2025-11-25,"O25-35 Amending 3.52.060, 3.54.060, 3.56.070 RE No Fault Utility and Golf Ball Claims",https://www.utah.gov/pmn/files/1363041.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-35_n1044359_f1363041.pdf,no,Motion passed: 5-0,2025-11-25,7,medium,1044359,https://www.utah.gov/pmn/sitemap/notice/1044359.html,2025-11-25,pdf+calendar,
O25-36,2025-12-09,2025-12-09,O25-36 Fashion Place West Station Area Plan as an Element of the General Plan,https://www.utah.gov/pmn/files/1365715.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-36_n1045441_f1365715.pdf,yes,Motion passed: 4-0,2025-12-09,2,medium,1045441,https://www.utah.gov/pmn/sitemap/notice/1045441.html,2025-12-09,pdf+calendar,
O25-37,2025-12-09,2025-12-09,O25-37 Enacting 12.28.070 RE Collecting Fees for Outstanding Balances,https://www.utah.gov/pmn/files/1365721.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-37_n1045449_f1365721.pdf,no,Motion passed: 4-0,2025-12-09,3,medium,1045449,https://www.utah.gov/pmn/sitemap/notice/1045449.html,2025-12-09,pdf+calendar,
O25-38,2025-12-09,2025-12-09,O25-38 Enacting 2.11.030 regarding Code Enforcement,https://www.utah.gov/pmn/files/1365753.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-38_n1045457_f1365753.pdf,yes,Motion passed: 4-0,2025-12-09,5,medium,1045457,https://www.utah.gov/pmn/sitemap/notice/1045457.html,2025-12-09,pdf+calendar,
O25-39,2025-12-09,2025-12-09,O25-39 Enacting Title 11 Est Administrative Code Enforcement Program,https://www.utah.gov/pmn/files/1365755.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O25-39_n1045459_f1365755.pdf,no,Motion passed: 4-0,2025-12-09,6,medium,1045459,https://www.utah.gov/pmn/sitemap/notice/1045459.html,2025-12-09,pdf+calendar,
O26-01,2026-01-06,2026-01-06,O26-01 Section 17.76.165 RE Residential Ponds,https://www.utah.gov/pmn/files/1375389.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-01_n1051377_f1375389.pdf,yes,Motion passed: 3-2,2026-01-06,2,medium,1051377,https://www.utah.gov/pmn/sitemap/notice/1051377.html,2026-01-06,pdf+calendar,
O26-02,2026-01-20,2026-01-20,O26-02 An Ordinance Amending the City's Fiscal Year 2025-2026 Budget,https://www.utah.gov/pmn/files/1383377.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-02_n1055271_f1383377.pdf,no,Motion passed: 5-0,2026-01-20,2,medium,1055271,https://www.utah.gov/pmn/sitemap/notice/1055271.html,2026-01-20,pdf+calendar,
O26-03,2026-03-03,2026-03-03,O26-03 Vacating Utility Easement at 4998 S Galleria Dr and 4950 S Galleria Dr,https://www.utah.gov/pmn/files/1402627.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-03_n1065079_f1402627.pdf,yes,Motion Passed: 5-0,2026-03-03,5,medium,1065079,https://www.utah.gov/pmn/sitemap/notice/1065079.html,2026-03-03,pdf+calendar,
O26-04,2026-04-07,2026-04-07,O26-04 Vacating Two Utility Easements at 4816 South State Street and 4837 S Poplar Street,https://www.utah.gov/pmn/files/1419687.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-04_n1073603_f1419687.pdf,yes,Motion Passed: 5-0,2026-04-07,4,medium,1073603,https://www.utah.gov/pmn/sitemap/notice/1073603.html,2026-04-07,pdf+calendar,
O26-04,2026-04-07,2026-04-07,O26-04 Vacating Two Utility Easements at 4816 South State Street and 4837 S Poplar Street,https://www.utah.gov/pmn/files/1438205.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-04_n1073603_f1438205.pdf,yes,Motion Passed: 5-0,2026-04-07,4,medium,1073603,https://www.utah.gov/pmn/sitemap/notice/1073603.html,2026-04-07,pdf+calendar,
O26-05,2026-04-21,2026-04-21,O26-05 An Ordinance Amending Section 17.48.140 and 17.48.170 of the Murray City Municipal Code Relating to Awning and Canopy Signs,https://www.utah.gov/pmn/files/1427929.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-05_n1078081_f1427929.pdf,yes,Motion Passed: 4-0,2026-04-21,6,medium,1078081,https://www.utah.gov/pmn/sitemap/notice/1078081.html,2026-04-21,pdf+calendar,
O26-06,2026-04-21,2026-04-21,O26-06 Dissolving Cherry Street Neighborhood Development Project Area,https://www.utah.gov/pmn/files/1427935.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-06_n1078085_f1427935.pdf,no,Motion Passed: 4-0,2026-04-21,10,medium,1078085,https://www.utah.gov/pmn/sitemap/notice/1078085.html,2026-04-21,pdf+calendar,
O26-06,2026-04-21,2026-04-21,O26-06 Dissolving Cherry Street Neighborhood Development Project Area,https://www.utah.gov/pmn/files/1431303.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-06_n1078085_f1431303.pdf,no,Motion Passed: 4-0,2026-04-21,10,medium,1078085,https://www.utah.gov/pmn/sitemap/notice/1078085.html,2026-04-21,pdf+calendar,
O26-06,2026-04-21,2026-04-21,O26-06 Dissolving Cherry Street Neighborhood Development Project Area,https://www.utah.gov/pmn/files/1445207.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-06_n1078085_f1445207.pdf,no,Motion Passed: 4-0,2026-04-21,10,medium,1078085,https://www.utah.gov/pmn/sitemap/notice/1078085.html,2026-04-21,pdf+calendar,
O26-07,2026-04-21,2026-04-21,O26-07 Establishing a Temporary Land Use Regulation Pursuant to Utah Code Ann. Section 10-20-504 Relating to Multi-Family Development within the City,https://www.utah.gov/pmn/files/1427941.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-07_n1078087_f1427941.pdf,yes,Motion Passed: 4-0,2026-04-21,11,medium,1078087,https://www.utah.gov/pmn/sitemap/notice/1078087.html,2026-04-21,pdf+calendar,
O26-08,2026-05-05,2026-05-05,O26-08 Amending 2.51.010 RE Appointment of Rep to Governing Board of Interlocal Entities and ULCT Legislative Policy Committee,https://www.utah.gov/pmn/files/1431299.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-08_n1079697_f1431299.pdf,no,Motion Passed: 3-0,2026-05-05,5,medium,1079697,https://www.utah.gov/pmn/sitemap/notice/1079697.html,2026-05-05,pdf+calendar,
O26-09,2026-05-19,2026-05-19,"O26-09 AN ORDINANCE AMENDING THE STANDARD LAND USE CODE (ORIGINALLY ADOPTED BY MURRAY CITY ON APRIL 7, 1987) TO CREATE AND ADD LAND USE CLASSIFICATION NUMBER 8230 FOR VETERINARY DENTISTRY",https://www.utah.gov/pmn/files/1444151.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-09_n1086449_f1444151.pdf,yes,Motion passed: 4-0,2026-05-19,4,medium,1086449,https://www.utah.gov/pmn/sitemap/notice/1086449.html,2026-05-19,pdf+calendar,
O26-10,2026-05-19,2026-05-19,O26-10 AN ORDINANCE AMENDING SECTION 12.24.175(B) AND ENACTING SECTION 12.24.185 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO MURRAY ARMORY RENTAL FEES,https://www.utah.gov/pmn/files/1444155.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-10_n1086453_f1444155.pdf,yes,Motion passed: 4-0,2026-05-19,5,medium,1086453,https://www.utah.gov/pmn/sitemap/notice/1086453.html,2026-05-19,pdf+calendar,
O26-11,2026-05-19,2026-05-19,O26-11 AN ORDINANCE AMENDING SECTION 12.24.175(B) AND ENACTING SECTION 12.24.185 OF THE MURRAY CITY MUNICIPAL CODE RELATED TO MURRAY ARMORY RENTAL FEES,https://www.utah.gov/pmn/files/1444161.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-11_n1086455_f1444161.pdf,no,Motion passed: 4-0,2026-05-19,6,medium,1086455,https://www.utah.gov/pmn/sitemap/notice/1086455.html,2026-05-19,pdf+calendar,
O26-12,2026-05-19,2026-05-19,"O26-12 AN ORDINANCE RENUMBERING SECTIONS OF CHAPTER 2.32, AND AMENDING SECTIONS 2.32.020, 2.32.040, 2.32.050, AND 2.32.070 AND ENACTING SECTION 2.32.060 OF THE MURRAY CITY MUNICIPAL CODE 	RELATING TO THE PUBLIC WORKS DEPARTMENT",https://www.utah.gov/pmn/files/1444165.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-12_n1086459_f1444165.pdf,no,Motion passed: 4-0,2026-05-19,7,medium,1086459,https://www.utah.gov/pmn/sitemap/notice/1086459.html,2026-05-19,pdf+calendar,
O26-13,2026-05-19,2026-05-19,"O26-13 AN ORDINANCE AMENDING SECTIONS 2.06.010, 2.06.020, AND 2.06.030 OF THE MURRAY CITY MUNICIPAL CODE RELATING TO CITY OFFICERS GENERALLY",https://www.utah.gov/pmn/files/1444167.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-13_n1086461_f1444167.pdf,no,Motion passed: 4-0,2026-05-19,8,medium,1086461,https://www.utah.gov/pmn/sitemap/notice/1086461.html,2026-05-19,pdf+calendar,
O26-14,2026-06-02,2026-06-02,O26-14 Amending 16.04.020 and 16.04.040 RE the Boundary Line Adjustment and Subdivision Application Reviews,https://www.utah.gov/pmn/files/1448511.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-14_n1088825_f1448511.pdf,yes,Motion passed: 5-0,2026-06-02,2,medium,1088825,https://www.utah.gov/pmn/sitemap/notice/1088825.html,2026-06-02,pdf+calendar,
O26-15,2026-06-02,2026-06-02,O26-15 Amending the City's FY2025-2026 Budget,https://www.utah.gov/pmn/files/1448515.pdf,2026-07-13,scanned,none (wrong attachment posted by the city - see linkage_note),raw/O26-15_n1088829_f1448515.pdf,no,,2026-06-02,,low,1088829,https://www.utah.gov/pmn/sitemap/notice/1088829.html,2026-06-02,pmn-event,PMN posted the wrong attachment: file f1448515 is byte-identical (sha256 48edf564…) to O26-14's signed document; O26-15's own signed text is unrecovered
O26-16,2026-06-02,2026-06-02,O26-16 Adopting the Transfer of Monies from Enterprise Funds,https://www.utah.gov/pmn/files/1448519.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-16_n1088833_f1448519.pdf,no,Motion passed: 5-0,2026-06-02,6,medium,1088833,https://www.utah.gov/pmn/sitemap/notice/1088833.html,2026-06-02,pdf+calendar,
O26-17,2026-06-02,2026-06-02,O26-17 Adopting Compensation Increases for the Executive Municipal Officers of the City for Fiscal Year 2026-2027,https://www.utah.gov/pmn/files/1448527.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-17_n1088841_f1448527.pdf,no,Motion passed: 4-1,2026-06-02,5,medium,1088841,https://www.utah.gov/pmn/sitemap/notice/1088841.html,2026-06-02,pdf+calendar,
O26-18,2026-06-02,2026-06-02,O26-18 Enacting 2.24.080 RE Theater Division of the Park and Rec,https://www.utah.gov/pmn/files/1448531.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-18_n1088845_f1448531.pdf,no,Motion passed: 5-0,2026-06-02,7,medium,1088845,https://www.utah.gov/pmn/sitemap/notice/1088845.html,2026-06-02,pdf+calendar,
O26-19,2026-06-16,2026-06-16,O26-19 Vacating two Utility Easements at 4950 South Galleria Drive,https://www.utah.gov/pmn/files/1451849.pdf,2026-07-13,scanned,tesseract 5 OCR @300dpi (200dpi CCITT scanned PDF),raw/O26-19_n1090455_f1451849.pdf,yes,Motion passed: 5-0,2026-06-16,3,medium,1090455,https://www.utah.gov/pmn/sitemap/notice/1090455.html,2026-06-16,pdf+calendar,
