session,bill_no,title,sponsor,relevance,bill_url
2021GS,HB0074,Municipal Police Oversight Amendments,"Rep. Wheatley, M.",,https://le.utah.gov/~2021/bills/static/HB0074.html
2021GS,HB0075,Municipal Alternative Voting Methods Pilot Project Amendments,"Rep. Stenquist, J.",,https://le.utah.gov/~2021/bills/static/HB0075.html
2021GS,HB0076,Firearm Preemption Amendments,"Rep. Maloy, A.C.",,https://le.utah.gov/~2021/bills/static/HB0076.html
2021GS,HB0077,Aviation Liability Insurance Amendments,"Rep. Acton, C.K.",,https://le.utah.gov/~2021/bills/static/HB0077.html
2021GS,HB0078,Consent Amendments,"Rep. Romero, A.",,https://le.utah.gov/~2021/bills/static/HB0078.html
2021GS,HB0079,Mineral and Rock Amendments,"Rep. Brooks, W.",,https://le.utah.gov/~2021/bills/static/HB0079.html
2021GS,HB0080,Data Security Amendments,"Rep. Brooks, W.",,https://le.utah.gov/~2021/bills/static/HB0080.html
2021GS,HB0081,Mental Health Days for Students,"Rep. Winder, M.",,https://le.utah.gov/~2021/bills/static/HB0081.html
2021GS,HB0082,Single-family Housing Modifications,"Rep. Ward, R.","anchor,housing",https://le.utah.gov/~2021/bills/static/HB0082.html
2021GS,HB0083,Migratory Bird Production Area Amendments,"Rep. Ferry, J.",,https://le.utah.gov/~2021/bills/static/HB0083.html
2021GS,HB0084,Use of Force Reporting Requirements,"Rep. Romero, A.",,https://le.utah.gov/~2021/bills/static/HB0084.html
2021GS,HB0085,Controlled Substance Database Access Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0085.html
2021GS,HB0086,Social Security Tax Amendments,"Rep. Brooks, W.",,https://le.utah.gov/~2021/bills/static/HB0086.html
2021GS,HB0087,Electronic Information and Data Privacy Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0087.html
2021GS,HB0088,Diversion Fees Amendments,"Rep. Stoddard, A.",,https://le.utah.gov/~2021/bills/static/HB0088.html
2021GS,HB0089,Hydrogen Tax Credit Amendments,"Rep. Sagers, D.",,https://le.utah.gov/~2021/bills/static/HB0089.html
2021GS,HB0090,Criminal Code Changes Impact Statement,"Rep. Dailey-Provost, J.",,https://le.utah.gov/~2021/bills/static/HB0090.html
2021GS,HB0091,Tax Credit for Alternative Fuel Heavy Duty Vehicles,"Rep. Stoddard, A.",,https://le.utah.gov/~2021/bills/static/HB0091.html
2021GS,HB0092,Medical Practice Amendments,"Rep. Shipp, R.P.",,https://le.utah.gov/~2021/bills/static/HB0092.html
2021GS,HB0093,Youth Suicide Prevention Programs Amendments,"Rep. King, Brian S.",,https://le.utah.gov/~2021/bills/static/HB0093.html
2021GS,HB0094,Microenterprise Home Kitchen Amendments,"Rep. Watkins, C.",,https://le.utah.gov/~2021/bills/static/HB0094.html
2021GS,HB0095,Prison Rape Elimination Act Compliance,"Rep. Romero, A.",,https://le.utah.gov/~2021/bills/static/HB0095.html
2021GS,HB0096,Emergency Management Amendments,"Rep. Harrison, S.",,https://le.utah.gov/~2021/bills/static/HB0096.html
2021GS,HB0097,Property Tax Penalties Amendments,"Rep. Gwynn, M.",,https://le.utah.gov/~2021/bills/static/HB0097.html
2021GS,HB0098,Local Government Building Regulation Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2021/bills/static/HB0098.html
2021GS,HB0099,Public Employees Health Program Amendments,"Rep. Harrison, S.",,https://le.utah.gov/~2021/bills/static/HB0099.html
2021GS,HB0100,Postconviction Remedies Act Amendments,"Rep. Brammer, B.",,https://le.utah.gov/~2021/bills/static/HB0100.html
2021GS,HB0101,Prohibited Persons Amendments,"Rep. Stoddard, A.",,https://le.utah.gov/~2021/bills/static/HB0101.html
2021GS,HB0102,Contraception for Inmates,"Rep. Dailey-Provost, J.",,https://le.utah.gov/~2021/bills/static/HB0102.html
2021GS,HB0103,Retaliation and Obstruction of Justice Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0103.html
2021GS,HB0104,Victim Address Confidentiality Program,"Rep. Pitcher, S.",,https://le.utah.gov/~2021/bills/static/HB0104.html
2021GS,HB0105,Students with Disabilities Amendments,"Rep. Judkins, M.",,https://le.utah.gov/~2021/bills/static/HB0105.html
2021GS,HB0106,Adoption Tax Credit,"Rep. Shipp, R.P.",,https://le.utah.gov/~2021/bills/static/HB0106.html
2021GS,HB0107,Subdivision Plat Amendments,"Rep. Ferry, J.",subdivision,https://le.utah.gov/~2021/bills/static/HB0107.html
2021GS,HB0108,Vital Records Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0108.html
2021GS,HB0109,Wildlife Amendments,"Rep. Lyman, P.",,https://le.utah.gov/~2021/bills/static/HB0109.html
2021GS,HB0110,Health Care Payment Amendments,"Rep. Winder, M.",,https://le.utah.gov/~2021/bills/static/HB0110.html
2021GS,HB0111,Off-highway Vehicle Amendments,"Rep. Albrecht, C.",,https://le.utah.gov/~2021/bills/static/HB0111.html
2021GS,HB0112,Marriage Self-solemnization Amendments,"Rep. Dailey-Provost, J.",,https://le.utah.gov/~2021/bills/static/HB0112.html
2021GS,HB0113,Shared Medical Costs,"Rep. Brammer, B.",,https://le.utah.gov/~2021/bills/static/HB0113.html
2021GS,HB0114,Emergency Executive Powers Amendments,"Rep. Stoddard, A.",,https://le.utah.gov/~2021/bills/static/HB0114.html
2021GS,HB0115,Municipal Boundary Modifications,"Rep. Waldrip, S.",,https://le.utah.gov/~2021/bills/static/HB0115.html
2021GS,HB0116,Student Attendance Amendments,"Rep. Robertson, A.",,https://le.utah.gov/~2021/bills/static/HB0116.html
2021GS,HB0117,Vaccine Reporting Requirements,"Rep. Ward, R.",,https://le.utah.gov/~2021/bills/static/HB0117.html
2021GS,HB0118,Children's Hearing Aid Program Amendments,"Rep. Shipp, R.P.",,https://le.utah.gov/~2021/bills/static/HB0118.html
2021GS,HB0119,Motor Vehicle Insurance Amendments,"Rep. Judkins, M.",,https://le.utah.gov/~2021/bills/static/HB0119.html
2021GS,HB0120,Unemployment Insurance Amendments,"Rep. Dailey-Provost, J.",,https://le.utah.gov/~2021/bills/static/HB0120.html
2021GS,HB0121,Local District Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0121.html
2021GS,HB0122,Property Redemption Amendments,"Rep. Lyman, P.",,https://le.utah.gov/~2021/bills/static/HB0122.html
2021GS,HB0123,Feasibility Study for Air Quality Laboratory,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0123.html
2021GS,HB0124,Civics Education Amendments,"Rep. Johnson, D.N.",,https://le.utah.gov/~2021/bills/static/HB0124.html
2021GS,HB0125,Intergenerational Poverty Solution,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0125.html
2021GS,HB0126,Licensing Amendments,"Rep. Brammer, B.",,https://le.utah.gov/~2021/bills/static/HB0126.html
2021GS,HB0127,Ranked-choice Voting Amendments,"Rep. Winder, M.",,https://le.utah.gov/~2021/bills/static/HB0127.html
2021GS,HB0128,Local Accumulated Fund Balance Amendments,"Rep. Winder, M.",,https://le.utah.gov/~2021/bills/static/HB0128.html
2021GS,HB0129,Office on Domestic and Sexual Violence,"Rep. Snow, V. L.",,https://le.utah.gov/~2021/bills/static/HB0129.html
2021GS,HB0130,Mental Health Coverage Amendments,"Rep. Watkins, C.",,https://le.utah.gov/~2021/bills/static/HB0130.html
2021GS,HB0131,State Facility Energy Efficiency Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0131.html
2021GS,HB0132,Sanitation Amendments,"Rep. Ballard, M.G.",,https://le.utah.gov/~2021/bills/static/HB0132.html
2021GS,HB0133,Law Enforcement Recording Release Amendments,"Rep. Wheatley, M.",,https://le.utah.gov/~2021/bills/static/HB0133.html
2021GS,HB0134,Notice of Public Education Reporting Requirement,"Rep. Pulsipher, S.",,https://le.utah.gov/~2021/bills/static/HB0134.html
2021GS,HB0135,Congregate Care Program Amendments,"Rep. Judkins, M.",,https://le.utah.gov/~2021/bills/static/HB0135.html
2021GS,HB0136,Initiative and Referenda Modifications,"Rep. Teuscher, J.",,https://le.utah.gov/~2021/bills/static/HB0136.html
2021GS,HB0137,Intrastate Commercial Vehicle Amendments,"Rep. Christofferson, K.",,https://le.utah.gov/~2021/bills/static/HB0137.html
2021GS,HB0138,Post Council Membership Amendments,"Rep. Winder, M.",,https://le.utah.gov/~2021/bills/static/HB0138.html
2021GS,HB0139,Government Employee Amendments,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0139.html
2021GS,HB0140,Income Tax Revenue Amendments,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0140.html
2021GS,HB0141,Municipal Services Amendments,"Rep. Brooks, W.",,https://le.utah.gov/~2021/bills/static/HB0141.html
2021GS,HB0142,Cyclist Traffic Amendments,"Rep. Moss, C.",,https://le.utah.gov/~2021/bills/static/HB0142.html
2021GS,HB0143,Driver License Suspension Amendments,"Rep. Maloy, A.C.",,https://le.utah.gov/~2021/bills/static/HB0143.html
2021GS,HB0144,Water Pricing Structure,"Rep. Moss, C.",,https://le.utah.gov/~2021/bills/static/HB0144.html
2021GS,HB0145,Clean and Renewable Energy Requirement Amendments,"Rep. Ward, R.",,https://le.utah.gov/~2021/bills/static/HB0145.html
2021GS,HB0146,Overdose Harm Reduction Working Group,"Rep. Dailey-Provost, J.",,https://le.utah.gov/~2021/bills/static/HB0146.html
2021GS,HB0147,Revenge Porn Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0147.html
2021GS,HB0148,Alcohol Education Amendments,"Rep. Stenquist, J.",,https://le.utah.gov/~2021/bills/static/HB0148.html
2021GS,HB0149,Health Care Amendments,"Rep. Ward, R.",,https://le.utah.gov/~2021/bills/static/HB0149.html
2021GS,HB0150,Public Safety Post-retirement Reemployment Amendments,"Rep. Gwynn, M.",,https://le.utah.gov/~2021/bills/static/HB0150.html
2021GS,HB0151,State Infrastructure Bank Amendments,"Rep. Brammer, B.",,https://le.utah.gov/~2021/bills/static/HB0151.html
2021GS,HB0152,Ballot Information Amendments,"Rep. Stenquist, J.",,https://le.utah.gov/~2021/bills/static/HB0152.html
2021GS,HB0153,Energy Storage Asset Tax Credit,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0153.html
2021GS,HB0154,Use of Force Revisions,"Rep. Birkeland, K.",,https://le.utah.gov/~2021/bills/static/HB0154.html
2021GS,HB0155,Civil Commitment Amendments,"Rep. Abbott, N.",,https://le.utah.gov/~2021/bills/static/HB0155.html
2021GS,HB0156,National Guard Pay and Benefits Amendments,"Rep. Burton, J.",,https://le.utah.gov/~2021/bills/static/HB0156.html
2021GS,HB0157,Price Controls During Emergencies Act Amendments,"Rep. Shipp, R.P.",,https://le.utah.gov/~2021/bills/static/HB0157.html
2021GS,HB0158,Juvenile Interrogation Amendments,"Rep. Judkins, M.",,https://le.utah.gov/~2021/bills/static/HB0158.html
2021GS,HB0159,Higher Education Speech,"Rep. Teuscher, J.",,https://le.utah.gov/~2021/bills/static/HB0159.html
2021GS,HB0160,Distracted Driver Amendments,"Rep. Moss, C.",,https://le.utah.gov/~2021/bills/static/HB0160.html
2021GS,HB0161,Military Retirement Tax Amendments,"Rep. Pierucci, C.",,https://le.utah.gov/~2021/bills/static/HB0161.html
2021GS,HB0162,Peace Officer Training Amendments,"Rep. Romero, A.",,https://le.utah.gov/~2021/bills/static/HB0162.html
2021GS,HB0163,Agricultural Advisory Board Amendments,"Rep. Snider, C.",,https://le.utah.gov/~2021/bills/static/HB0163.html
2021GS,HB0164,Abortion Requirements Amendments,"Rep. Ward, R.",,https://le.utah.gov/~2021/bills/static/HB0164.html
2021GS,HB0165,Noise Pollution Amendments,"Rep. Wheatley, M.",,https://le.utah.gov/~2021/bills/static/HB0165.html
2021GS,HB0166,Livestock Amendments,"Rep. Snider, C.",,https://le.utah.gov/~2021/bills/static/HB0166.html
2021GS,HB0167,HIV Testing Amendments,"Rep. Judkins, M.",,https://le.utah.gov/~2021/bills/static/HB0167.html
2021GS,HB0168,Sale of Sexual Assault Test Kits Prohibited,"Rep. Romero, A.",,https://le.utah.gov/~2021/bills/static/HB0168.html
2021GS,HB0169,Disaster Response and Recovery Act Amendments,"Rep. Brammer, B.",,https://le.utah.gov/~2021/bills/static/HB0169.html
2021GS,HB0170,Vehicle Registration Renewal Notice Requirements,"Rep. Chew, S.",,https://le.utah.gov/~2021/bills/static/HB0170.html
2021GS,HB0171,Agricultural Land Use Regulation,"Rep. Chew, S.",land_use,https://le.utah.gov/~2021/bills/static/HB0171.html
2021GS,HB0172,Facility of Payment to Minor Amendments,"Rep. Waldrip, S.",,https://le.utah.gov/~2021/bills/static/HB0172.html
2021GS,HB0173,Vote Reporting Requirements,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0173.html
2021GS,HB0174,Municipal Instant Runoff Voting Amendments,"Rep. Robertson, A.",,https://le.utah.gov/~2021/bills/static/HB0174.html
2021GS,HB0175,Risk Management Settlement Authority Amendments,"Rep. Brammer, B.",,https://le.utah.gov/~2021/bills/static/HB0175.html
2021GS,HB0176,Revisor's Technical Corrections to Utah Code,"Rep. Gibson, F.",,https://le.utah.gov/~2021/bills/static/HB0176.html
2021GS,HB0177,Health Education Amendments,"Rep. Moss, C.",,https://le.utah.gov/~2021/bills/static/HB0177.html
2021GS,HB0178,Pharmacy Practice Modifications,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0178.html
2021GS,HB0179,Private Cause of Action for Undisclosed Referral Fees,"Rep. Abbott, N.",,https://le.utah.gov/~2021/bills/static/HB0179.html
2021GS,HB0180,Lieutenant Governor Conflict of Interest Amendments,"Rep. Albrecht, C.",,https://le.utah.gov/~2021/bills/static/HB0180.html
2021GS,HB0181,Personalized Competency-based Learning,"Rep. Johnson, D.N.",,https://le.utah.gov/~2021/bills/static/HB0181.html
2021GS,HB0182,Educator Hearings Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0182.html
2021GS,HB0183,Occupational and Professional Licensing Amendments,"Rep. Birkeland, K.",,https://le.utah.gov/~2021/bills/static/HB0183.html
2021GS,HB0184,Protection of Personal and Religious Liberty,"Rep. Maloy, A.C.",,https://le.utah.gov/~2021/bills/static/HB0184.html
2021GS,HB0185,Laboratory Equipment Amendments,"Rep. Lund, S.",,https://le.utah.gov/~2021/bills/static/HB0185.html
2021GS,HB0186,Criminal Nonsupport Amendments,"Rep. Stratton, K.",,https://le.utah.gov/~2021/bills/static/HB0186.html
2021GS,HB0187,Pharmacy Benefits Amendments,"Rep. Harrison, S.",,https://le.utah.gov/~2021/bills/static/HB0187.html
2021GS,HB0188,State Stone Designation,"Rep. Watkins, C.",,https://le.utah.gov/~2021/bills/static/HB0188.html
2021GS,HB0189,Grand Jury Amendments,"Rep. Nelson, M.",,https://le.utah.gov/~2021/bills/static/HB0189.html
2021GS,HB0190,Interstate Compact on Curing Diseases,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0190.html
2021GS,HB0191,Adoption Amendments,"Rep. Nelson, M.",,https://le.utah.gov/~2021/bills/static/HB0191.html
2021GS,HB0192,Fertility Treatment Amendments,"Rep. Ward, R.",,https://le.utah.gov/~2021/bills/static/HB0192.html
2021GS,HB0193,Intimate Image Distribution Prohibition,"Rep. Kwan, K.",,https://le.utah.gov/~2021/bills/static/HB0193.html
2021GS,HB0194,Diabetes Prevention Program,"Rep. Harrison, S.",,https://le.utah.gov/~2021/bills/static/HB0194.html
2021GS,HB0195,"Vehicle, Boat, and Trailer Registration Amendments","Rep. Robertson, A.",,https://le.utah.gov/~2021/bills/static/HB0195.html
2021GS,HB0196,Ballot Amendments,"Rep. Nelson, M.",,https://le.utah.gov/~2021/bills/static/HB0196.html
2021GS,HB0197,Voter Affiliation Amendments,"Rep. Teuscher, J.",,https://le.utah.gov/~2021/bills/static/HB0197.html
2021GS,HB0198,License Plates Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0198.html
2021GS,HB0199,Pawnshop and Secondhand Merchandise Transaction Information Act Amendments,"Rep. Dunnigan, J.",,https://le.utah.gov/~2021/bills/static/HB0199.html
2021GS,HB0200,Firearm Safe Harbor Amendments,"Rep. Maloy, A.C.",,https://le.utah.gov/~2021/bills/static/HB0200.html
2021GS,HB0201,Tolling Amendments,"Rep. Abbott, N.",,https://le.utah.gov/~2021/bills/static/HB0201.html
2021GS,HB0202,Health Care Consumer Protection Act,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0202.html
2021GS,HB0203,Mail-in Ballot Amendments,"Rep. King, Brian S.",,https://le.utah.gov/~2021/bills/static/HB0203.html
2021GS,HB0204,Feminine Hygiene Products Tax Amendments,"Rep. Spendlove, R.",,https://le.utah.gov/~2021/bills/static/HB0204.html
2021GS,HB0205,Universal Background Checks for Firearm Purchases,"Rep. King, Brian S.",,https://le.utah.gov/~2021/bills/static/HB0205.html
2021GS,HB0206,Epinephrine Auto-injector Access Amendments,"Rep. Harrison, S.",,https://le.utah.gov/~2021/bills/static/HB0206.html
2021GS,HB0207,Bail Amendments,"Rep. Shipp, R.P.",,https://le.utah.gov/~2021/bills/static/HB0207.html
2021GS,HB0208,Water Quality Act Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2021/bills/static/HB0208.html
2021GS,HB0209,Vehicle Registration Fee Revisions,"Rep. Christofferson, K.",,https://le.utah.gov/~2021/bills/static/HB0209.html
2021GS,HB0210,Qualifying Conditions for Medical Cannabis,"Rep. Bennion, G.",,https://le.utah.gov/~2021/bills/static/HB0210.html
2021GS,HB0211,Initiatives and Referenda Amendments,"Rep. Thurston, N.",,https://le.utah.gov/~2021/bills/static/HB0211.html
2021GS,HB0212,Homeless Youth Protection Amendments,"Rep. Weight, E.",,https://le.utah.gov/~2021/bills/static/HB0212.html
2021GS,HB0213,Canine Injury Amendments,"Rep. Christiansen, S.",,https://le.utah.gov/~2021/bills/static/HB0213.html
2021GS,HB0214,Disclosure of Unreinforced Masonry Buildings Act,"Rep. Stoddard, A.",,https://le.utah.gov/~2021/bills/static/HB0214.html
2021GS,HB0215,Jordan River Improvements Amendments,"Rep. Acton, C.K.",,https://le.utah.gov/~2021/bills/static/HB0215.html
2021GS,HB0216,Firearms Amendments,"Rep. Lisonbee, K.",,https://le.utah.gov/~2021/bills/static/HB0216.html
2021GS,HB0217,Regulatory Sandbox Program Amendments,"Rep. Maloy, A.C.",,https://le.utah.gov/~2021/bills/static/HB0217.html
2021GS,HB0218,Reporting Requirement Amendments,"Rep. King, Brian S.",,https://le.utah.gov/~2021/bills/static/HB0218.html
2021GS,HB0219,Inmate Phone Provider Amendments,"Rep. Acton, C.K.",,https://le.utah.gov/~2021/bills/static/HB0219.html
2021GS,HB0220,Pretrial Detention Amendments,"Rep. Schultz, M.",,https://le.utah.gov/~2021/bills/static/HB0220.html
2021GS,HB0221,Property Tax Records,"Rep. Ferry, J.",,https://le.utah.gov/~2021/bills/static/HB0221.html
2021GS,HB0222,School Land Trust Program Amendments,"Rep. Moss, J.",,https://le.utah.gov/~2021/bills/static/HB0222.html
2021GS,HB0223,Alternative Fuel Incentives Amendments,"Rep. Ballard, M.G.",,https://le.utah.gov/~2021/bills/static/HB0223.html
2021GS,HB0224,Pollinator Amendments,"Rep. Matthews, A.",,https://le.utah.gov/~2021/bills/static/HB0224.html
2021GS,HB0225,Administrative Garnishment Order Amendments,"Rep. Miles, K.",,https://le.utah.gov/~2021/bills/static/HB0225.html
2021GS,HB0226,Long-term Care Patient and Consumer Rights Protection,"Rep. Ballard, M.G.",,https://le.utah.gov/~2021/bills/static/HB0226.html
2021GS,HB0227,Self Defense Amendments,"Rep. Lisonbee, K.",,https://le.utah.gov/~2021/bills/static/HB0227.html
2021GS,HB0228,Jail Photo Distribution Prohibition,"Rep. Stratton, K.",,https://le.utah.gov/~2021/bills/static/HB0228.html
2021GS,HB0229,Internal Investigation Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0229.html
2021GS,HB0230,Legislative Representation Amendments,"Rep. Lyman, P.",,https://le.utah.gov/~2021/bills/static/HB0230.html
2021GS,HB0231,Fetus Transport Restrictions,"Rep. Acton, C.K.",,https://le.utah.gov/~2021/bills/static/HB0231.html
2021GS,HB0232,Attorney General Authority Amendments,"Rep. King, Brian S.",,https://le.utah.gov/~2021/bills/static/HB0232.html
2021GS,HB0233,Education Immunization Modifications,"Rep. Strong, M.A.",,https://le.utah.gov/~2021/bills/static/HB0233.html
2021GS,HB0234,Division of Real Estate Amendments,"Rep. Musselman, C.R.",,https://le.utah.gov/~2021/bills/static/HB0234.html
2021GS,HB0235,Annexation Amendments,"Rep. Sagers, D.",annexation,https://le.utah.gov/~2021/bills/static/HB0235.html
2021GS,HB0236,Waste Tire Recycling Amendments,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0236.html
2021GS,HB0237,Lethal Force Amendments,"Rep. Dailey-Provost, J.",,https://le.utah.gov/~2021/bills/static/HB0237.html
2021GS,HB0238,Marriage Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0238.html
2021GS,HB0239,Online Impersonation Prohibition,"Rep. Lisonbee, K.",,https://le.utah.gov/~2021/bills/static/HB0239.html
2021GS,HB0240,Pretrial Amendments,"Rep. Pitcher, S.",,https://le.utah.gov/~2021/bills/static/HB0240.html
2021GS,HB0241,Utah Seeds Amendments,"Rep. Lund, S.",,https://le.utah.gov/~2021/bills/static/HB0241.html
2021GS,HB0242,Ticket Reseller Amendments,"Rep. Snow, V. L.",,https://le.utah.gov/~2021/bills/static/HB0242.html
2021GS,HB0243,Privacy Protection Amendments,"Rep. Gibson, F.",,https://le.utah.gov/~2021/bills/static/HB0243.html
2021GS,HB0244,First Class County Highway Road Funds Amendments,"Rep. Dunnigan, J.",,https://le.utah.gov/~2021/bills/static/HB0244.html
2021GS,HB0245,Forcible Entry and Warrants Amendments,"Rep. Hall, C.",,https://le.utah.gov/~2021/bills/static/HB0245.html
2021GS,HB0246,Ballot Measure Transparency Amendments,"Rep. Christiansen, S.",,https://le.utah.gov/~2021/bills/static/HB0246.html
2021GS,HB0247,Transient Room Tax Amendments,"Rep. Albrecht, C.",,https://le.utah.gov/~2021/bills/static/HB0247.html
2021GS,HB0248,Mental Health Support Program for First Responders,"Rep. Kwan, K.",,https://le.utah.gov/~2021/bills/static/HB0248.html
2021GS,HB0249,Public Access to Court Records,"Rep. Handy, S.",,https://le.utah.gov/~2021/bills/static/HB0249.html
2021GS,HB0250,Driver License Revisions,"Rep. Eliason, S.",,https://le.utah.gov/~2021/bills/static/HB0250.html
2021GS,HB0251,Electronic Location Amendments,"Rep. Wilcox, R.",,https://le.utah.gov/~2021/bills/static/HB0251.html
2021GS,HB0252,State Pay Plan Amendments,"Rep. Wilcox, R.",,https://le.utah.gov/~2021/bills/static/HB0252.html
2021GS,HB0253,Abortion Amendments,"Rep. Christiansen, S.",,https://le.utah.gov/~2021/bills/static/HB0253.html
2021GS,HB0254,Outdoor Recreational Grant Program Amendments,"Rep. Winder, M.",,https://le.utah.gov/~2021/bills/static/HB0254.html
2021GS,HB0255,Protective Order Revisions,"Rep. Snow, V. L.",,https://le.utah.gov/~2021/bills/static/HB0255.html
2021GS,HB0256,County Land Use and Development Amendments,"Rep. Teuscher, J.","land_use,municipal_land",https://le.utah.gov/~2021/bills/static/HB0256.html
2021GS,HB0257,Utah State Park Amendments,"Rep. Eliason, S.",,https://le.utah.gov/~2021/bills/static/HB0257.html
2021GS,HB0258,Firearm Safety in Schools,"Rep. Shipp, R.P.",,https://le.utah.gov/~2021/bills/static/HB0258.html
2021GS,HB0259,Lead Exposure Education and Testing Amendments,"Rep. Barlow, S.",,https://le.utah.gov/~2021/bills/static/HB0259.html
2021GS,HB0260,Criminal Justice Modifications,"Rep. Lisonbee, K.",,https://le.utah.gov/~2021/bills/static/HB0260.html
2021GS,HB0261,Geographic Reference Center Amendments,"Rep. Brooks, W.",,https://le.utah.gov/~2021/bills/static/HB0261.html
2021GS,HB0262,Children's Health Insurance Amendments,"Rep. Welton, D.",,https://le.utah.gov/~2021/bills/static/HB0262.html
2021GS,HB0263,Utah Clean Energy Fund,"Rep. Briscoe, J.",,https://le.utah.gov/~2021/bills/static/HB0263.html
2021GS,HB0264,Law Enforcement Weapons Use Amendments,"Rep. Romero, A.",,https://le.utah.gov/~2021/bills/static/HB0264.html
2021GS,HB0265,Pharmacy Software Amendments,"Rep. Lesser, R.",,https://le.utah.gov/~2021/bills/static/HB0265.html
2021GS,HB0266,Cosmetology Amendments,"Rep. Pierucci, C.",,https://le.utah.gov/~2021/bills/static/HB0266.html
2021GS,HB0267,Voluntary Lethal Means Restrictions Amendments,"Rep. Eliason, S.",,https://le.utah.gov/~2021/bills/static/HB0267.html
2021GS,HB0268,Utah Fit Premises Act Amendments,"Rep. Bennion, G.",,https://le.utah.gov/~2021/bills/static/HB0268.html
2021GS,HB0269,Governmental Immunity Modifications,"Rep. Moss, C.",,https://le.utah.gov/~2021/bills/static/HB0269.html
2021GS,HB0270,Property Tax Valuation Amendments,"Rep. Hawkes, T.",,https://le.utah.gov/~2021/bills/static/HB0270.html
2021GS,HB0271,Home Child Care Amendments,"Rep. Pulsipher, S.",,https://le.utah.gov/~2021/bills/static/HB0271.html
2021GS,HB0272,Special License Plate Amendments,"Rep. Ray, P.",,https://le.utah.gov/~2021/bills/static/HB0272.html
2021GS,HB0273,Single-family Housing Amendments,"Rep. Peterson, V.",housing,https://le.utah.gov/~2021/bills/static/HB0273.html
2021GS,HB0274,Government Records Transparency Act Amendments,"Rep. Seegmiller, T.",,https://le.utah.gov/~2021/bills/static/HB0274.html
2021GS,HB0275,Restricted Persons Amendments,"Rep. Stenquist, J.",,https://le.utah.gov/~2021/bills/static/HB0275.html
2021GS,HB0276,Notary Public Amendments,"Rep. Nelson, M.",,https://le.utah.gov/~2021/bills/static/HB0276.html
2021GS,HB0277,Child Care Eligibility Amendments,"Rep. Matthews, A.",,https://le.utah.gov/~2021/bills/static/HB0277.html
2021GS,HB0278,Name Change Process for Dixie State University,"Rep. Miles, K.",,https://le.utah.gov/~2021/bills/static/HB0278.html
2021GS,HB0279,Higher Education for Incarcerated Youth,"Rep. Snow, V. L.",,https://le.utah.gov/~2021/bills/static/HB0279.html
2021GS,HB0280,State Employment Amendments,"Rep. Christofferson, K.",,https://le.utah.gov/~2021/bills/static/HB0280.html
2021GS,HB0281,County Development Activity Amendments,"Rep. Lyman, P.",,https://le.utah.gov/~2021/bills/static/HB0281.html
2021GS,HB0282,Right of Survivorship Amendments,"Rep. Miles, K.",,https://le.utah.gov/~2021/bills/static/HB0282.html
2021GS,HB0283,Community and Police Relations Commission,"Rep. Wheatley, M.",,https://le.utah.gov/~2021/bills/static/HB0283.html
2021GS,HB0284,Minimum Wage Amendments,"Rep. Collard, C.",,https://le.utah.gov/~2021/bills/static/HB0284.html
2021GS,HB0285,Juvenile Recodification,"Rep. Snow, V. L.",,https://le.utah.gov/~2021/bills/static/HB0285.html
2021GS,HB0286,Juvenile Code Recodification Cross References,"Rep. Snow, V. L.",,https://le.utah.gov/~2021/bills/static/HB0286.html
2021GS,HB0287,Nurse Practice Act Amendments,"Rep. Welton, D.",,https://le.utah.gov/~2021/bills/static/HB0287.html
2021GS,HB0288,Education and Mental Health Coordinating Council,"Rep. Peterson, V.",,https://le.utah.gov/~2021/bills/static/HB0288.html
2021GS,HB0289,Victim Services Amendments,"Rep. Lisonbee, K.",,https://le.utah.gov/~2021/bills/static/HB0289.html
2021GS,HB0290,Probation and Parole Amendments,"Rep. Stratton, K.",,https://le.utah.gov/~2021/bills/static/HB0290.html
