ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,disposition
23-38,2023-10-25,2023-10-25,amending West Jordan City Streetlighting Design and Construction Standards Section 16500 by adding an additional commercial streetlight; K118 Washington - LED by King Luminaire,meeting_minutes/minutes/2023/2023-10-23/2023-10-25_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-10-25,4,within_source,adopted
23-39,2023-11-01,2023-11-01,renaming 8760 South between Millrace Bend Rd (940 W) and Terra Pointe Wy (1020 W) to Joshua Eli Way,meeting_minutes/minutes/2023/2023-10-30/2023-11-01_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-11-01,2,within_source,adopted
23-40,2023-11-01,2023-11-01,an ordinance renaming 1510 West between 8870 South and 9130 South to Eli Mitchell Way,meeting_minutes/minutes/2023/2023-10-30/2023-11-01_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2023-11-01,1,within_source,adopted
23-41,2023-11-29,2023-11-29,amending the West Jordan Annual Budget for FY 2024,meeting_minutes/minutes/2023/2023-11-27/2023-11-29_special-city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-11-29,2,within_source,adopted
23-42,,2023-12-20,a petition from Dave Tolman for a rezone of 2.17 acres of The Cottages at Parker Place subdivision from R-3-8 (SHO) Zone (Multi-family residential 8 units per acre with a Senior Housing Overlay) to R-,meeting_minutes/minutes/2023/2023-12-18/2023-12-20_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2023-12-20,5,within_source,tabled
23-44,2023-12-20,2023-12-20,amending West Jordan City Code 13-13-5 Water Efficiency Standards to meet State Requirements and Jordan Valley Water Conservancy District Standards,meeting_minutes/minutes/2023/2023-12-18/2023-12-20_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2023-12-20,2,within_source,adopted
24-01,2024-01-24,2024-01-24,"amending the 2009 West Jordan Municipal Code Section 13-11-2G: Home Occupation Standards: Use Outside Residence; and 13-2-3 “Home Occupation” definition, with an effective date of February 1, 2024",meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-01-24,3,within_source,adopted
24-02,2024-01-10,2024-01-10,"as proposed, setting the 2024 Annual Meeting Schedule for City Council and Agency Boards",meeting_minutes/minutes/2024/2024-01-08/2024-01-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-01-10,3,within_source,adopted
24-03,2024-01-24,2024-01-24,amending 2009 West Jordan Municipal Code Section 8-6-2 regarding Streetlight Installation with modifications to lines 25-28 as discussed,meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-01-24,4,within_source,adopted
24-04,2024-04-10,2024-04-10,"amending West Jordan City Code Title 1, Chapter 8 - Municipal Administration, including Departments",meeting_minutes/minutes/2024/2024-04-08/2024-04-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-04-10,3,within_source,adopted
24-06,2024-01-24,2024-01-24,"Cottages at Parker Place Rezone, and Ordinance No. 24-07 Cottages at Parker Place Amended Development Plan",meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-0 Pass,2024-01-24,6,within_source,adopted
24-07,2024-01-24,2024-01-24,"Cottages at Parker Place Rezone, and Ordinance No. 24-07 Cottages at Parker Place Amended Development Plan",meeting_minutes/minutes/2024/2024-01-22/2024-01-24_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-0 Pass,2024-01-24,6,within_source,adopted
24-08,2024-02-14,2024-02-14,amending the budget,meeting_minutes/minutes/2024/2024-02-12/2024-02-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-02-14,1,within_source,adopted
24-10,2024-04-10,2024-04-10,"amending West Jordan City Code Title 6, Chapter 3, Article E. Ownership and Maintenance of Fowl",meeting_minutes/minutes/2024/2024-04-08/2024-04-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-04-10,4,within_source,adopted
24-12,2024-12-18,2024-12-18,an amendment to the Jones Ranch Master Development Agreement with the following edit. In Section 2 under New Provisions Substitute in its Place - the third sentence ‘The expected duration of construct,https://www.westjordan.utah.gov/wp-content/uploads/2024/12/Ordinance-No.-24-12-Dry-Creek-Highlands-Amendment-to-MDA-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-12-Dry-Creek-Highlands-Amendment-to-MDA-signed.pdf,Y,6-0 Pass,2024-12-18,7,high,adopted
24-13,2024-03-27,2024-03-27,"approving a Master Development Agreement/Plan with the following amendments: • Under Commercial Design Standards on pages 4 and 5, DRC should be amended to read Zoning Administrator (for minor variati",meeting_minutes/minutes/2024/2024-03-25/2024-03-27_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,6-1 Pass,2024-03-27,5,within_source,adopted
24-14,2024-03-27,2024-03-27,"a General Plan Land Use Map amendment from Light Industrial and Future Park to Southwest Quadrant, and rezone from Agriculture 20-acre minimum lots (A-20) and Light Manufacturing (M-1) to the Southwes",https://www.westjordan.utah.gov/wp-content/uploads/2024/04/Ordinance-No.-24-14.pdf,2026-07-03,scanned,"tesseract OCR (scanned image PDF, 200dpi)",raw/Ordinance-No.-24-14.pdf,Y,6-1 Pass,2024-03-27,6,high,adopted
24-15,2024-05-08,2024-05-08,"amending West Jordan City Code Section 8-5-2 regarding the costs of sidewalk, curb, and gutter maintenance, repair, and replacement in the city right of way",meeting_minutes/minutes/2024/2024-05-06/2024-05-08_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-05-08,1,within_source,adopted
24-16,2024-04-10,2024-04-10,amends West Jordan City Code Sections 6-3B-1 and 6-3C-5 addressing animal impound duration and licensing renewal timing,meeting_minutes/minutes/2024/2024-04-08/2024-04-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-04-10,1,within_source,adopted
24-17,2024-04-24,2024-04-24,"a rezone of 16.36 acres of property from A-1 to R-1-8C Zone for Pierson Farms located at 1996 and 1986 West Gardner Lane, amending lines 27 and 41 removing the “C” so it reads only R-1-8",https://www.westjordan.utah.gov/wp-content/uploads/2024/04/Ordinance-No.-24-17-Zoning-Map-Amendment-for-Pierson-Farms-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-17-Zoning-Map-Amendment-for-Pierson-Farms-signed.pdf,Y,5-1 Pass,2024-04-24,1,high,adopted
24-18,2024-04-24,2024-04-24,Rezone (signed ordinance retrieved; NOT cited in any all_votes.csv motion — see AVAILABILITY.md),https://www.westjordan.utah.gov/wp-content/uploads/2024/04/Ordinance-No.-24-18-Taylor-Farms-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-18-Taylor-Farms-Rezone-signed.pdf,Y,,,,none,pdf_only
24-19,2024-04-10,2024-04-10,amending West Jordan City Code Title 2 - Executive Branch Committees,meeting_minutes/minutes/2024/2024-04-08/2024-04-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-04-10,2,within_source,adopted
24-23,2024-07-31,2024-07-31,for the approval of a Master Development Agreement/Plan for Oneleven located at 7141 South Highway U-111 including the four things included in the packet/PowerPoint: 1) park strips must not contain so,https://www.westjordan.utah.gov/wp-content/uploads/2024/08/Ordinance-No.-24-23-Oneleven-MDA-P-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-23-Oneleven-MDA-P-signed.pdf,Y,6-0 Pass,2024-07-31,2,high,adopted
24-24,2024-07-31,2024-07-31,amending the General Plan Land Use Map for Oneleven from Research Park to Medium Density Residential and a rezone from Business Research Park Zone (BR-P) to Integrated Housing Development Zone (IH-D),https://www.westjordan.utah.gov/wp-content/uploads/2024/08/Ordinance-No.-24-24-Oneleven-GPLUM-Amd-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-24-Oneleven-GPLUM-Amd-signed.pdf,Y,6-0 Pass,2024-07-31,3,high,adopted
24-25,2024-06-26,2024-06-26,fixing the compensation for elected and statutory officers of the city,meeting_minutes/minutes/2024/2024-06-24/2024-06-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-06-26,3,within_source,adopted
24-26,2024-06-26,2024-06-26,approving an update to the Master Development Agreement for Copper Rim Planned Community and approve a Major Variation to the Preliminary Development Plan located at approximately 7516 South Copper Ri,meeting_minutes/minutes/2024/2024-06-24/2024-06-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,Y,7-0 Pass,2024-06-26,1,within_source,adopted
24-27,2024-06-26,2024-06-26,amending Title 1-7-4 Duties of the Mayor and 1-7A-1 Duties of the CAO,meeting_minutes/minutes/2024/2024-06-24/2024-06-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-06-26,6,within_source,adopted
24-28,2024-06-26,2024-06-26,amending the Annual Budget for Fiscal Year 2024,meeting_minutes/minutes/2024/2024-06-24/2024-06-26_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,4-3 Pass,2024-06-26,5,within_source,adopted
24-30,2024-07-31,2024-07-31,a petition from Tanner Hansen/Victory Builders requesting a rezone of approximately 2.54 acres from Neighborhood Shopping Center (SC-1) and Community Shopping Center (SC-2) to General Commercial (C-G),https://www.westjordan.utah.gov/wp-content/uploads/2024/08/Ordinance-No.-24-30-Victory-Builders-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-30-Victory-Builders-Rezone-signed.pdf,Y,6-0 Pass,2024-07-31,5,high,adopted
24-31,,2024-12-18,regarding the Third Amendment to the Bangerter Station Development Agreement,meeting_minutes/minutes/2024/2024-12-16/2024-12-18_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-12-18,9,within_source,denied
24-031,2024-07-31,2024-07-31,"authorizing the issuance and sale of not more than $12,000,000 aggregate principal amount of Sales Tax Revenue Bonds, including the following language “comprised of four of the following seven with at",meeting_minutes/minutes/2024/2024-07-29/2024-07-31_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-07-31,6,within_source,adopted
24-32,2024-09-11,2024-09-11,"amending the West Jordan City Transportation Master Plan, changing the words “at Duck Ridge Way” with the words “with 9000 South” in the second paragraph on page 70 of the Plan",meeting_minutes/minutes/2024/2024-09-09/2024-09-11_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-09-11,1,within_source,adopted
24-33,2024-09-25,2024-09-25,"amending West Jordan City Code regarding procedures for the Senior Housing Overlay District and other Overlay Zoning Districts in Sections 13-6H-12, 13-7D-4, 13-7D-6, and 13-7I-5",https://www.westjordan.utah.gov/wp-content/uploads/2024/10/Ordinance-No.-24-33-Senior-Housing-Overlay-amendments-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-33-Senior-Housing-Overlay-amendments-signed.pdf,Y,6-0 Pass,2024-09-25,1,high,adopted
24-35,2024-08-27,2024-08-27,amending Section 14-3-4 Lot Line Adjustments,meeting_minutes/minutes/2024/2024-08-26/2024-08-27_special-city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-08-27,6,within_source,adopted
24-36,2024-08-27,2024-08-27,amending Section 13-6K-5 Development and Design Requirements and the IOZ Design and Development Standards and Requirements: 5,meeting_minutes/minutes/2024/2024-08-26/2024-08-27_special-city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2024-08-27,7,within_source,adopted
24-37,2024-08-27,2024-08-27,adopting the Property Tax Rate of .001428 for Tax Year 2024,meeting_minutes/minutes/2024/2024-08-26/2024-08-27_special-city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2024-08-27,8,within_source,adopted
24-38,2024-08-27,2024-08-27,adopting the Final Budget for Fiscal Year 2025,meeting_minutes/minutes/2024/2024-08-26/2024-08-27_special-city-council-meeting-amended.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2024-08-27,9,within_source,adopted
24-40,2024-11-06,2024-11-06,"amending West Jordan City Code Sections 13-17-2, 12-3-2 and 13-5L-7 to establish sign standards for the Planned Community Hillside (PCH) Zone",https://www.westjordan.utah.gov/wp-content/uploads/2024/11/Ordinance-No.-24-40-PCH-Sign-Standards-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-40-PCH-Sign-Standards-signed.pdf,Y,7-0 Pass,2024-11-06,1,high,adopted
24-41,2024-09-25,2024-09-25,"amending Sections 1-15-2, 1-15-4, 1-15-8, and 1-15-9 regarding Elections, including qualifications for office, campaign finance disclosures, and use of city logos adopting Option 2",meeting_minutes/minutes/2024/2024-09-23/2024-09-25_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-09-25,3,within_source,adopted
24-42,2024-09-11,2024-09-11,a petition from Ross Dinsdale/Ivory Development requesting an amendment to the Dry Creek Highlands Sub-Area 1 Development Plan encompassing 89 acres of property located at approximately 6400 West 9000,meeting_minutes/minutes/2024/2024-09-09/2024-09-11_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-09-11,3,within_source,adopted
24-43,2024-12-18,2024-12-18,amending City Code Title 1-4-1 Elected Officials Compensation,meeting_minutes/minutes/2024/2024-12-16/2024-12-18_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-1 Pass,2024-12-18,10,within_source,adopted
24-44,2024-10-23,2024-10-23,"amending Sections 8-15-4 and 7-5-2 regarding Naming Principles and Placement of Parks, Public Spaces, Monuments, and Street Name Changes",meeting_minutes/minutes/2024/2024-10-21/2024-10-23_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-10-23,2,within_source,adopted
24-45,2024-10-09,2024-10-09,"amending West Jordan City Code 1-6-5, 1-6-9, 1-6-10, 1-6-11 related to City Council Responsibilities and Leadership, replacing “Council Chair Ex-officio” with “Past Chair.”",meeting_minutes/minutes/2024/2024-10-07/2024-10-09_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-1 Pass,2024-10-09,1,within_source,adopted
24-46,2024-12-18,2024-12-18,amending West Jordan City Code Title 17 - Alcohol Beverage Control and Uses,meeting_minutes/minutes/2024/2024-12-16/2024-12-18_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-12-18,2,within_source,adopted
24-47,2024-12-04,2024-12-04,"a Master Development Agreement/Plan for Copper Meadows (76.21 acres at 8200 S. Stokesley Dr.), incorporating Amendments 1-3 as provided to the Council",https://www.westjordan.utah.gov/wp-content/uploads/2024/12/Ordinance-No.-24-47-Approving-MDA-and-MDP-for-Copper-Meadows.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-47-Approving-MDA-and-MDP-for-Copper-Meadows.pdf,Y,6-1 Pass,2024-12-04,4,high,adopted
24-48,2024-12-04,2024-12-04,amending the General Plan Land Use Map to Low-Density Residential and Rezone to Planned Community Zone (PC) for Copper Meadows (76.21 acres at 8200 S Stokesley Dr),https://www.westjordan.utah.gov/wp-content/uploads/2024/12/Ordinance-No.-24-48-Zoning-and-General-Plan-Map-Amendments-for-Copper-Meadows-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-48-Zoning-and-General-Plan-Map-Amendments-for-Copper-Meadows-signed.pdf,Y,6-1 Pass,2024-12-04,5,high,adopted
24-51,2024-11-06,2024-11-06,amending Title 7 - Motor Vehicles and Traffic,meeting_minutes/minutes/2024/2024-11-04/2024-11-06_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-11-06,3,within_source,adopted
24-53,2025-01-14,2025-01-14,a major variation to approved plans for the GEM Apartments,meeting_minutes/minutes/2025/2025-01-13/2025-01-14_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2025-01-14,4,within_source,adopted
24-54,2024-12-04,2024-12-04,"amending City Code Section 13-5I-5 (City Center Zones) regarding Residential Density, moderate income housing requirements, and maximum density limits",meeting_minutes/minutes/2024/2024-12-02/2024-12-04_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2024-12-04,2,within_source,adopted
24-55,2024-12-04,2024-12-04,amending the General Plan Future Land Use Map for 6.23 acres at 6676 and 6686 S Redwood Road adding the Residential Overlay District (ROD) designation and removing the word ‘potential’ from lines 15 a,https://www.westjordan.utah.gov/wp-content/uploads/2024/12/Ordinance-No.-24-55-MIH-FLUM-Amd-Strategy-F-ROD-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-55-MIH-FLUM-Amd-Strategy-F-ROD-signed.pdf,Y,7-0 Pass,2024-12-04,1,high,adopted
24-57,2024-12-18,2024-12-18,adopting an updated Water Conservation Plan for the City of West Jordan,meeting_minutes/minutes/2024/2024-12-16/2024-12-18_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2024-12-18,4,within_source,adopted
24-58,2024-12-18,2024-12-18,"amending West Jordan City Code Titles 2, 8, 10, 13, 14, 15 regarding the Land Use Appeal Authority",https://www.westjordan.utah.gov/wp-content/uploads/2024/12/Ordinance-No.-24-58-City-Code-Text-Amendment-for-Land-Use-Appeal-Authority-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-24-58-City-Code-Text-Amendment-for-Land-Use-Appeal-Authority-signed.pdf,Y,6-0 Pass,2024-12-18,6,high,adopted
24-59,2024-12-18,2024-12-18,"amending West Jordan City Code Section 13-5-4, Replacing Newly Annexed Territories with Annexations of Real Property into the City (new and existing development) and associated language",https://www.westjordan.utah.gov/wp-content/uploads/2025/01/Ordinance-No.-24-59-Amd-13-5-4-annexations-signed.pdf,2026-07-03,scanned,"tesseract OCR (scanned image PDF, 200dpi)",raw/Ordinance-No.-24-59-Amd-13-5-4-annexations-signed.pdf,Y,6-0 Pass,2024-12-18,5,high,adopted
25-01,2025-01-28,2025-01-28,Amending West Jordan City Code Section 8-14-7 Regarding Grave Decorations,meeting_minutes/minutes/2025/2025-01-27/2025-01-28_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-01-28,3,within_source,adopted
25-02,2025-01-14,2025-01-14,a Rezone for Prattplex from A-5 to C-G Zone (General Commercial),https://www.westjordan.utah.gov/wp-content/uploads/2025/01/Ordinance-No.-25-02-Prattplex-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-02-Prattplex-Rezone-signed.pdf,Y,7-0 Pass,2025-01-14,1,high,adopted
25-03,2025-02-25,2025-02-25,"Oquirrh Highlands Annexation Petition, for an Annexation Area of approximately 160.501 acres at approximately 5900 West to 6400 West and 6600 South to 7000 South",https://www.westjordan.utah.gov/wp-content/uploads/2025/03/Ordinance-No.-25-03-Oquirrh-Highlands-Annexation-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-03-Oquirrh-Highlands-Annexation-signed.pdf,Y,7-0 Pass,2025-02-25,1,high,adopted
25-04,2025-02-25,2025-02-25,"Oquirrh Highlands Annexation Future Land Use Map designation of Medium Density Residential, High Density Residential, and Parks and Open Land as well as a Zoning map designation of P-C Zone (Planned C",https://www.westjordan.utah.gov/wp-content/uploads/2025/03/Ordinance-No.-25-04-Oquirrh-Highlands-FLUM-Zoning-Designations-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-04-Oquirrh-Highlands-FLUM-Zoning-Designations-signed.pdf,Y,7-0 Pass,2025-02-25,2,high,adopted
25-05,2025-03-11,2025-03-11,approving the Copper Meadows Annexation Petition for an annexation area of approximately 1.38 acres at approximately 7339 West 8200 South,https://www.westjordan.utah.gov/wp-content/uploads/2025/03/Ordinance-No.-25-05-Copper-Meadows-Annexation-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-05-Copper-Meadows-Annexation-signed.pdf,Y,7-0 Pass,2025-03-11,2,high,adopted
25-06,2025-03-11,2025-03-11,"Copper Meadows Annexation (1.38 acres) at approximately 7339 West 8200 South, Future Land Use Map designation of Low-Density Residential, and Zoning Map designation of P-C Zone (Planned Community)",https://www.westjordan.utah.gov/wp-content/uploads/2025/03/Ordinance-No.-25-06-Copper-Meadows-Map-Designations-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-06-Copper-Meadows-Map-Designations-signed.pdf,Y,7-0 Pass,2025-03-11,3,high,adopted
25-08,2025-01-28,2025-01-28,a Rezone (approximately 54.199 acres) to Southwest Quadrant - Mixed Use Zone (SWQ- MU),https://www.westjordan.utah.gov/wp-content/uploads/2025/02/Ordinance-No.-25-08-Wasatch-Electric-Rezone-unsigned.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-08-Wasatch-Electric-Rezone-unsigned.pdf,Y,7-0 Pass,2025-01-28,2,high,adopted
25-09,2025-02-11,2025-02-11,"amending the Budget for the fiscal year ending June 30, 2025",meeting_minutes/minutes/2025/2025-02-10/2025-02-11_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2025-02-11,1,within_source,adopted
25-10,2025-03-11,2025-03-11,amending City Code Section 13-8-23(B) regarding Balanced Housing and enacting a new article 13-5O Corridor Zone,https://www.westjordan.utah.gov/wp-content/uploads/2025/03/Ordinance-No.-25-10-Article-13-5O-Corridor-Zone-amd-13-8-23B-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-10-Article-13-5O-Corridor-Zone-amd-13-8-23B-signed.pdf,Y,4-3 Pass,2025-03-11,6,high,adopted
25-11,2025-03-11,2025-03-11,Station Area Plan for the 5600 West Old Bingham Highway Station,meeting_minutes/minutes/2025/2025-03-10/2025-03-11_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-03-11,5,within_source,adopted
25-12,2025-04-22,2025-04-22,amending Sections 13-13-1 through 13-13-10 Landscaping Requirements and removing bonding requirements,meeting_minutes/minutes/2025/2025-04-21/2025-04-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2025-04-22,3,within_source,adopted
25-14,2025-04-08,2025-04-08,amending West Jordan City Code Section 14-5-5 regarding Stub Streets,meeting_minutes/minutes/2025/2025-04-07/2025-04-08_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2025-04-08,4,within_source,adopted
25-15,2025-03-25,2025-03-25,amending the annual budget for fiscal year 2025,meeting_minutes/minutes/2025/2025-03-24/2025-03-25_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-1 Pass,2025-03-25,3,within_source,adopted
25-16,2025-04-22,2025-04-22,Amending the Good Landlord Program and Short-Term Rentals and Corresponding Amendments to the Consolidated Fee Schedule striking the second sentence remaining in 4-2R-5 so that it simply reads “All li,meeting_minutes/minutes/2025/2025-04-21/2025-04-22_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,6-0 Pass,2025-04-22,1,within_source,adopted
25-17,2025-05-13,2025-05-13,a rezone to M-1 Zone for 190 Commerce located at 7381 West New Bingham Highway,https://www.westjordan.utah.gov/wp-content/uploads/2025/05/Ordinance-No.-25-17-190-Commerce-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-17-190-Commerce-Rezone-signed.pdf,Y,7-0 Pass,2025-05-13,4,high,adopted
25-18,2025-05-27,2025-05-27,a Rezone to R-1-9 for Bingham Heights Phase 5 (20.96 acres at 5891 West 7000 South),https://www.westjordan.utah.gov/wp-content/uploads/2025/06/Ordinance-No.-25-18-Bingham-Heights-Ph-5-Rezone-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-18-Bingham-Heights-Ph-5-Rezone-signed.pdf,Y,7-0 Pass,2025-05-27,1,high,adopted
25-19,2025-05-13,2025-05-13,amending Section 13-7E-10 (Status of Conditional Use Permit) to add revocation language,https://www.westjordan.utah.gov/wp-content/uploads/2025/05/Ordinance-No.-25-19-Amd-13-7E-10-thru-13-7E-12-and-repeal-13-7E-13-Conditional-Use-Permit-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-19-Amd-13-7E-10-thru-13-7E-12-and-repeal-13-7E-13-Conditional-Use-Permit-signed.pdf,Y,7-0 Pass,2025-05-13,5,high,adopted
25-20,2025-05-13,2025-05-13,amendments to Title 3 - City Procurement,meeting_minutes/minutes/2025/2025-05-12/2025-05-13_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-05-13,6,within_source,adopted
25-21,2025-05-13,2025-05-13,"amending Section 13-8-23 (Balanced Housing) to add an exemption for twin homes on R-3 zoned parcels existing since October 22, 2014",meeting_minutes/minutes/2025/2025-05-12/2025-05-13_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,7-0 Pass,2025-05-13,3,within_source,adopted
25-22,2025-06-10,2025-06-10,Fixing the Compensation for Elected and Statutory Officers of the City,meeting_minutes/minutes/2025/2025-06-09/2025-06-10_city-council-meeting.md,2026-07-03,na,derived from meeting_minutes/all_votes.csv motion text,,N,5-2 Pass,2025-06-10,2,within_source,adopted
25-23,2025-07-08,2025-07-08,"amendments to multiple sections of West Jordan City Code Title 13 to permit short term rentals and update a related definition, changing the footnote on page two to read “permitted with permission of ",https://www.westjordan.utah.gov/wp-content/uploads/2025/07/Ordinance-No.-25-23-Amn-Title-13-for-Short-Term-Rentals-and-Definitions.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-23-Amn-Title-13-for-Short-Term-Rentals-and-Definitions.pdf,Y,7-0 Pass,2025-07-08,2,high,adopted
25-24,2025-06-10,2025-06-10,"General Plan Text Amendment - Moderate Income Housing (Chapter 8 Update), including Strategy E as outlined",https://www.westjordan.utah.gov/wp-content/uploads/2025/06/Ordinance-No.-25-24-Amd-to-GP-2025-Moderate-Income-Housing-signed.pdf,2026-07-03,text,pdftotext -layout,raw/Ordinance-No.-25-24-Amd-to-GP-2025-Moderate-Income-Housing-signed.pdf,Y,7-0 Pass,2025-06-10,4,high,adopted
