ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,motion_type,doc_type
2024-077,2024-12-05,2024-12-05,amending the Tonaquint Center PD-C (Planned Development Commercial) on approximately 2.51 acres located at 1487 South Silicon Way,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.12.05%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.12.05 Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2024-12-05,5,high,Land-Use/Zoning,ordinance
2024-078,2024-12-05,2024-12-05,"amending Title 10, Chapter 2, Section 1 of the St. George City municipal code - Zoning Regulations - Definitions",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2024/Notices/2024/2024.12.05%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2024.12.05 Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2024-12-05,6,high,Land-Use/Zoning,ordinance
2025-001,2025-03-06,2025-03-06,"amending 5.06 acres of the Atkinville Interchange Area Commercial PD-C for a 107-room hotel, a 20,140 square foot medical office, and a 9,131 square foot retail building generally located on Pioneer Road, south of Nighthawk Drive",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.03.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.03.06  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-03-06,4,high,Ordinance,ordinance
2025-002,2025-01-02,2025-01-02,amending an approved PD-C (Planned Development Commercial) for two new commercial buildings on 2.15 acres in the Atkinville Interchange Area Master Plan generally located on the east side of Pioneer Road north of Sun River Parkway and north of Chevron and Terribles,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.01.02%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.01.02  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-01-02,1,high,Land-Use/Zoning,ordinance
2025-003,2025-01-02,2025-01-02,"amending the city zoning map by changing the zone from A-1 (Agricultural, 40,000 sq ft minimum lot size) to S (Open Space) on approximately 0.56 acres generally located near the St. George/Washington border near the Paseo Development",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.01.02%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.01.02  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-01-02,3,high,Land-Use/Zoning,ordinance
2025-004,2025-01-02,2025-01-02,amending a Development agreement affecting approximately 5.03 acres located south of the existing southern terminus of Gap Canyon Parkway at the southern boundary of PA-2 in the Divario development,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.01.02%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.01.02  Ordinances Approved and Adopted by the City Council.pdf,,,2025-01-02,,medium,,ordinance
2025-005,2025-01-16,2025-01-16,"amending the existing Desert Color Planned Development Commercial (PD-C) zone on approximately 15.12 acres, generally located at the terminus of Desert Color Parkway just south of the roundabout at Desert Color Parkway and Lagoon Parkway",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.01.16%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.01.16  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-01-16,4,high,Land-Use/Zoning,ordinance
2025-006,2025-01-16,2025-01-16,for a temporary land use regulation amending §9-13-4 of the St. George City Code prohibiting off premise signs from being located along State Route 7 (SR-7) also known as Southern Parkway,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.01.16%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.01.16  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-01-16,5,high,Land-Use/Zoning,ordinance
2025-007,2025-02-06,2025-02-06,"requesting the vacation of a portion of an existing municipal utility easement located between Lots 16 and 25, Woodhaven Estates Subdivision",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.02.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.06  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-02-06,3,high,Land-Use/Zoning,ordinance
2025-008,2025-02-06,2025-02-06,amending the existing Atkinville Interchange Planned Development Commercial (PD-C) zone on approximately 17.85 acres generally located north of Southern Parkway on Desert Color Parkway at approximately 4700 South,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.02.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.06  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-02-06,5,high,Land-Use/Zoning,ordinance
2025-009,2025-02-06,2025-02-06,amending the city General Plan future land use map from MDR (Medium Density Residential) and LDR (Low Density Residential) to (COM) Commercial on approximately 7.92 acres generally located on the northwest corner of 2450 South and 3000 East,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.02.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.06  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-02-06,6,high,Land-Use/Zoning,ordinance
2025-010,2025-02-06,2025-02-06,amending the city General Plan future land-use map from FP (Flood Plain) and LDR (Low Density Residential) to COM (Commercial) on approximately 5.43 acres generally located 500 feet west of River Road on the south side of George Washington Boulevard,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.02.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.06  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-02-06,7,high,Land-Use/Zoning,ordinance
2025-011,2025-02-06,2025-02-06,"amending the city zoning map by amending the zone from A-1 (Agricultural) to RE-12.5 (Residential Estates 12,500 ft² minimum lot size) on approximately 6.2 acres generally located on the east side of 3000 East at approximately 1800 South",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.02.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.02.06  Ordinances Approved and Adopted by the City Council.pdf,,,2025-02-06,,medium,,ordinance
2025-012,2025-02-20,2025-02-20,approving the vacation of a public utility and drainage easement as described in Doc. No. 20170025075,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.02.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.02.20  Ordinances Approved and Adopted by the City Council.pdf,,,2025-02-20,,medium,,ordinance
2025-013,2025-02-20,2025-02-20,"approving the vacation of a portion of an existing public cross access and municipal utility easement, and also a drainage easement located on Lots 5, 6, and 7 of The Fields at Mall Drive Phase 2 Partial Amendment A",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.02.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.20  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-02-20,4,high,Land-Use/Zoning,ordinance
2025-014,2025-02-20,2025-02-20,approving the vacation of a portion of an existing municipal utility easement located between Lots 58 and 59 of Cottam Cove Phase 5,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.02.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.20  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-02-20,5,high,Land-Use/Zoning,ordinance
2025-015,2025-02-20,2025-02-20,amending an approved PD-C (Planned Development Commercial) zone on approximately 0.43 acres located east of River Road and south of 900 South,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.02.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.20  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-02-20,6,high,Land-Use/Zoning,ordinance
2025-016,2025-02-20,2025-02-20,"re-approving the Flats at Grand View PD-R (Planned Development Residential) zone on approximately 8.93 acres to amend the approved Flats at Grand View development with conceptual site plan and elevations, located generally at 1600 West and Skyrocket Road",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.02.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.02.20  Ordinances Approved and Adopted by the City Council.pdf,,3-1 Pass (The motion carried.),2025-02-20,7,high,Land-Use/Zoning,ordinance
2025-017,2025-02-20,2025-02-20,amending the existing Rillisante Villas at Divario PD-R (Planned Development Residential) zone on approximately 24.10 acres to amend the approved Rillisante Villas development with conceptual site plan and elevations located generally on the west side of the intersection of Canyon View Drive and Gap,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.02.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.02.20  Ordinances Approved and Adopted by the City Council.pdf,,,2025-02-20,,medium,,ordinance
2025-018,2025-03-06,2025-03-06,amending the City's General Plan by updating the Moderate Income Housing Plan element,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.03.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.03.06  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-03-06,5,high,Land-Use/Zoning,ordinance
2025-019,2025-03-06,2025-03-06,"amending the city zoning map by changing the zone from A-1 (Agricultural) to RE-12.5 (Residential Estates 12,500 square feet minimum lot size) on approximately 9.3 acres generally located on the east side of 3000 East at approximately 1880 South",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.03.06%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.03.06  Ordinances Approved and Adopted by the City Council.pdf,,,2025-03-06,,medium,,ordinance
2025-020,2025-03-20,2025-03-20,amending the city zoning map by changing the zone from C-2 (Highway Commercial) to PD-C (Planned Development Commercial) on approximately 1.88 acres generally located on the southwest corner of 1470 East and 170 South,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.03.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.03.20  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-03-20,3,high,Land-Use/Zoning,ordinance
2025-021,2025-03-20,2025-03-20,amending the Atkinville Interchange Area Zone Plan PD on approximately 5.91 acres,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.03.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.03.20  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-03-20,4,high,Land-Use/Zoning,ordinance
2025-022,2025-03-20,2025-03-20,"amending a portion of Title 9- 13-4 of the City Code to prohibit off-premises signs along SR-7 (State Route 7), also known as Southern Parkway",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.03.20%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.03.20  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-03-20,5,high,Ordinance,ordinance
2025-023,2025-04-24,2025-04-24,amending the Atkinville Interchange PD-C (Planned Development Commercial) zone on approximately 2.01 acres located southeast of Pioneer Road on the existing private road,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.04.24%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.04.24  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-04-24,2,high,Land-Use/Zoning,ordinance
2025-024,2025-04-24,2025-04-24,amending the Dinosaur Crossing PD-C (Planned Development Commercial) zone and approve the design and site plan on approximately 0.66 acres located at the northeast corner of Dinosaur Crossing Drive and Mall Drive,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.04.24%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.04.24  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-04-24,3,high,Land-Use/Zoning,ordinance
2025-025,2025-04-24,2025-04-24,"changing the zone from R-1-10 (Single-Family Residential 10,000 SF minimum lot size) to R-1-6 (Single-Family Residential 6,000 SF minimum lot size) on approximately 1.06 acres generally located at the northern end of the 950 West Circle cul-de-sac, north of 730 North Circle",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.04.24%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.04.24  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-04-24,4,high,Land-Use/Zoning,ordinance
2025-026,2025-04-24,2025-04-24,changing the zone from C-3 (General Commercial) to PD-C (Planned Development Commercial) on approximately 5.73 acres generally located on the north side of 850 North and west of 2957 East,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.04.24%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.04.24  Ordinances Approved and Adopted by the City Council.pdf,,4-0 Pass (The vote was unanimous and the motion carried.),2025-04-24,5,high,Land-Use/Zoning,ordinance
2025-027,2025-05-01,2025-05-01,amending the River Crossing PD-C (Planned Development O ‭Commercial) zone on approximately 1.41 acres located at the southeast corner of River ‭Road and George Washington Boulevard. ‭,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,,2025-05-01,,medium,,ordinance
2025-028,2025-05-01,2025-05-01,"to amend the Bloomington Courtyard PD-C (Planned Development O ‭Commercial) permitted uses list, generally located at the northwest corner of Brigham Road ‭and Pioneer Road. ‭",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,,2025-05-01,,medium,,ordinance
2025-029,2025-05-01,2025-05-01,for a planned development amendment to revise the Sun River O ‭Commons master sign plan. ‭,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,,2025-05-01,,medium,,ordinance
2025-030,2025-05-01,2025-05-01,amending the City's General Plan future land use map from COM O ‭(Commercial) to MDR (Medium Density Residential) on approximately 9.2 acres generally ‭located in the Tonaquint area. ‭,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-05-01,6,high,Land-Use/Zoning,ordinance
2025-031,2025-05-01,2025-05-01,amending the City General Plan by changing the general plan from O ‭LDR (Low Density Residential) and FP (Flood Plain) to COM (Commercial) on approximately ‭4.04 acres located at approximately 2995 South River Road. ‭,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,,2025-05-01,,medium,,ordinance
2025-032,2025-05-01,2025-05-01,amending the City Zoning Map by changing the zone from A-1 O ‭(Agricultural) to PD-C (Planned Development Commercial) on approximately 4.04 acres ‭located at approximately 2995 South River Road. ‭,https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-05-01,8,high,Land-Use/Zoning,ordinance
2025-033,2025-05-01,2025-05-01,"amending the City Zoning Map by changing the zone from R-1-10 O ‭(Single-family, 10,000 ft² minimum lot size) to PD-R (Planned Development Residential) on ‭approximately 9.49 acres located at approximately 1923 South River Road. ‭",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-05-01,10,high,Land-Use/Zoning,ordinance
2025-034,2025-05-01,2025-05-01,"amending Section 10-10-1 of City Code related to Airport Vicinity O ‭Zones: Allowed Uses to include ""warehouse storage"" as a permitted use in the C-RM zone. ‭",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-05-01,11,high,Ordinance,ordinance
2025-036,2025-05-01,2025-05-01,"‭amending the Tech Ridge Development Agreement by removing O ‭section 5.2, Grant of Options in its entirety and replacing it",https://sgcityutah.gov/Documents/Government/City%20Council/Notices/2025/2025.05.01%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.05.01  Ordinances Approved and Adopted by the City Council.pdf,,,2025-05-01,,medium,,ordinance
2025-039,2025-05-22,2025-05-22,"approve Ordinance No. 2025-039 to vacate of a utility easement located west of Gap Canyon Parkway, and across from the west end of Canyon View Drive on Parcel SG-6- 2-34-243.",meeting_minutes/minutes/2025/2025-05-19/2025-05-22_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2025-05-22,5,within_source,Land-Use/Zoning,ordinance
2025-042,2025-05-22,2025-05-22,approve Ordinance No. 2025-042 approving the development agreement for Kachina Cliffs Phase 1 Lot 24 and Kachina Cliffs Phase 2 Lot 38.,meeting_minutes/minutes/2025/2025-05-19/2025-05-22_city-council-regular-meeting.md,2026-07-02,na,derived from meeting_minutes/all_votes.csv motion text (within-source linkage; no independent Recorder notice posted for this date),,,5-0 Pass (The vote was unanimous and the motion carried.),2025-05-22,8,within_source,Land-Use/Zoning,ordinance
2025-043,2025-06-05,2025-06-05,amending the Atkinville Interchange Area Zone Plan PD-C O ‭(Planned Development Commercial) zone on approximately 0.84 acres generally ‭located at the southwest corner of Pioneer Road and Havasu Drive,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.06.05%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.06.05  Ordinances Approved and Adopted by the City Council.pdf,,3-0 Pass (The vote was unanimous and the motion carried.),2025-06-05,2,high,Land-Use/Zoning,ordinance
2025-045,2025-06-19,2025-06-19,amending the prohibited use of ignition sources/fireworks map,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.06.19%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.06.19  Ordinances Approved and Adopted by the City Council.pdf,,,2025-06-19,,medium,,ordinance
2025-046,2025-06-19,2025-06-19,amending the Atkinville Interchange Area Zone Plan PD- C (Planned Development Commercial) zone for a four-story hotel on 2.25 acres generally located northeast of the Pioneer Road and Bluegrass Way intersection,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.06.19%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.06.19  Ordinances Approved and Adopted by the City Council.pdf,,,2025-06-19,,medium,,ordinance
2025-047,2025-06-19,2025-06-19,amending the City general plan for a comprehensive update to the general plan,https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.06.19%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.06.19  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-06-19,12,high,Land-Use/Zoning,ordinance
2025-048,2025-06-19,2025-06-19,"amending portions of Title 3, Chapter 3 of the St. George City Code as it pertains to alcohol licensure and Title 10, Chapter 8 as it relates to zones that allow Bar Establishments",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.06.19%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.06.19  Ordinances Approved and Adopted by the City Council.pdf,,,2025-06-19,,medium,,ordinance
2025-049,2025-06-19,2025-06-19,"amending Title 3, Chapter 2U of the Business License Regulations and Title 5, Chapter 1 of the Police Department Regulation of St. George City Code, pertaining to Tow Truck Rotation",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.06.19%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); cross-matched to council motion citing same ordinance number,raw/2025.06.19  Ordinances Approved and Adopted by the City Council.pdf,,5-0 Pass (The vote was unanimous and the motion carried.),2025-06-19,15,high,Ordinance,ordinance
2025-050,2025-07-17,2025-07-17,"for a zone change from R-3 (Multiple Family Residential) to PD-R (Planned Development Residential), and approval of the accompanying hillside development permit to disturb portions of the property greater than 20% slope, on approximately 7.51 acres generally located at the intersection of Canyon Vie",https://sgcityutah.gov/Documents/Government/City%20Council/Agendas%20And%20Minutes/2025/Notices/2025.07.17%20%20Ordinances%20Approved%20and%20Adopted%20by%20the%20City%20Council.pdf,2026-07-02,text,pdftotext -layout (Recorder Notice of Adoption); no council motion cited this number (likely consent-calendar adoption) — matched by adoption date to that meeting,raw/2025.07.17  Ordinances Approved and Adopted by the City Council.pdf,,,2025-07-17,,medium,,ordinance
