legistar_matter_id,matter_file,name,title,matter_type,status,intro_body,intro_date,agenda_date,passed_date,enactment_number,application_id
5266,23-069,,Council Office recommending that the Council re-adopt the Rules of Procedure for 2023,Resolution,Agenda Ready,City Council,2023-02-15,2023-02-21,,,
5267,23-070,,"City Council considering the adoption of Resolution No. 23-08C, a Resolution of the City Council of Sandy City, Salt Lake County, Utah, authorizing the execution of a Loan Agreement by and between the State of Utah (acting through the Utah Department of Transportation - State Infrastructure Bank) and the City.",Resolution,Passed,City Council,2023-02-15,2023-02-21,2023-02-21,,
5270,23-073,,Recess the City Council meeting and convene a meeting of the Sandy City Redevelopment Agency,Resolution,Passed,City Council,2023-02-15,2023-02-21,2023-02-21,,
5271,23-074,,First Reading: Council Member D'Sousa presenting a proposal to implement a survey approval team,Informational Report,Agenda Ready,City Council,2023-02-16,2023-02-21,,,
5272,23-075,,"Division of Animal Services presenting an amendment to the Sandy City Municipal Code Title 12, ""Animal Service"", Chapter 12-2, ""Hobby License"", relating to the requirements of a Horse Hobby License",Ordinance,Agenda Ready,City Council,2023-02-17,2023-02-21,,,5272
5273,CA01172023-0006470 (CC-WS),,"Amendments related to Temporary Signs: Amend Title 21, Chapter 26, Signage and Outdoor Advertising, Section 8, Temporary Signs, of the Sandy Municipal Code",Informational Report,Agenda Ready,City Council,2023-02-17,2023-02-28,,,
5274,CA01172023-0006470 (CC),,"Amendments related to Temporary Signs: Amend Title 21, Chapter 26, Signage and Outdoor Advertising, Section 8, Temporary Signs, of the Sandy Municipal Code",Ordinance,Passed,City Council,2023-02-17,2023-03-07,2023-03-07,,
5275,23-078,,City Council interviewing James Edwards to serve as a member of the Sandy City Board of Adjustment.,Resolution,Agenda Ready - Work Session,City Council,2023-02-23,2023-02-28,,,
5277,23-080,,"Special Recognition by Healthy Sandy of Clint Juhl, our Healthy Sandy Champion",Special Recognition,Agenda Ready - Work Session,City Council,2023-02-23,2023-02-28,,,
5278,23-081,,City Recorders Office presenting on an Interlocal Agreement (ILA) with Salt Lake County for 2023 election services.,Informational Report,Agenda Ready - Work Session,City Council,2023-02-24,2023-02-28,,,
5279,23-082,,General Citizen Comment Period,Informational Report,Agenda Ready,City Council,2023-02-24,2023-02-28,,,
5280,23-083,,"Possible Closed Session to discuss the purchase, exchange or lease of real property and to discuss the character, professional competence, or physical or mental health of an individual",Informational Report,Passed,City Council,2023-02-24,2023-02-28,2023-02-28,,
5281,23-084,,2022 Annual Report from the South Valley Chamber of Commerce,Informational Report,Agenda Ready - Work Session,City Council,2023-02-24,2023-02-28,,,
5282,23-085,,Presentation of amendments to the Hale Centre Theatre lease agreements due to a building addition.,Informational Report,Agenda Ready - Work Session,City Council,2023-02-24,2023-03-28,,,
5283,23-086,,"Approval of the February 21, 2023 Sandy City Council Draft Minutes",Minutes,Consent Agenda,City Council,2023-02-24,2023-03-07,,,
5284,23-087,,"Approval of the February 14, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-02-27,2023-03-07,,,
5286,SUB02222023-006491,,"Cottages on 80th Subdivision Plat Amendment 8025 S 625 E, 8029 S 625 E and 8031 S 625 E [Sandy Woods, Community #3]",Planning Item,Passed,Planning Commission,2023-03-01,2023-03-16,2023-03-16,,5286
5287,23-090,,Mayor Zoltanski requesting that the Council provide consent to the appointment of James Edwards to serve as a member of the Sandy City Board of Adjustment.,Appointment,Agenda Ready,City Council,2023-03-02,2023-03-07,,,
5288,23-091,,City Recorders Office requesting Council authorization to enter into an Interlocal Agreement (ILA) with Salt Lake County for 2023 election services.,Resolution,Consent Agenda,City Council,2023-03-02,2023-03-07,,,
5289,23-092,,The Fire Department requesting Council approval of an interdepartmental transfer of property from the evidence room to the Fire Department,Resolution,Consent Agenda,City Council,2023-03-02,2023-03-07,,,
5290,23-094,,Administrative Services recommending adoption of Community Development fee amendments and related ordinance cleanup,Ordinance,Agenda Ready,City Council,2023-03-02,2023-03-07,,,
5291,23-095,,Administrative Services providing an update to the ongoing General Fund revenue estimates presented at the February 2nd budget retreat,Informational Report,Agenda Ready,City Council,2023-03-02,2023-03-07,,,
5292,23-096,,General Citizen Comment Period,Informational Report,Agenda Ready,City Council,2023-03-03,2023-03-07,,,
5293,REZ01062023-6463 (CC 1st),,"Community Development Department presenting a zone change application (File #REZ01062023-6463, Larson) submitted by Ron Larson, requesting that 2.5 acres at approximately 963 E. 8600 S. be rezoned to the SD(R-1-7) Zone.",Informational Report,Agenda Ready,City Council,2023-03-07,2023-03-14,,,
5294,23-097,,Sandy Business Connect and business highlight update,Informational Report,Agenda Ready,City Council,2023-03-07,2023-03-14,,,
5295,REZ01062023-6463 (CC Ord),,"Community Development Department presenting a zone change application (File #REZ01062023-6463, Larson) submitted by Ron Larson, requesting that 2.5 acres at approximately 963 E. 8600 S. be rezoned to the SD(R-1-7) Zone.",Ordinance,Agenda Ready,City Council,2023-03-08,2023-03-21,,,5295
5296,23-098,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-03-08,2023-03-14,,,
5297,CUP02152023-006486,,Roderick Accessory Structure - Additional Size and Height Request 4 Dawn Hill [Community #28- Pepper Dell],Planning Item,Passed,Planning Commission,2023-03-08,2023-03-16,2023-03-16,,5297
5298,CUP02152023-006484,,EOS Fitness Sandy 10365 S. 1300 E. (Community #17 - Willow Canyon),Planning Item,Passed,Planning Commission,2023-03-08,2023-03-16,2023-03-16,,5298
5299,23-103,,Tour Map,Informational Report,Agenda Ready,Planning Commission,2023-03-10,2023-03-16,,,
5300,23-104,,"Feb 16, 2023 Meeting",Informational Report,Agenda Ready,Planning Commission,2023-03-10,2023-03-16,,,
5301,23-105,,Development Report,Informational Report,Agenda Ready,Planning Commission,2023-03-10,2023-03-16,,,
5302,23-106,,"Approval of the March 7, 2023 Draft Minutes",Appointment,Consent Agenda,City Council,2023-03-14,2023-03-21,,,
5303,23-107,,"Approval of the March 14, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-03-15,2023-03-21,,,
5304,23-108,,"Approval of the February 28, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-03-15,2023-03-21,,,
5305,23-109,,Mayor Zoltanski requesting the Council's consent to the re-appointment of Tyler Brown as a regular member to the Sandy City Board of Adjustment,Appointment,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5306,23-110,,Mayor Zoltanski requesting the Council's consent to the re-appointment of Brian Jones as a regular member to the Sandy City Board of Adjustment,Appointment,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5307,23-111,,Mayor Zoltanski requesting the Council's consent to the re-appointment of Burke Staker as a regular member to the Sandy City Board of Adjustment,Appointment,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5308,23-112,,Mayor Zoltanski requesting the Council's consent to the re-appointment of Matt Hale as an alternate member to the Sandy City Board of Adjustment,Appointment,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5309,23-113,,Mayor Zoltanski requesting the Council's consent to the re-appointment of David Hart from an alternate member of the Sandy City Planning Commission to a regular member.,Appointment,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5310,23-114,,Mayor Zoltanski requesting the Council's consent to the re-appointment of Cameron Duncan as a regular member of the Sandy City Planning Commission,Appointment,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5311,23-115,,"Parks and Recreation Department recommending that the Mayor and Council Proclaim May 20, 2023, as Arbor Day in Sandy City",Proclamation,Consent Agenda,City Council,2023-03-16,2023-03-21,,,
5312,23-116,,Possible Closed Session to discuss pending or reasonably imminent litigation.,Informational Report,Filed,City Council,2023-03-16,2023-03-21,2023-03-21,,
5313,23-117,,Second Reading: Council Member D'Sousa presenting a proposal to implement a survey approval team,Ordinance,Agenda Ready,City Council,2023-03-16,2023-03-21,,,
5314,23-118,,Recess City Council and convene a meeting of the Sandy City Redevelopment Agency,Resolution,Agenda Ready,City Council,2023-03-16,2023-03-21,,,
5315,23-119,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready,City Council,2023-03-17,2023-03-21,,,
5316,23-120,,Community Development Department presenting the Citizen Advisory Committee's recommendation for the use of Community Development Block Grant funds as will be incorporated in the 2023 Annual Action Plan for the 2023 program year.,Informational Report,Agenda Ready - Work Session,City Council,2023-03-20,2023-03-28,,,
5317,SPR02102023-006483,,"Hale Centre’s Beehive Academy Theatre Addition 9886 S. Monroe St. [Civic Center, Community #2]",Planning Item,Passed,Planning Commission,2023-03-20,2023-03-30,2023-03-30,,5317
5318,SPR#06-40(2023),,"America First Field (Real Salt Lake Soccer Stadium) - 2023 Parking and Access Management Plan 9256 S. State St. [Civic Center, Community #2]",Planning Item,Passed,Planning Commission,2023-03-22,2023-03-30,2023-03-30,,5318
5319,23-123,,"March 16, 2023 Meeting",Informational Report,Agenda Ready,Planning Commission,2023-03-22,2023-03-30,,,
5320,23-124,,Community Development Department proposing membership renewal in the Salt Lake County HOME Consortium for Federal Fiscal Years 2024 through 2026.,Informational Report,Agenda Ready - Work Session,City Council,2023-03-22,2023-03-28,,,
5322,23-126,,Emergency Management Updating the Council on previous accomplishments and upcoming goals for the program,Informational Report,Agenda Ready - Work Session,City Council,2023-03-23,2023-03-28,,,
5323,23-127,,Hale Centre Theatre presenting a review of the Cultural Celebration Series and their 2022 performances.,Informational Report,Agenda Ready - Work Session,City Council,2023-03-23,2023-03-28,,,
5324,23-128,,Public Utilities presenting on the 2023 flood preparedness plan.,Informational Report,Agenda Ready - Work Session,City Council,2023-03-23,2023-03-28,,,
5325,23-129,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-03-24,2023-03-28,,,
5326,23-130,,"Approval of the March 6, 2023 District One Town Hall Draft Minutes",Minutes,Consent Agenda,City Council,2023-03-24,2023-04-04,,,
5327,23-131,,"Possible Closed Session to discuss the deployment of security personnel, devices, or systems",Informational Report,Agenda Ready,City Council,2023-03-29,2023-04-04,,,
5328,23-132,,Mountain West Ballet presenting to the Council an overview of their 2022 season.,Informational Report,Agenda Ready,City Council,2023-03-31,2023-04-04,,,
5329,23-133,,Second Reading: Council Member D'Sousa presenting a proposal to implement a survey approval team,Ordinance,Agenda Ready,City Council,2023-03-31,2023-04-04,,,5329
5332,23-136,,"Approval of the March 21, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-04-03,2023-04-18,,,
5333,23-137,,"Approval of the March 28, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-04-04,2023-04-18,,,
5334,23-138,,"Community Development Department reporting on findings and progress of the General Plan update to a combined work session of the Mayor, Administration, City Council, and Planning Commission.",Informational Report,Agenda Ready,City Council,2023-04-06,2023-04-11,,,
5335,23-139,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-04-07,2023-04-11,,,
5336,23-140,,Possible Closed Session to discuss pending or reasonably imminent litigation.,Informational Report,Passed,City Council,2023-04-07,2023-04-11,2023-04-11,,
5337,MSC03202023-006505,,Interpretation of the term “Mixed Use Development”,Planning Item,Agenda Ready,Planning Commission,2023-04-13,2023-04-20,,,
5338,23-142,,Visit Salt Lake presenting to the Council on the establishment of a tourism assessment area.,Informational Report,Agenda Ready,City Council,2023-04-13,2023-04-18,,,
5339,23-143,,"March 30, 2023 Meeting",Informational Report,Agenda Ready,Planning Commission,2023-04-13,2023-04-20,,,
5340,23-144,,"Community Development Department requesting City Council action regarding the 2023 Annual Action Plan for the use of CDBG funds, including the allocation of funds as recommended by the Citizen Advisory Committee, during the 2023 program year.",Resolution,Agenda Ready,City Council,2023-04-13,2023-04-18,,,
5341,23-145,,First Reading: Alta Canyon Sports Center Naming Rights Proposal,Informational Report,Agenda Ready,City Council,2023-04-14,2023-04-18,,,
5342,23-146,,Council Office recommending that the Council appoint a member of the Council and a Council Executive Staff Member to the newly created Survey Approval Team,Resolution,Agenda Ready,City Council,2023-04-14,2023-04-18,,,
5343,23-147,,Human Resources Department presenting the Council with a Fire Department Step & Grade Pay Plan Proposal,Informational Report,Agenda Ready,City Council,2023-04-14,2023-04-18,,,
5344,23-148,,Parks and Recreation Department presenting the Council with interlocal agreements between Sandy City and Salt Lake County related to TRCC funds,Informational Report,Agenda Ready,City Council,2023-04-14,2023-04-18,,,
5345,23-149,,"Possible Closed Session to discuss the deployment of security personnel, devices, or systems",Informational Report,Passed,City Council,2023-04-14,2023-04-18,2023-04-18,,
5346,23-150,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready,City Council,2023-04-14,2023-04-18,,,
5348,23-152,,Emergency Vehicle Operations Tour & Demonstration,Informational Report,Agenda Ready - Work Session,City Council,2023-04-21,2023-04-25,,,
5349,23-153,,"Approval of the April 18, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-04-21,2023-05-02,,,
5350,SPR12022022-006451,,"Waterford School Student Common’s Building - Preliminary Site Plan Review 1590 E. 9400 S. [Willow Canyon, Community #17]",Planning Item,Passed,Planning Commission,2023-04-21,2023-05-04,2023-05-04,,5350
5351,SPR03022023-006493,,"Waterford School Outdoor Sports Field and Parking Lot - Preliminary Site Plan Review 9502 S. 1700 E. [Willow Creek, Community #17] Presenter: Douglas L. Wheelwright",Planning Item,Passed,Planning Commission,2023-04-21,2023-05-04,2023-05-04,,5351
5352,23-156,,"Approval of the April 4, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-04-21,2023-05-02,,,
5353,SPX04172023-006519,,"Rozenfeld Special Exception for Cuts and Fill over 10 Feet & Alteration of 30% Slope 3802 E Catamount Ridge Way [Granite, Community #30]",Planning Item,Passed,Planning Commission,2023-04-24,2023-05-04,2023-05-04,,5353
5354,23-158,,Salt Lake County requesting the Council provide consent to the inclusion of land within Sandy City in the Convention and Tourism Assessment Area,Resolution,Consent Agenda,City Council,2023-04-25,2023-05-02,,,
5355,23-159,,Parks and Recreation Department requesting Council consent of interlocal agreements between Sandy City and Salt Lake County related to TRCC funds,Resolution,Consent Agenda,City Council,2023-04-25,2023-05-02,,,
5356,SPR12062022-006452,,"Red Sky Apartments (Cairns MU Site Plan Prelim Review) 10145 S. Centennial Pkwy. [Commercial Area, #9]",Planning Item,Passed,Planning Commission,2023-04-27,2023-05-04,2023-05-04,,5356
5357,SUB04102023-006516,,"Red Sky Apartments (Prelim. Comm. Subdivision Review) 10145 S Centennial Pkwy. [Commercial Area, #9]",Planning Item,Passed,Planning Commission,2023-04-27,2023-05-04,2023-05-04,,5357
5358,CUP04272023-006525,,"Red Sky Apartments (Mixed Use Development) 10145 S Centennial Pkwy. [Commercial Area, #9]",Planning Item,Passed,Planning Commission,2023-04-27,2023-05-04,2023-05-04,,5358
5359,23-163,,Field Trip Map,Informational Report,Agenda Ready,Planning Commission,2023-04-27,2023-05-04,,,
5360,23-164,,Minutes,Resolution,Agenda Ready,Planning Commission,2023-04-27,2023-05-04,,,
5361,23-165,,Development Report,Informational Report,Agenda Ready,Planning Commission,2023-04-27,2023-05-04,,,
5362,23-166,,"Special Recognition by Healthy Sandy of Sheree Robinson, our Healthy Sandy Champion",Special Recognition,Agenda Ready,City Council,2023-04-28,2023-05-02,,,
5363,23-167,,"Administrative Services Department presenting a general obligation bond timeline and draft resolution, as related to the rebuild of Sandy Fire Station 31, for Council consideration",Informational Report,Agenda Ready,City Council,2023-04-28,2023-05-02,,,
5364,23-168,,Public Hearing to consider the tentative adoption of the Mayor's FY 2023-24 Tentative Budget for Sandy City and the Alta Canyon Recreation District,Resolution,Public Hearing,City Council,2023-04-28,2023-05-02,,,
5365,23-169,,"Second Reading: Council Members Earl, Robinson, and Sharkey requesting adoption of a resolution of the Sandy City Council, acting in a official capacity, as the Alta Canyon Recreation Special Service District Board of Trustees, authorizing a request for proposals for the Alta Canyon Sports Center naming rights",Resolution,Agenda Ready,City Council,2023-04-28,2023-05-02,,,
5366,23-170,,Human Resources Division presenting the Tentative FY 2023-24 Employee Compensation Plan,Informational Report,Agenda Ready,City Council,2023-04-28,2023-05-02,,,
5367,23-171,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready,City Council,2023-04-28,2023-05-02,,,
5368,BOA03092023-006495,,"South Towne Center Mall Subdivision Plat Amendment Appeal to Review Alleged Error 10450 S State St. [Commercial Area, Community #9]",Planning Item,Agenda Ready,Board of Adjustment,2023-05-01,2023-05-11,,,
5369,23-173,,"Approval of the April 11, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-05-04,2023-05-09,,,
5370,23-175,,Field Trip Map,Informational Report,Agenda Ready,Board of Adjustment,2023-05-04,2023-05-11,,,
5371,23-176,,"Administration, City Council Office, Justice Court, City Attorney's Office,Community Development Department, and Non-Departmental presenting an overview of their FY 2023-24 tentative department budgets.",Informational Report,Agenda Ready - Work Session,City Council,2023-05-05,2023-05-09,,,
5372,23-177,,First Reading: Department Management Studies Proposal,Informational Report,Agenda Ready - Work Session,City Council,2023-05-05,2023-05-09,,,
5373,23-178,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-05-05,2023-05-09,,,
5377,CUP04182023-006520,,"Heavenly Childcare (Category II Home Occupation Conditional Use Permit) 9342 S Maison Dr. [Falcon Park, #16]",Planning Item,Passed,Planning Commission,2023-05-12,2023-05-18,2023-05-18,,5377
5378,SUB03162023-006503,,"Pepperwood Ph 5 & Ph 11F, Amending Lots 505 & 1150 (Preliminary Subdivision Review) 14 E Pepperwood Drive and 8 E Bent Hollow Lane [Pepper Dell, Community 28]",Planning Item,Passed,Planning Commission,2023-05-12,2023-05-18,2023-05-18,,5378
5379,SUB03082023-006494,,"Autumn Ridge at Hidden Valley No. 1 Amended (Preliminary Subdivision Review) 11727 and 11767 S Autumn Ridge Drive [Lone Peak, Community 27]",Planning Item,Passed,Planning Commission,2023-05-12,2023-05-18,2023-05-18,,5379
5380,23-185,,Field Trip Map,Informational Report,Agenda Ready,Planning Commission,2023-05-12,2023-05-18,,,
5381,23-187,,"Minutes from May 4, 2023 Meeting",Informational Report,Agenda Ready,Planning Commission,2023-05-12,2023-05-18,,,
5382,23-188,,"Approval of the May 8, 2023 Town Hall Draft Minutes",Minutes,Consent Agenda,City Council,2023-05-15,2023-05-23,,,
5383,23-189,,"Approval of the May 2, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-05-16,2023-05-23,,,
5384,23-190,,"Approval of the May 9, 2023 Draft Minutes",Minutes,Consent Agenda,City Council,2023-05-17,2023-05-23,,,
5385,23-191,,Metropolitan Water District of Salt Lake and Sandy presenting their FY 2024 Budget.,Informational Report,Agenda Ready - Work Session,City Council,2023-05-18,2023-05-23,,,
5386,23-192,,"Police, Fire and Administrative Services Departments presenting an overview of their FY 2023-24 tentative department budgets.",Informational Report,Agenda Ready - Work Session,City Council,2023-05-18,2023-05-23,,,
5387,23-193,,City Council Office recommending the Council extend its Council Legal Services Agreement with Cowdell Law for an additional year,Informational Report,Agenda Ready - Work Session,City Council,2023-05-18,2023-05-23,,,
5388,23-194,,"Special Recognition of Sergeant Greg Moffitt in recognition and appreciation of his bravery, courage, and heroism in the line of duty.",Special Recognition,Agenda Ready - Work Session,City Council,2023-05-18,2023-05-23,,,
5389,23-195,,"Informational presentation of two resolutions which consider increasing total appropriations within the proprietary and governmental funds for the fiscal year commencing on July 1, 2022 and ending on June 30, 2023",Informational Report,Agenda Ready - Work Session,City Council,2023-05-19,2023-05-23,,,
5391,23-197,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-05-19,2023-05-23,,,
5392,SUB10112022-006417,,"Brand Estates Subdivision 285 East 11000 South [Community #11, Crescent]",Planning Item,Failed,Planning Commission,2023-05-23,2023-06-01,,,5392
5393,SUB01042023-006461,,"Sheep Ranch Subdivision 3170 E. Little Cottonwood Road [Community #30, Alta Canyon]",Planning Item,Failed,Planning Commission,2023-05-23,2023-06-01,,,5393
5394,23-200,,Community Development Department requesting City Council action regarding renewal of the City's membership in the Salt Lake County HOME Consortium for federal fiscal years 2024 through 2026.,Resolution,Passed,City Council,2023-05-23,2023-05-30,2023-05-30,,
5395,23-201,,"Public Works, Public Utilities, Parks and Recreation, and Economic Development Departments presenting an overview of their FY 2023-24 tentative department budgets.",Informational Report,Agenda Ready,City Council,2023-05-25,2023-05-30,,,
5396,23-202,,"Public hearing to consider two resolutions which increase total appropriations within the proprietary and governmental funds for the fiscal year commencing on July 1, 2022 and ending on June 30, 2023",Resolution,Public Hearing,City Council,2023-05-25,2023-05-30,,,
5397,23-203,,"Public Hearing to consider the adoption of the FY 2023-24 Sandy City Budget. This item includes: Resolutions 23-23 C and 23-24 C of Sandy City, adopting tax rates for Sandy City and the Alta Canyon Recreation District for the fiscal year commencing July 1, 2023 and ending June 30,2024; also establishing certain fees and charges in Sandy City for said fiscal year",Resolution,Passed,City Council,2023-05-25,2023-05-30,2023-05-30,,
5398,23-204,,Second Reading: Department Management Studies Proposal,Resolution,Agenda Ready,City Council,2023-05-25,2023-05-30,,,
5399,23-205,,Recess City Council and convene a meeting of the Sandy City Redevelopment Agency,Resolution,Agenda Ready,City Council,2023-05-25,2023-05-30,,,
5400,MSC05262023-006538,,"Interpretation of the term “Mixed Use Development” OneTen Apartments 109 W. 11000 S. [Commercial Area, #9]",Planning Item,Agenda Ready,Planning Commission,2023-05-26,2023-06-01,,,5400
5401,23-207,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready,City Council,2023-05-26,2023-05-30,,,
5402,23-208,,Tour Map,Informational Report,Agenda Ready,Planning Commission,2023-05-26,2023-06-01,,,
5403,23-210,,Development Report,Informational Report,Agenda Ready,Planning Commission,2023-05-26,2023-06-01,,,
5404,23-211,,Minutes,Informational Report,Agenda Ready,Planning Commission,2023-05-26,2023-06-01,,,
5405,ANEX05032023-0065286528,,"The Community Development Department is recommending the City Council adopt Resolution #23-25C indicating the intent to annex an unincorporated area located at approximately 8700 S. 700 W. (southern 24.99 acres), setting a public hearing date to consider such annexation, and directing publication of a hearing notice.",Planning Item,Agenda Ready,City Council,2023-05-26,2023-06-20,,,
5406,23-213,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready,City Council,2023-06-02,2023-06-06,,,
5407,23-214,,Discussion of Council Members' recommended amendments to the FY 2023-2024 Tentative Budget.,Resolution,Agenda Ready,City Council,2023-06-02,2023-06-06,,,
5408,23-215,,"Approval of the May 8, 2023 Town Hall Minutes",Minutes,Consent Agenda,City Council,2023-06-02,2023-06-06,,,
5409,23-216,,City Recorder presenting amendments to Utah Code as related to candidate financial disclosure deadlines,Informational Report,Agenda Ready,City Council,2023-06-02,2023-06-06,,,
5410,SPR08262022-006388,,"VEG Animal Hospital Site Plan Review 11084 S. State St. [South Towne, Community #9]",Planning Item,Passed,Planning Commission,2023-06-05,2023-06-15,2023-06-15,,5410
5413,CUP06222022-006351,,"VEG Animal Hospital Site Plan Review 11084 S. State St. [South Towne, Community #9]",Planning Item,Passed,Planning Commission,2023-06-05,2023-06-15,2023-06-15,,
5414,CA10262022-0006429,,Amendments to Title 21 of the Land Development Code related to Improvement Completion Guarantees (Bonding),Planning Item,Passed,Planning Commission,2023-06-06,2023-06-15,2023-06-15,,5414
5415,23-223,,Map,Informational Report,Agenda Ready,Planning Commission,2023-06-07,2023-06-15,,,
5416,23-224,,Minutes,Informational Report,Agenda Ready,Planning Commission,2023-06-07,2023-06-15,,,
5417,23-225,,Special Recognition of Mr. Leonard Christofferson in recognition of his Outstanding Citizenship by Mayor Zoltanski and the City Council.,Special Recognition,Agenda Ready - Work Session,City Council,2023-06-09,2023-06-13,,,
5418,23-226,,Special Recognition of the Sandy Youth Council in recognition of their participation in the SYC and their service to Sandy City.,Special Recognition,Agenda Ready - Work Session,City Council,2023-06-09,2023-06-13,,,
5419,23-227,,Discussion of Council Members' recommended amendments to the FY 2023-2024 Tentative Budget.,Informational Report,Agenda Ready - Work Session,City Council,2023-06-09,2023-06-13,,,
5420,23-228,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-06-09,2023-06-13,,,
5421,23-229,,City Council Office Recommending amendments to the 2023 City Council Annual Meetings Schedule,Resolution,Consent Agenda,City Council,2023-06-12,2023-06-20,,,
5422,23-230,,Recess of City Council and convene a meeting of the Sandy City Redevelopment Agency,Resolution,Agenda Ready,City Council,2023-06-15,2023-06-20,,,
5423,23-231,,"Approval of the May 23, 2023 City Council Meeting Draft Minutes",Minutes,Consent Agenda,City Council,2023-06-15,2023-06-20,,,
5424,23-232,,City Council Office recommending the Council extend its Council Legal Services Agreement with Cowdell Law for an additional year,Resolution,Consent Agenda,City Council,2023-06-15,2023-06-20,,,
5425,23-233,,Discussion of Council Members' recommended amendments to the FY 2023-2024 Tentative Budget.,Informational Report,Passed,City Council,2023-06-15,2023-06-20,2023-06-20,,
5426,23-234,,"Continued Public Hearing to consider the adoption of the FY 2023-24 Sandy City Budget. This item includes: Resolutions 23-23 C and 23-24 C of Sandy City, adopting tax rates for Sandy City and the Alta Canyon Recreation District for the fiscal year commencing July 1, 2023 and ending June 30,2024; also establishing certain fees and charges in Sandy City for said fiscal year",Resolution,Public Hearing,City Council,2023-06-15,2023-06-20,,,
5427,23-235,,"City Recorder's Office recommending adoption of Ordinance #23-07 amending the Sandy City Code Title 2 Section 2-1-3 ""Elections"" amending the financial disclosure dates to match the State Code.",Resolution,Agenda Ready,City Council,2023-06-16,2023-06-20,,,5427
5428,23-236,,The Administrative Services Department requesting Council approval of an interdepartmental transfer of property from the evidence room to the Facilities Division.,Resolution,Consent Agenda,City Council,2023-06-16,2023-06-20,,,
5429,23-237,,The Police Department requesting Council approval of an interdepartmental transfer of property from the evidence room to the Police Armory.,Resolution,Consent Agenda,City Council,2023-06-16,2023-06-20,,,
5430,23-238,,The Police Department requesting Council approval of an interdepartmental transfer of property from the evidence room to Police Training,Resolution,Consent Agenda,City Council,2023-06-16,2023-06-20,,,
5431,23-239,,The Police Department requesting Council approval of an interdepartmental transfer of property from the evidence room to Police IT,Resolution,Consent Agenda,City Council,2023-06-16,2023-06-20,,,
5432,23-240,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready,City Council,2023-06-16,2023-06-20,,,
5433,CA10262022-0006429 (CC-WC),,Amendments to Title 21 of the Land Development Code related to Improvement Completion Guarantees (Bonding),Informational Report,Agenda Ready,City Council,2023-06-16,2023-07-11,,,
5434,CA10262022-0006429 (CC),,Amendments to Title 21 of the Land Development Code related to Improvement Completion Guarantees (Bonding),Ordinance,Agenda Ready,City Council,2023-06-16,2023-07-18,,,5434
5435,23-243,,"Approval of the May 30, 2023 City Council Draft Minutes",Minutes,Consent Agenda,City Council,2023-06-21,2023-06-27,,,
5436,23-244,,"Approval of the June 6, 2023 City Council Draft Minutes",Minutes,Consent Agenda,City Council,2023-06-21,2023-06-27,,,
5437,23-245,,Sandy City Fire Department providing the Council with an update on fireworks for 2023.,Informational Report,Agenda Ready - Work Session,City Council,2023-06-23,2023-06-27,,,
5438,23-246,,Administrative Services Department providing options and a recommendation for the implementation of the Fiscal Year 2023-24 budget,Informational Report,Passed,City Council,2023-06-23,2023-06-27,2023-06-27,,
5439,23-247,,Salt Lake County Council Member Suzanne Harrison presenting on available tax relief programs,Informational Report,Agenda Ready - Work Session,City Council,2023-06-23,2023-06-27,,,
5440,23-248,,General Citizen Comment Period (No earlier than 6:00 PM),Informational Report,Agenda Ready - Work Session,City Council,2023-06-23,2023-06-27,,,
5441,23-249,,Community Development Department presenting a draft of the second survey associated with the General Plan update process and requesting City Council input prior to release.,Informational Report,Agenda Ready - Work Session,City Council,2023-06-23,2023-06-27,,,
