book,section_no,section_title,char_count
Code of Ordinances,9.04.040,Powers Of Condemnation,467
Code of Ordinances,9.04.050,Fees For The Use Of County Landfill Areas,211
Code of Ordinances,9.04.060,Dumping Illegal,688
Code of Ordinances,9.04.070,Waste Disposal Methods Condemned,559
Code of Ordinances,9.04.080,Burning Of Waste,415
Code of Ordinances,9.04.090,Receptacles For Transportation,741
Code of Ordinances,9.04.100,Spilling On Streets And Property,662
Code of Ordinances,9.04.110,Delay On Streets,292
Code of Ordinances,9.04.120,Receptacles Required,660
Code of Ordinances,9.04.130,Acceptable Refuse Receptacles,823
Code of Ordinances,9.04.140,Misuse Of Receptacles,271
Code of Ordinances,9.04.150,Littering,186
Code of Ordinances,9.04.160,Private Storage Of Garbage And Refuse,372
Code of Ordinances,9.04.170,Uncovered Garbage,238
Code of Ordinances,9.04.180,Wind-Blown Refuse,189
Code of Ordinances,9.04.190,Accumulation Of Refuse On Premises,138
Code of Ordinances,9.04.200,Removal Of Refuse,262
Code of Ordinances,9.04.210,Dead Animals - Prompt Removal Required,270
Code of Ordinances,9.04.220,Dead Animals - Deposit In Water Illegal,226
Code of Ordinances,9.05,"Septic Tank, Cesspool Cleaners",78
Code of Ordinances,9.05.010,Business License,199
Code of Ordinances,9.05.020,Permit Required,234
Code of Ordinances,9.05.030,"Rules, Regulations",174
Code of Ordinances,9.06,Agriculture Protection Area,291
Code of Ordinances,9.06.010,Definitions,404
Code of Ordinances,9.06.020,Review Of Agriculture Protection Areas,95
Code of Ordinances,9.06.030,"Notice, Review, Public Hearing, Evaluation, Area Adding, And Area Removing Requirements",204
Code of Ordinances,9.06.040,Designation,670
Code of Ordinances,9.06.050,Duties,105
Code of Ordinances,9.06.060,Proposal For Creation Of Agriculture Protection Area,1359
Code of Ordinances,9.06.070,Area Requirements,1117
Code of Ordinances,10.01,Skiing Areas,242
Code of Ordinances,10.01.010,Sheriff To Enforce,203
Code of Ordinances,10.01.020,Unsafe Areas - Authorization To Restrict Entrance,270
Code of Ordinances,10.01.030,Entrance Prohibited,257
Code of Ordinances,10.01.040,Unsafe Acts - Reckless Skiing Prohibited,222
Code of Ordinances,10.01.050,Skier Duty In Event Of Collision,445
Code of Ordinances,10.01.060,Violation - Penalty,95
Code of Ordinances,10.02,Boating,195
Code of Ordinances,10.02.010,Definitions,288
Code of Ordinances,10.02.020,Application And Jurisdiction,269
Code of Ordinances,10.02.030,Enforcement,92
Code of Ordinances,10.02.040,Violation And Penalty,199
Code of Ordinances,10.02.050,Flotation Device Required On Provo River,579
Code of Ordinances,10.02.060,Trespass Upon Boats,341
Code of Ordinances,10.03,Boat Rental License,69
Code of Ordinances,10.03.010,Required,293
Code of Ordinances,10.03.020,Inspection,892
Code of Ordinances,10.03.030,Inspection Markings,335
Code of Ordinances,10.04,Boating Equipment,199
Code of Ordinances,10.04.010,Life Preservers,130
Code of Ordinances,10.04.020,Fire Extinguishers,110
Code of Ordinances,10.04.030,"Anchors, Oars And Paddles, Water Pumps, Bailing Cans",176
Code of Ordinances,10.04.040,Fuels,271
Code of Ordinances,10.04.050,Lights,109
Code of Ordinances,10.04.060,Muffling Devices,759
Code of Ordinances,10.04.070,Ventilators,183
Code of Ordinances,10.05,Boating Operation Regulations,367
Code of Ordinances,10.05.010,Exception,258
Code of Ordinances,10.05.020,Operation Generally,189
Code of Ordinances,10.05.030,Reckless Operation,260
Code of Ordinances,10.05.040,Speed In Harbors,323
Code of Ordinances,10.05.050,Meeting,203
Code of Ordinances,10.05.060,Crossing,121
Code of Ordinances,10.05.070,Overtaking,95
Code of Ordinances,10.05.080,Obstruction Of Passageways,201
Code of Ordinances,10.05.090,Operation In Swimming Areas,139
Code of Ordinances,10.05.100,Overloading,155
Code of Ordinances,10.05.110,Mooring To Beacons,254
Code of Ordinances,10.05.120,Intoxication,489
Code of Ordinances,10.05.130,Accidents,541
Code of Ordinances,10.05.140,Interference By Swimmers,1412
Code of Ordinances,,ANIMAL CONTROL,99
Code of Ordinances,,ASSESSOR,91
Code of Ordinances,,ATTORNEY,1052
Code of Ordinances,,BUILDING PERMITS,4230
Code of Ordinances,,CLERK,3404
Code of Ordinances,,AUDITOR,62
Code of Ordinances,,COMMUNITY DEVELOPMENT,4126
Code of Ordinances,,CONSTABLE,2945
Code of Ordinances,,ELECTIONS,992
Code of Ordinances,,FIRE MARSHAL PERMIT,5930
Code of Ordinances,,GENERAL FEES FOR ALL DEPARTMENTS,550
Code of Ordinances,,HEALTH DEPARTMENT,161
Code of Ordinances,,JUSTICE COURT,357
Code of Ordinances,,PUBLIC WORKS,10253
Code of Ordinances,,RECORDER,886
Code of Ordinances,,RECOVERY ZONE FACILITY BONDS,1473
Code of Ordinances,,SECURITY CENTER,3692
Code of Ordinances,,SHERIFF'S OFFICE,5635
Code of Ordinances,,SURVEYOR,958
Code of Ordinances,,TREASURER,103
County Policies,1,County Administration,122
County Policies,,2-100 Motorized Equipment And Vehicles,0
County Policies,,2-200 Facility Use,0
County Policies,,2-300 Paths And Sidewalks,0
County Policies,,2-400 Acceptable Use,53
County Policies,,3-100 Cash Handling Policy,124
County Policies,,3-101 Definitions,3153
County Policies,,3-102 Responsibilities,2011
County Policies,,3-103 Control Standards For Cash Handling,5155
County Policies,,3-104 Authenticating And Refusing Payment,433
County Policies,,4-100 Travel,356
County Policies,,4-101 Definitions,659
County Policies,,4-102 Applicability,719
County Policies,,4-103 Scope And General Requirements Of Policy,1194
County Policies,,4-104 Approval,968
County Policies,,4-105 Lodging,770
County Policies,,4-106 Meals And Incidentals,2933
County Policies,,4-107 Transportation,3150
County Policies,,4-108 Travel Mileage,845
County Policies,,4-109 Rental Of Vehicles,1138
County Policies,,4-110 Other Expenditures,776
County Policies,,4-111 Travel Request Reconciliation,739
County Policies,,4-112 Maintenance Of Travel Records,177
County Policies,,4-113 Canceled Travel,481
County Policies,,4-114 Violation Consequences,218
County Policies,,4-200 Mileage Reimbursement,99
County Policies,,4-201 Definitions,1167
County Policies,,4-402 Mileage Reimbursement For Eligible Individuals,2420
County Policies,,4-203 Violation Consequences,228
County Policies,,4-300 P-Card,0
County Policies,,4-400 Food And Gift,89
County Policies,,4-401 Definitions,158
County Policies,,4-402 Applicability,1208
County Policies,,4-403 Food,5099
County Policies,,4-404 Gifts,6234
County Policies,,4-405 Violation Consequences,320
County Policies,,Section 2 Administration,465
County Policies,,Policy 2-0100 Administration Of Human Resources,2490
County Policies,,Policy 2-0200 County Dept Office Compliance,3569
County Policies,,Policy 2-0300 Career Service Council,3996
County Policies,,Policy 2-0400 Employment Records,2688
County Policies,,"Policy 2-1300 Work Week, Pay Period, Time Entry",4900
County Policies,,"Policy 2-1400 Work Schedules, Rest And Meal Periods",2912
County Policies,,Policy 2-1500 Overtime,6576
County Policies,,Policy 2-1600 Break Time For Nursing Mothers,1937
County Policies,,Policy 2-1700 Telecommuting,8862
County Policies,,Policy 2-2400 Employment Of Relatives,3406
County Policies,,"Policy 2-2500 IT Security, Acceptable Use And Artificial Intelligence",27193
County Policies,,Section 3 Employment,127
County Policies,,Policy 3-1000 Selection Of Career Service,22832
County Policies,,Policy 3-3000 Separations,10033
County Policies,,"Policy 3-4000 Employee Status, Probation, And Trial Periods",8798
County Policies,,Section 4 Employee Relations,535
County Policies,,Policy 4-0100 Non-Discrimination,2702
County Policies,,Policy 4-1000 Grievance And Appeal,5567
County Policies,,Policy 4-1400 Workplace Harassment,7771
County Policies,,Policy 4-1600 Reporting Of Governmental Waste Or Violations,6604
County Policies,,Policy 4-2550 Social Media,5185
County Policies,,Policy 4-2800 Fitness For Duty,6120
County Policies,,Policy 4-4000 Standards Of Conduct,7302
County Policies,,Policy 4-4500 Drug And Alcohol-Free Workplace,21257
County Policies,,Policy 4-4600 DOT Drug And Alcohol,19991
County Policies,,Policy 4-6000 Incompatible Outside Employment,2868
County Policies,,Policy 4-7000 Ethics And Conflicts Of Interest,2220
County Policies,,Policy 4-7500 Political Activity,3359
County Policies,,Policy 4-8000 Progressive Discipline,9780
County Policies,,Policy 4-8500 Performance Appraisal,3492
County Policies,,Section 5 Compensation And Benefits,178
County Policies,,Policy 5-0100 Pay Plan,12818
County Policies,,Policy 5-0200 ADA Reasonable Accommodation,6418
County Policies,,Policy 5-0300 Group Insurance Plans,14045
County Policies,,Policy 5-0400 FMLA,13632
County Policies,,Policy 5-0500 Leave,32246
County Policies,,Policy 5-0600 Position Classification,6871
