ordinance_no,adoption_date,date,title,source_url,retrieved_date,format,extraction_method,path,land_use,result,matched_motion_date,matched_motion_no,match_confidence,kind,date_basis,lu_basis,n_motions,origin,audit_flag
25-03,2025-05-06,2025-05-06,Ordinance 25-03 — Boundary Adjustment City of Logan and Millville City,https://www.loganutah.gov/departments/admin/council/25-03%20Boundary%20Adjustment%20City%20of%20Logan%20and%20Millville%20City.pdf?t=20250618160049272,2026-07-05,scanned,recorder_pdf,raw/ord_25-03_Boundary_Adjustment_City_of_Logan_and_Millville_City.pdf,yes,5-0 Pass,2025-05-06,4,high,Ordinance,council_motion,keyword,5,archive,
25-04,2025-05-06,2025-05-06,Ordinance 25-04 — Boundary Ajustment Logan and Nibley City,https://www.loganutah.gov/departments/admin/council/25-04%20Boundary%20Ajustment%20Logan%20and%20Nibley%20City.pdf?t=20250713133420669,2026-07-05,scanned,recorder_pdf,raw/ord_25-04_Boundary_Ajustment_Logan_and_Nibley_City.pdf,yes,5-0 Pass,2025-05-06,5,high,Ordinance,council_motion,keyword,5,archive,
25-05,2025-04-15,2025-04-15,Ordinance 25-05 — LDC Chapter South Gateway and Temporary Signs,https://www.loganutah.gov/departments/admin/council/25-05%20LDC%20Chapter%20South%20Gateway%20and%20Temporary%20Signs.pdf?t=20250416170428484,2026-07-05,scanned,recorder_pdf,raw/ord_25-05_LDC_Chapter_South_Gateway_and_Temporary_Signs.pdf,yes,5-0 Pass,2025-04-15,4,high,Ordinance,council_motion,keyword,5,archive,
25-07,2025-05-06,2025-05-06,Ordinance 25-07 — West Pointe Downzone 310 West 1400 North,https://www.loganutah.gov/departments/admin/council/25-07%20West%20Pointe%20Downzone%20310%20West%201400%20North.pdf?t=20250507111934369,2026-07-05,scanned,recorder_pdf,raw/ord_25-07_West_Pointe_Downzone_310_West_1400_North.pdf,yes,5-0 Pass,2025-05-06,6,high,Ordinance,council_motion,keyword,5,archive,
25-08,2025-05-20,2025-05-20,Ordinance 25-08 — Cache Valley Transit Distirct Rezone,https://www.loganutah.gov/departments/admin/council/25-08%20Cache%20Valley%20Transit%20Distirct%20Rezone.pdf?t=20250522115727581,2026-07-05,scanned,recorder_pdf,raw/ord_25-08_Cache_Valley_Transit_Distirct_Rezone.pdf,yes,5-0 Pass,2025-05-20,4,high,Ordinance,council_motion,keyword,5,archive,
25-09,2025-06-17,2025-06-17,Ordinance 25-09 — Elective and Statutory Officers Wages,https://www.loganutah.gov/departments/admin/council/25-09%20Elective%20and%20Statutory%20Officers%20Wages.pdf?t=20250618105851872,,na,recorder_listing,,no,5-0 Pass,2025-06-17,6,high,Ordinance,council_motion,,5,archive,
25-10,2025-08-05,2025-08-05,Ordinance 25-10 — Readoption Adjusting the Municipal Boundaries of the City of Logan and Nibley City,https://www.loganutah.gov/departments/admin/council/25-10%20Readoption%20Adjusting%20the%20Municipal%20Boundaries%20of%20the%20City%20of%20Logan%20and%20Nibley%20City.pdf?t=20250905171321927,2026-07-05,scanned,recorder_pdf,raw/ord_25-10_Readoption_Adjusting_the_Municipal_Boundaries_of_the_City_of_Logan_and_Nib.pdf,yes,4-0 Pass,2025-08-05,4,high,Ordinance,council_motion,keyword,5,archive,
25-11,2025-10-21,2025-10-21,Ordinance 25-11 — Critical Lands Overlay Zone Riparian Areas,https://www.loganutah.gov/departments/admin/council/25-11%20Critical%20Lands%20Overlay%20Zone%20Riparian%20Areas.pdf?t=20251028173953417,2026-07-05,scanned,recorder_pdf,raw/ord_25-11_Critical_Lands_Overlay_Zone_Riparian_Areas.pdf,yes,4-1 Pass,2025-10-21,3,high,Ordinance,council_motion,keyword,20,archive,
25-12,2025-08-19,2025-08-19,Ordinance 25-12 — National Incident Management System NIMS,https://www.loganutah.gov/departments/admin/council/25-12%20National%20Incident%20Management%20System%20NIMS.pdf?t=20250820135444348,,na,recorder_listing,,no,5-0 Pass,2025-08-19,3,high,Ordinance,council_motion,,5,archive,
25-13,2025-09-02,2025-09-02,Ordinance 25-13 — Camping on Public Property LMC,https://www.loganutah.gov/departments/admin/council/25-13%20Camping%20on%20Public%20Property%20LMC.pdf?t=20250903112929606,,na,recorder_listing,,no,5-0 Pass,2025-09-02,3,high,Ordinance,council_motion,,5,archive,
25-14,2025-09-16,2025-09-16,Ordinance 25-14 — Sierra Meadows Rezone 1300 W 450 S - DENIED,https://www.loganutah.gov/departments/admin/council/25-14%20Sierra%20Meadows%20Rezone%201300%20W%20450%20S%20-%20DENIED.pdf?t=20250917125218425,2026-07-05,scanned,recorder_pdf,raw/ord_25-14_Sierra_Meadows_Rezone_1300_W_450_S_-_DENIED.pdf,yes,5-0 Pass,2025-09-16,3,high,Ordinance,council_motion,keyword,5,archive,
25-15,2025-09-16,2025-09-16,Ordinance 25-15 — Honey Rezone 165 N 200 E - DENIED,https://www.loganutah.gov/departments/25-15Honey%20Rezone%20165%20N%20200%20E%20-%20DENIED.pdf?t=20250917125311018,2026-07-05,scanned,recorder_pdf,raw/ord_25-15_Honey_Rezone_165_N_200_E_-_DENIED.pdf,yes,4-1 Pass,2025-09-16,4,high,Ordinance,council_motion,keyword,5,archive,
25-16,2025-10-07,2025-10-07,Ordinance 25-16 — Willow Lakes Phase 5 Planned Development Overlay Zone,https://www.loganutah.gov/departments/admin/council/25-16%20Willow%20Lakes%20Phase%205%20Planned%20Development%20Overlay%20Zone.pdf?t=20251008140500934,2026-07-05,scanned,recorder_pdf,raw/ord_25-16_Willow_Lakes_Phase_5_Planned_Development_Overlay_Zone.pdf,yes,4-0 Pass,2025-10-07,3,high,Ordinance,council_motion,keyword,10,archive,
25-17,2025-10-21,2025-10-21,Ordinance 25-17 — Land Development Code Amendments,https://www.loganutah.gov/departments/admin/council/25-17%20Land%20Development%20Code%20Amendments.pdf?t=20251022135938718,2026-07-05,scanned,recorder_pdf,raw/ord_25-17_Land_Development_Code_Amendments.pdf,yes,5-0 Pass,2025-10-21,4,high,Ordinance,council_motion,keyword,5,archive,
25-18,2025-10-21,2025-10-21,Ordinance 25-18 — Historic District Overlay Zone,https://www.loganutah.gov/departments/admin/council/25-18%20Historic%20District%20Overlay%20Zone.pdf?t=20251022140048734,2026-07-05,scanned,recorder_pdf,raw/ord_25-18_Historic_District_Overlay_Zone.pdf,yes,3-2 Pass,2025-10-21,5,high,Ordinance,council_motion,keyword,5,archive,
25-19,2025-10-21,2025-10-21,Ordinance 25-19 — Cache Valley Marketplace Planned Development Overlay Code Amendment,https://www.loganutah.gov/departments/admin/council/25-19%20Cache%20Valley%20Marketplace%20Planned%20Development%20Overlay%20Code%20Amendment.pdf?t=20251028174052846,2026-07-05,scanned,recorder_pdf,raw/ord_25-19_Cache_Valley_Marketplace_Planned_Development_Overlay_Code_Amendment.pdf,yes,5-0 Pass,2025-10-21,7,high,Ordinance,council_motion,keyword,6,archive,
25-20,2025-11-18,2025-11-18,Ordinance 25-20 — Land Development Code Amendment Infill and Flag Lots,https://www.loganutah.gov/departments/admin/council/25-20%20Land%20Development%20Code%20Amendment%20Infill%20and%20Flag%20Lots.pdf?t=20251119111803552,2026-07-05,scanned,recorder_pdf,raw/ord_25-20_Land_Development_Code_Amendment_Infill_and_Flag_Lots.pdf,yes,3-1 Pass,2025-11-18,2,high,Ordinance,council_motion,keyword,4,archive,
25-21,,2025-12-03,Ordinance 25-21 — LMC Wildland Urban Interface Code,https://www.loganutah.gov/departments/admin/council/25-21%20LMC%20Wildland%20Urban%20Interface%20Code.pdf?t=2025120316552662,2026-07-05,scanned,recorder_pdf,raw/ord_25-21_LMC_Wildland_Urban_Interface_Code.pdf,no,,,,none,Ordinance,recorder_posted,,0,archive,adopted_no_vote_row
25-22,2025-12-02,2025-12-02,Ordinance 25-22 — LMC Regulating Alcoholic Beverages,https://www.loganutah.gov/departments/admin/council/25-22%20LMC%20Regulating%20Alcoholic%20Beverages.pdf?t=20251203165615983,,na,recorder_listing,,no,3-0-1abs Pass,2025-12-02,4,high,Ordinance,council_motion,,4,archive,
25-23,2025-12-16,2025-12-16,Ordinance 25-23 — YABC Rezone at 920 North 200 West,https://www.loganutah.gov/departments/admin/council/25-23%20YABC%20Rezone%20at%20920%20North%20200%20West.pdf?t=20251219102340134,2026-07-05,scanned,recorder_pdf,raw/ord_25-23_YABC_Rezone_at_920_North_200_West.pdf,yes,4-0 Pass,2025-12-16,4,high,Ordinance,council_motion,keyword,4,archive,
25-24,2025-12-16,2025-12-16,Ordinance 25-24 — Storm Water Violation Fees Code Amendment,https://www.loganutah.gov/departments/admin/council/25-24%20Storm%20Water%20Violation%20Fees%20Code%20Amendment.pdf?t=20251217173440261,,na,recorder_listing,,no,4-0 Pass,2025-12-16,5,high,Ordinance,council_motion,,4,archive,
25-25,2025-12-16,2025-12-16,Ordinance 25-25 — Cache Valley Marketplace Planned Development Overlay Amendment 2,https://www.loganutah.gov/departments/admin/25-25%20Cache%20Valley%20Marketplace%20Planned%20Development%20Overlay%20Amendment%202.pdf?t=20251217173659143,2026-07-05,scanned,recorder_pdf,raw/ord_25-25_Cache_Valley_Marketplace_Planned_Development_Overlay_Amendment_2.pdf,yes,4-0 Pass,2025-12-16,6,high,Ordinance,council_motion,keyword,4,archive,
26-01,2026-01-20,2026-01-20,Ordinance 26-01 — Future Bookshop Rezone 404 Park Avenue,https://www.loganutah.gov/departments/admin/council/26-01%20Future%20Bookshop%20Rezone%20404%20Park%20Avenue.pdf?t=20260121173520205,2026-07-05,scanned,recorder_pdf,raw/ord_26-01_Future_Bookshop_Rezone_404_Park_Avenue.pdf,yes,5-0 Pass,2026-01-20,6,high,Ordinance,council_motion,keyword,5,archive,
26-02,2026-01-20,2026-01-20,Ordinance 26-02 — Fairgrounds North Rezone,https://www.loganutah.gov/departments/admin/council/26-02%20Fairgrounds%20North%20Rezone.pdf?t=20260121173632954,2026-07-05,scanned,recorder_pdf,raw/ord_26-02_Fairgrounds_North_Rezone.pdf,yes,4-1 Pass,2026-01-20,7,high,Ordinance,council_motion,keyword,5,archive,
26-03,2026-01-20,2026-01-20,Ordinance 26-03 — Right of Way Vacation 900 North 1000 West,https://www.loganutah.gov/departments/admin/council/26-03%20Right%20of%20Way%20Vacation%20900%20North%201000%20West.pdf?t=20260121174119296,2026-07-05,scanned,recorder_pdf,raw/ord_26-03_Right_of_Way_Vacation_900_North_1000_West.pdf,yes,5-0 Pass,2026-01-20,8,high,Ordinance,council_motion,keyword,5,archive,
26-04,2026-01-20,2026-01-20,Ordinance 26-04 — Electrical Easement Vacation Cache Valley Marketplace,https://www.loganutah.gov/departments/admin/council/26-04%20Electrical%20Easement%20Vacation%20Cache%20Valley%20Marketplace.pdf?t=2026012117453408,2026-07-05,scanned,recorder_pdf,raw/ord_26-04_Electrical_Easement_Vacation_Cache_Valley_Marketplace.pdf,yes,5-0 Pass,2026-01-20,9,high,Ordinance,council_motion,keyword,5,archive,
26-05,2026-02-17,2026-02-17,Ordinance 26-05 — Logan Crossroads Rezone 790 & 796 South Main,https://www.loganutah.gov/departments/admin/council/26-05%20Logan%20Crossroads%20Rezone%20790%20&%20796%20South%20Main.pdf?t=20260218164647174,2026-07-05,scanned,recorder_pdf,raw/ord_26-05_Logan_Crossroads_Rezone_790_796_South_Main.pdf,yes,5-0 Pass,2026-02-17,2,high,Ordinance,council_motion,keyword,5,archive,
26-06,2026-03-17,2026-03-17,Ordinance 26-06 — Jed Willets Downzone 1354 N 220 W,https://www.loganutah.gov/departments/admin/council/26-06%20Jed%20Willets%20Downzone%201354%20N%20220%20W.pdf?t=20260318165158506,2026-07-05,text,recorder_pdf,raw/ord_26-06_Jed_Willets_Downzone_1354_N_220_W.pdf,yes,5-0 Pass,2026-03-17,3,high,Ordinance,council_motion,keyword,5,archive,
26-08,,2026-06-17,Ordinance 26-08 — Salary Schedules for Logan Elected and Executive Municipal Officers 2026 2027,https://www.loganutah.gov/departments/admin/council/26-08%20Salary%20Schedules%20for%20Logan%20Elected%20and%20Executive%20Municipal%20Officers%202026%202027.pdf?t=20260617115250525,2026-07-05,text,recorder_pdf,raw/ord_26-08_Salary_Schedules_for_Logan_Elected_and_Executive_Municipal_Officers_2026_2.pdf,no,,,,none,Ordinance,recorder_posted,,0,archive,adopted_no_vote_row
26-09,2026-06-02,2026-06-02,Ordinance 26-09 — Business License Provision and Mobile Food Vendors,https://www.loganutah.gov/departments/admin/council/26-09%20Business%20License%20Provision%20and%20Mobile%20Food%20Vendors.pdf?t=20260603163013882,,na,recorder_listing,,no,5-0 Pass,2026-06-02,2,high,Ordinance,council_motion,,5,archive,
26-12,,2026-07-01,Ordinance 26-12 — Temporary-Moratoriam Land Use Regulation Prohibiting Data Centers and Data Center Power Plants,https://www.loganutah.gov/departments/admin/council/26-12%20Temporary-Moratoriam%20Land%20Use%20Regulation%20Prohibiting%20Data%20Centers%20and%20Data%20Center%20Power%20Plants.pdf?t=20260701162219174,2026-07-05,text,recorder_pdf,raw/ord_26-12_Temporary-Moratoriam_Land_Use_Regulation_Prohibiting_Data_Centers_and_Data.pdf,yes,,,,none,Ordinance,recorder_posted,keyword,0,archive,adopted_no_vote_row
20-01,2020-01-21,2020-01-21,Resolution 20-01 — Logan River Blue Trail Master Plan,https://www.loganutah.gov/departments/admin/recorder/20-01%20Logan%20River%20Blue%20Trail%20Master%20Plan.pdf?t=202002201742270,2026-07-05,text,recorder_pdf,raw/res_20-01_Logan_River_Blue_Trail_Master_Plan.pdf,yes,Carried (no names),2020-01-21,4,high,Resolution,council_motion,keyword,1,archive,
20-02,2020-01-21,2020-01-21,Resolution 20-02 — Budget Adjusments,https://www.loganutah.gov/departments/admin/recorder/20-02%20Budget%20Adjusments.pdf?t=202002201742570,,na,recorder_listing,,no,Carried unanimously (no names),2020-01-21,3,high,Resolution,council_motion,,1,archive,
20-03,2020-02-04,2020-02-04,Resolution 20-03 — Budget Adjustment,https://www.loganutah.gov/departments/admin/recorder/20-03%20Budget%20Adjustment.pdf?t=202002201743410,,na,recorder_listing,,no,Carried unanimously (no names),2020-02-04,5,high,Resolution,council_motion,,1,archive,
20-04,2020-02-18,2020-02-18,Resolution 20-04 — Budget Adjustment,https://www.loganutah.gov/departments/admin/recorder/20-04%20Budget%20Adjustment.pdf?t=202002201744190,,na,recorder_listing,,no,5-0 Pass,2020-02-18,2,high,Resolution,council_motion,,5,archive,
20-05,2020-03-03,2020-03-03,Resolution 20-05 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-05%20Budget%20Adjustments.pdf?t=202010091123380,,na,recorder_listing,,no,Carried unanimously (no names),2020-03-03,3,high,Resolution,council_motion,,1,archive,
20-06,2020-04-07,2020-04-07,Resolution 20-06 — Landlord License Fees,https://www.loganutah.gov/departments/admin/council/20-06%20Landlord%20License%20Fees.pdf?t=202010091124120,,na,recorder_listing,,no,4-1 Pass,2020-04-07,5,high,Resolution,council_motion,,5,archive,
20-07,2020-04-07,2020-04-07,Resolution 20-07 — Interlocal Agreement City of Logan and North Logan Fire and EMS Services,https://www.loganutah.gov/departments/admin/council/20-07%20Interlocal%20Agreement%20City%20of%20Logan%20and%20North%20Logan%20Fire%20and%20EMS%20Services.pdf?t=202010091124450,,na,recorder_listing,,no,5-0 Pass,2020-04-07,2,high,Resolution,council_motion,,5,archive,
20-08,2020-04-07,2020-04-07,Resolution 20-08 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-08%20Budget%20Adjustments.pdf?t=202010091125140,,na,recorder_listing,,no,5-0 Pass,2020-04-07,3,high,Resolution,council_motion,,5,archive,
20-09,2020-04-07,2020-04-07,Resolution 20-09 — Building Permit Fees,https://www.loganutah.gov/departments/admin/council/20-09%20Building%20Permit%20Fees.pdf?t=202010091125470,,na,recorder_listing,,no,4-1 Pass,2020-04-07,6,high,Resolution,council_motion,,5,archive,
20-10,2020-04-07,2020-04-07,Resolution 20-10 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-10%20Budget%20Adjustments.pdf?t=202010091126190,,na,recorder_listing,,no,5-0 Pass,2020-04-07,4,high,Resolution,council_motion,,5,archive,
20-11,2020-04-21,2020-04-21,Resolution 20-11 — Pretreatment Rates,https://www.loganutah.gov/departments/admin/council/20-11%20Pretreatment%20Rates.pdf?t=202010091126500,,na,recorder_listing,,no,5-0 Pass,2020-04-21,2,high,Resolution,council_motion,,5,archive,
20-12,2020-04-21,2020-04-21,Resolution 20-12 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-12%20Budget%20Adjustments.pdf?t=202010091127220,,na,recorder_listing,,no,5-0 Pass,2020-04-21,3,high,Resolution,council_motion,,5,archive,
20-13,2020-05-05,2020-05-05,Resolution 20-13 — Budget Adjustment,https://www.loganutah.gov/departments/admin/council/20-13%20Budget%20Adjustment.pdf?t=202010091127540,,na,recorder_listing,,no,5-0 Pass,2020-05-05,2,high,Resolution,council_motion,,5,archive,
20-14,2020-06-02,2020-06-02,Resolution 20-14 — CDBG Annual Action Plan,https://www.loganutah.gov/departments/admin/council/20-14%20CDBG%20Annual%20Action%20Plan.pdf?t=202010091128250,,na,recorder_listing,,no,4-1 Pass (no names),2020-06-02,4,high,Resolution,council_motion,,1,archive,
20-15,2020-05-05,2020-05-05,Resolution 20-15 — CDBG Amendment Cares Act COVID Funding,https://www.loganutah.gov/departments/admin/council/20-15%20CDBG%20Amendment%20Cares%20Act%20COVID%20Funding.pdf?t=202010091128530,,na,recorder_listing,,no,4-0-1abs Pass,2020-05-05,6,high,Resolution,council_motion,,5,archive,
20-16,2020-06-16,2020-06-16,Resolution 20-16 — Elected Officials Wages,https://www.loganutah.gov/departments/admin/council/20-16%20Elected%20Officials%20Wages.pdf?t=202010091129260,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-16,8,high,Resolution,council_motion,,1,archive,
20-17,2020-06-16,2020-06-16,Resolution 20-17 — URS Contribution Plan,https://www.loganutah.gov/departments/admin/council/20-17%20URS%20Contribution%20Plan.pdf?t=202010091129580,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-16,9,high,Resolution,council_motion,,1,archive,
20-18,2020-06-16,2020-06-16,Resolution 20-18 — Property Tax Rate for Fiscal Year 2020 2021,https://www.loganutah.gov/departments/admin/council/20-18%20Property%20Tax%20Rate%20for%20Fiscal%20Year%202020%202021.pdf?t=202010091130330,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-16,7,high,Resolution,council_motion,,1,archive,
20-19,2020-06-16,2020-06-16,Resolution 20-19 — Final Revenue and Expenditure Budgets for 2020 2021,https://www.loganutah.gov/departments/admin/council/20-19%20Final%20Revenue%20and%20Expenditure%20Budgets%20for%202020%202021.pdf?t=202010091131170,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-16,10,high,Resolution,council_motion,,1,archive,
20-20,2020-06-16,2020-06-16,Resolution 20-20 — RDA Final Redevelopment Area Budget Fiscal Year 2020 2021,https://www.loganutah.gov/departments/admin/council/20-20%20RDA%20Final%20Redevelopment%20Area%20Budget%20Fiscal%20Year%202020%202021.pdf?t=202010091133380,,na,recorder_listing,,no,Carried (no names),2020-06-16,1,high,Resolution,council_motion,,1,archive,
20-21,2020-06-02,2020-06-02,Resolution 20-21 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-21%20Budget%20Adjustments.pdf?t=202010091134190,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-02,3,high,Resolution,council_motion,,1,archive,
20-22,2020-07-07,2020-07-07,Resolution 20-22 — Public Art Plan,https://www.loganutah.gov/departments/admin/council/20-22%20Public%20Art%20Plan.pdf?t=202010091134550,,na,recorder_listing,,no,Carried unanimously (no names),2020-07-07,3,high,Resolution,council_motion,,1,archive,
20-23,2020-06-16,2020-06-16,Resolution 20-23 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-23%20Budget%20Adjustments.pdf?t=202010091135440,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-16,5,high,Resolution,council_motion,,1,archive,
20-24,2020-06-16,2020-06-16,Resolution 20-24 — Budget Adjustment Cares Act COVID 19 Relief,https://www.loganutah.gov/departments/admin/20-24%20Budget%20Adjustment%20Cares%20Act%20COVID%2019%20Relief.pdf?t=202010091136160,,na,recorder_listing,,no,Carried unanimously (no names),2020-06-16,6,high,Resolution,council_motion,,1,archive,
20-25,2020-07-21,2020-07-21,Resolution 20-25 — Withdrawal from NUERA,https://www.loganutah.gov/departments/admin/council/20-25%20Withdrawal%20from%20NUERA.pdf?t=20210617114614462,,na,recorder_listing,,no,Carried unanimously (no names),2020-07-21,5,high,Resolution,council_motion,,1,archive,
20-26,2020-07-21,2020-07-21,Resolution 20-26 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-26%20Budget%20Adjustments.pdf?t=202010091137270,,na,recorder_listing,,no,Carried unanimously (no names),2020-07-21,2,high,Resolution,council_motion,,1,archive,
20-27,2020-07-21,2020-07-21,Resolution 20-27 — RDA Budget Adjustment Downtown Block Demolition,https://www.loganutah.gov/departments/admin/council/20-27%20RDA%20Budget%20Adjustment%20Downtown%20Block%20Demolition.pdf?t=202010091138040,,na,recorder_listing,,no,3-1 Pass (no names),2020-07-21,1,high,Resolution,council_motion,,1,archive,
20-28,2020-07-07,2020-07-07,Resolution 20-28 — CARES Act Administration,https://www.loganutah.gov/departments/admin/council/20-28%20CARES%20Act%20Administration.pdf?t=202010091138380,,na,recorder_listing,,no,4-1 Pass (no names),2020-07-07,5,high,Resolution,council_motion,,1,archive,
20-29,2020-07-21,2020-07-21,Resolution 20-29 — Revised Water Rates,https://www.loganutah.gov/departments/admin/council/20-29%20Revised%20Water%20Rates.pdf?t=202010091139390,,na,recorder_listing,,no,Carried unanimously (no names),2020-07-21,3,high,Resolution,council_motion,,1,archive,
20-30,2020-08-04,2020-08-04,Resolution 20-30 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-30%20Budget%20Adjustments.pdf?t=202010091140130,,na,recorder_listing,,no,Carried unanimously (no names),2020-08-04,3,high,Resolution,council_motion,,1,archive,
20-31,2020-08-04,2020-08-04,Resolution 20-31 — RDA Blue Spring Business Park,https://www.loganutah.gov/departments/admin/council/20-31%20RDA%20Blue%20Spring%20Business%20Park.pdf?t=202010091140520,,na,recorder_listing,,no,Carried (no names),2020-08-04,1,high,Resolution,council_motion,,1,archive,
20-32,2020-08-18,2020-08-18,Resolution 20-32 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-32%20Budget%20Adjustments.pdf?t=202010091141280,,na,recorder_listing,,no,Carried unanimously (no names),2020-08-18,3,high,Resolution,council_motion,,1,archive,
20-33,2020-08-18,2020-08-18,Resolution 20-33 — Withdrawal from the Carbon Free Power Project Power Sales Contract,https://www.loganutah.gov/departments/admin/council/20-33%20Withdrawal%20from%20the%20Carbon%20Free%20Power%20Project%20Power%20Sales%20Contract.pdf?t=202010091142010,,na,recorder_listing,,no,4-1 Pass (no names),2020-08-18,5,high,Resolution,council_motion,,2,archive,
20-34,2020-09-01,2020-09-01,Resolution 20-34 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-34%20Budget%20Adjustments.pdf?t=202010091142330,,na,recorder_listing,,no,Carried unanimously (no names),2020-09-01,3,high,Resolution,council_motion,,1,archive,
20-35,2020-09-01,2020-09-01,Resolution 20-35 — Carry Forwards,https://www.loganutah.gov/departments/admin/council/20-35%20Carry%20Forwards.pdf?t=202010091143060,,na,recorder_listing,,no,Carried unanimously (no names),2020-09-01,4,high,Resolution,council_motion,,1,archive,
20-36,2020-09-01,2020-09-01,Resolution 20-36 — RDA Budget Adjustment Needham Property 300 North,https://www.loganutah.gov/departments/admin/council/20-36%20RDA%20Budget%20Adjustment%20Needham%20Property%20300%20North.pdf?t=202010091143520,,na,recorder_listing,,no,Carried unanimously (no names),2020-09-01,1,high,Resolution,council_motion,,1,archive,
20-37,2020-08-18,2020-08-18,Resolution 20-37 — Directing the Wearing of Face Coverings Due to COVID-19,https://www.loganutah.gov/departments/admin/council/20-37%20Directing%20the%20Wearing%20of%20Face%20Coverings%20Due%20to%20COVID-19.pdf?t=202010091144380,,na,recorder_listing,,no,4-1 Pass (no names),2020-08-18,2,high,Resolution,council_motion,,1,archive,
20-38,2020-09-15,2020-09-15,Resolution 20-38 — RDA Mill Creek Downtown Redevelopment,https://www.loganutah.gov/departments/admin/council/20-38%20RDA%20Mill%20Creek%20Downtown%20Redevelopment.pdf?t=202010091145120,,na,recorder_listing,,no,Carried (no names),2020-09-15,2,high,Resolution,council_motion,,1,archive,
20-39,2020-09-15,2020-09-15,Resolution 20-39 — RDA Emporium Demo Carry Forward,https://www.loganutah.gov/departments/admin/council/20-39%20RDA%20Emporium%20Demo%20Carry%20Forward.pdf?t=202010091145490,,na,recorder_listing,,no,Carried (no names),2020-09-15,1,high,Resolution,council_motion,,1,archive,
20-40,2020-09-15,2020-09-15,Resolution 20-40 — Budget Adjustment,https://www.loganutah.gov/departments/admin/council/20-40%20Budget%20Adjustment.pdf?t=202010091146210,,na,recorder_listing,,no,Carried unanimously (no names),2020-09-15,3,high,Resolution,council_motion,,1,archive,
20-41,2020-09-01,2020-09-01,Resolution 20-41 — Logan Cache Airport Grant Agreements for Improvements,https://www.loganutah.gov/departments/admin/council/20-41%20Logan%20Cache%20Airport%20Grant%20Agreements%20for%20Improvements.pdf?t=202010091146550,,na,recorder_listing,,no,Carried unanimously (no names),2020-09-01,2,high,Resolution,council_motion,,1,archive,
20-42,2020-10-06,2020-10-06,Resolution 20-42 — Budget Adjustment 300 North Main Street Library,https://www.loganutah.gov/departments/admin/council/20-42%20Budget%20Adjustment%20300%20North%20Main%20Street%20Library.pdf?t=202010091147320,,na,recorder_listing,,no,Carried unanimously (no names),2020-10-06,2,high,Resolution,council_motion,,1,archive,
20-43,2020-10-06,2020-10-06,Resolution 20-43 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-43%20Budget%20Adjustments.pdf?t=202010091148040,,na,recorder_listing,,no,Carried unanimously (no names),2020-10-06,4,high,Resolution,council_motion,,1,archive,
20-44,2020-10-06,2020-10-06,Resolution 20-44 — Green Waste Fees,https://www.loganutah.gov/departments/admin/council/20-44%20Green%20Waste%20Fees.pdf?t=202010091148370,,na,recorder_listing,,no,Carried unanimously (no names),2020-10-06,5,high,Resolution,council_motion,,1,archive,
20-45,2020-10-20,2020-10-20,Resolution 20-45 — (from motion) approve Resolution 20-45 as presented,meeting_minutes/minutes/2020/2020-10-19/2020-10-20_city-council-meeting.md,,na,minutes_motion_text,,no,Carried unanimously (no names),2020-10-20,2,within_source,Resolution,council_motion,,1,votes,no_archive_pdf
20-46,2020-11-03,2020-11-03,Resolution 20-46 — Budget Adjustments,https://www.loganutah.gov/departments/admin/20-46%20Budget%20Adjustments.pdf?t=202011061706510,,na,recorder_listing,,no,Carried unanimously (no names),2020-11-03,2,high,Resolution,council_motion,,1,archive,
20-47,2020-11-17,2020-11-17,Resolution 20-47 — Budget Adjustments,https://www.loganutah.gov/departments/admin/council/20-47%20Budget%20Adjustments.pdf?t=20201123165825451,,na,recorder_listing,,no,Carried unanimously (no names),2020-11-17,2,high,Resolution,council_motion,,1,archive,
20-48,2020-12-01,2020-12-01,Resolution 20-48 — Budget Adjustment,https://www.loganutah.gov/departments/admin/council/20-48%20Budget%20Adjustment.pdf?t=20201209185111482,,na,recorder_listing,,no,Carried unanimously (no names),2020-12-01,5,high,Resolution,council_motion,,1,archive,
20-49,2020-12-01,2020-12-01,Resolution 20-49 — Fire Standby Fees and EMS Billing Rates,https://www.loganutah.gov/departments/admin/council/20-49%20Fire%20Standby%20Fees%20and%20EMS%20Billing%20Rates.pdf?t=20201209185558692,,na,recorder_listing,,no,Carried unanimously (no names),2020-12-01,6,high,Resolution,council_motion,,1,archive,
